interview__key,sdd_hhid,plot_id,plotname,hh_b1b01,hh_b1b02,hh_b1b03,hh_b1b04,hh_b1b05,hh_b1b06,hh_b1b07,hh_b1b08,hh_b1b09,hh_b1b10,hh_b1b11,hh_b1b12,hh_b1b13,hh_b1b16,hh_b1b17,hh_b1b18,hh_b1b19,hh_b1b20,hh_b1b21,hh_b1b22
86-08-97-34,0073-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
86-08-97-34,0073-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,OTHER (SPECIFY),AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
86-12-47-47,0710-003-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,STATE,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
86-12-47-47,0710-003-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,STATE,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
86-35-99-27,0498-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
86-35-99-27,0498-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
86-47-16-30,0447-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,TAKEN,,0,**CONFIDENTIAL**,,,,,,
86-47-16-30,0447-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,"OTHER, SPECIFY"
86-47-16-30,0447-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,CULTIVATED
86-56-84-14,0113-002-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,CUSTOMARY,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
