interview__key,sdd_hhid,plot_id,plotname,hh_b1b01,hh_b1b02,hh_b1b03,hh_b1b04,hh_b1b05,hh_b1b06,hh_b1b07,hh_b1b08,hh_b1b09,hh_b1b10,hh_b1b11,hh_b1b12,hh_b1b13,hh_b1b16,hh_b1b17,hh_b1b18,hh_b1b19,hh_b1b20,hh_b1b21,hh_b1b22
00-11-15-68,0184-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,ALLOCATED BY FAMILY MEMBER,FREEHOLD,RESIDENTIAL,NO,
00-12-69-11,0723-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
00-12-69-11,0723-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,ABANDONED,,,**CONFIDENTIAL**,,,,,,
00-41-84-07,0847-001-003,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,PURCHASED,STATE,RESIDENTIAL,NO,
00-55-08-95,0491-004-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,OTHER (SPECIFY),RESIDENTIAL,YES,
00-55-08-95,0491-004-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,NO,
00-55-08-95,0491-004-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,NO,
00-59-19-34,0466-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,CUSTOMARY,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
00-59-19-34,0466-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,CUSTOMARY,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
00-59-19-34,0466-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,CUSTOMARY,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
00-59-19-34,0466-001-001,4,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,CUSTOMARY,RESIDENTIAL,NO,
00-72-79-53,0055-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
00-92-63-48,0220-001-003,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,STATE,RESIDENTIAL,NO,
01-05-09-28,0783-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY GOVERNMENT,CUSTOMARY,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
01-05-09-28,0783-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
01-05-09-28,0783-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
01-12-50-30,0298-006-004,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
01-12-50-30,0298-006-004,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,PURCHASED,OTHER (SPECIFY),AGRICULTURAL,YES,
01-20-50-14,0471-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
01-20-50-14,0471-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,NO,,,,,**CONFIDENTIAL**,,,,,,
01-20-50-14,0471-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,NO,,,,,**CONFIDENTIAL**,,,,,,
01-20-50-14,0471-001-001,4,**CONFIDENTIAL**,M4,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
01-20-50-14,0471-001-001,5,**CONFIDENTIAL**,M5,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
01-20-50-14,0471-001-001,6,**CONFIDENTIAL**,M6,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,NO,,,,,**CONFIDENTIAL**,,,,,,
01-21-40-66,0671-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,FREEHOLD,RESIDENTIAL,NO,
01-38-32-24,0720-001-011,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,ALLOCATED BY GOVERNMENT,FREEHOLD,AGRICULTURAL,YES,
01-38-32-24,0720-001-011,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,PURCHASED,OTHER (SPECIFY),RESIDENTIAL,NO,
01-38-32-24,0720-001-011,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,
01-38-32-24,0720-001-011,4,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,RESIDENTIAL,NO,
01-38-32-24,0720-001-011,5,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
01-41-05-70,0536-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
01-41-05-70,0536-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
01-47-09-22,0707-001-003,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,STATE,RESIDENTIAL,NO,
01-67-04-36,0092-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,STOPPED RENTING/SHARECROPPING,,,**CONFIDENTIAL**,,,,,,
01-70-68-94,0582-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,OTHER (SPECIFY),RESIDENTIAL,YES,
01-76-09-45,0634-007-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,STOPPED RENTING/SHARECROPPING,,,**CONFIDENTIAL**,,,,,,
01-82-06-82,0824-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,BORROWED FOR FREE,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
01-82-06-82,0824-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,BORROWED FOR FREE,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
01-82-06-82,0824-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,STATE,RESIDENTIAL,NO,
02-15-25-91,0512-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,ALLOCATED BY GOVERNMENT,CUSTOMARY,AGRICULTURAL,YES,
02-23-21-86,0589-007-003,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,"RENTED IN, SHORT-TERM (< 3 YEARS)",,RESIDENTIAL,NO,
02-23-21-86,0589-007-003,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
02-51-58-04,0509-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,FREEHOLD,RESIDENTIAL,NO,,,,,**CONFIDENTIAL**,,,,,,
02-51-58-04,0509-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,STOPPED RENTING/SHARECROPPING,,,**CONFIDENTIAL**,,,,,,
02-51-58-04,0509-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,BORROWED FOR FREE,FREEHOLD,AGRICULTURAL,YES,
02-51-58-04,0509-001-001,4,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
02-85-17-16,0241-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,GRANTED BY CUSTOMARY/COMMUNITY AUTHORITIES,CUSTOMARY,RESIDENTIAL,NO,
02-85-44-36,0217-002-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,FREEHOLD,AGRICULTURAL,NO,,,,,**CONFIDENTIAL**,,,,,,
02-85-44-36,0217-002-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,FREEHOLD,RESIDENTIAL,NO,
02-98-67-18,0720-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,CUSTOMARY,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
02-98-67-18,0720-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
02-98-67-18,0720-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,CUSTOMARY,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-09-85-87,0079-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,OTHER(SPECIFY),NO,,,,,**CONFIDENTIAL**,,,,,,
03-09-85-87,0079-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,ALLOCATED BY FAMILY MEMBER,FREEHOLD,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-09-85-87,0079-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,GIVEN AWAY,,0,**CONFIDENTIAL**,,,,,,
03-36-44-51,0105-005-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-36-44-51,0105-005-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,ALLOCATED BY FAMILY MEMBER,FREEHOLD,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-36-44-51,0105-005-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,NO,,,,,**CONFIDENTIAL**,,,,,,
03-38-40-57,0349-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,STATE,RESIDENTIAL,NO,
03-49-85-68,0437-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,YES,CULTIVATED,,,,**CONFIDENTIAL**,,,,,,
03-49-85-68,0437-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,CUSTOMARY,AGRICULTURAL,YES,CULTIVATED,,,,**CONFIDENTIAL**,,,,,,
03-49-85-68,0437-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,CUSTOMARY,AGRICULTURAL,YES,CULTIVATED,,,,**CONFIDENTIAL**,,,,,,
03-55-55-72,0391-005-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,FREEHOLD,RESIDENTIAL,NO,
03-58-62-92,0639-007-003,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,YES,
03-58-62-92,0639-007-003,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,
03-60-63-99,0308-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,GRANTED BY CUSTOMARY/COMMUNITY AUTHORITIES,CUSTOMARY,AGRICULTURAL,NO,,,,,**CONFIDENTIAL**,,,,,,
03-60-63-99,0308-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,GRANTED BY CUSTOMARY/COMMUNITY AUTHORITIES,CUSTOMARY,RESIDENTIAL,NO,
03-60-63-99,0308-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,GRANTED BY CUSTOMARY/COMMUNITY AUTHORITIES,CUSTOMARY,AGRICULTURAL,YES,
03-63-30-10,0626-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-63-30-10,0626-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,STOPPED RENTING/SHARECROPPING,,,**CONFIDENTIAL**,,,,,,
03-63-30-10,0626-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,FREEHOLD,RESIDENTIAL,NO,
03-65-77-41,0641-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-68-77-59,0049-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-68-77-59,0049-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-83-80-72,0571-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-83-80-72,0571-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
03-83-80-72,0571-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
03-85-55-92,0396-102-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,OTHER (SPECIFY),OTHER (SPECIFY),RESIDENTIAL,NO,
03-96-67-80,0210-002-002,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,ABANDONED,,,**CONFIDENTIAL**,,,,,,
03-96-67-80,0210-002-002,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,ABANDONED,,,**CONFIDENTIAL**,,,,,,
03-96-67-80,0210-002-002,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,ABANDONED,,,**CONFIDENTIAL**,,,,,,
03-98-19-65,0066-003-005,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,OTHER (SPECIFY),OTHER (SPECIFY),RESIDENTIAL,NO,
04-07-97-71,0768-001-011,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,ALLOCATED BY FAMILY MEMBER,FREEHOLD,RESIDENTIAL,NO,
04-07-97-71,0768-001-011,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,
04-32-04-23,0529-001-003,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,FREEHOLD,RESIDENTIAL,NO,
04-35-19-17,0631-008-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,BORROWED FOR FREE,FREEHOLD,RESIDENTIAL,YES,
04-52-63-04,0642-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
04-52-63-04,0642-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,GIVEN AWAY,,0,**CONFIDENTIAL**,,,,,,
04-52-63-04,0642-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
04-52-63-04,0642-001-001,4,**CONFIDENTIAL**,M4,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
04-61-05-31,0001-001-004,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,"RENTED IN, SHORT-TERM (< 3 YEARS)",,RESIDENTIAL,NO,
04-62-05-39,0785-001-004,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,ALLOCATED BY FAMILY MEMBER,CUSTOMARY,RESIDENTIAL,NO,"OTHER, SPECIFY"
04-67-21-54,0783-001-006,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,ALLOCATED BY FAMILY MEMBER,FREEHOLD,RESIDENTIAL,NO,
04-67-21-54,0783-001-006,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,BORROWED FOR FREE,FREEHOLD,AGRICULTURAL,YES,
04-78-48-50,0687-006-002,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,OTHER (SPECIFY),OTHER (SPECIFY),RESIDENTIAL,NO,
04-78-48-50,0687-006-002,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,PURCHASED,OTHER (SPECIFY),AGRICULTURAL,YES,
04-80-76-28,0698-009-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
04-84-88-57,0155-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,OTHER (SPECIFY),FREEHOLD,RESIDENTIAL,NO,
04-94-12-79,0642-001-009,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,FREEHOLD,AGRICULTURAL,YES,
05-05-31-11,0405-003-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,OTHER (SPECIFY),FREEHOLD,RESIDENTIAL,NO,
05-05-31-11,0405-003-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
05-09-03-42,0797-002-002,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
05-09-03-42,0797-002-002,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,BORROWED FOR FREE,FREEHOLD,AGRICULTURAL,YES,
05-09-03-42,0797-002-002,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,NO,
05-09-03-42,0797-002-002,4,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
05-20-75-51,0370-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,NO,,,,,**CONFIDENTIAL**,,,,,,
05-20-75-51,0370-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,GIVEN AWAY,,0,**CONFIDENTIAL**,,,,,,
05-20-75-51,0370-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,BORROWED FOR FREE,FREEHOLD,AGRICULTURAL,YES,
05-21-74-76,0664-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
05-21-74-76,0664-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
05-21-74-76,0664-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,SOLD IT,500000,,**CONFIDENTIAL**,,,,,,
05-21-74-76,0664-001-001,4,**CONFIDENTIAL**,M4,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,FREEHOLD,FOREST,NO,,,,,**CONFIDENTIAL**,,,,,,
05-21-74-76,0664-001-001,5,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,PURCHASED,FREEHOLD,AGRICULTURAL,YES,
05-21-74-76,0664-001-001,6,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,FREEHOLD,AGRICULTURAL,YES,
