UPI,y1_hhid,indidy1,y2_hhid,indidy2,y3_hhid,indidy3,y4_hhid,indidy4,sdd_hhid,sdd_indid
1,55020180210078,1,5502018021007801,1,3924-001,1,0860-001,1,0860-001-001,1
2,55020180210068,1,5502018021006801,1,3922-001,1,0857-001,1,0857-001-001,1
3,55020180210068,2,5502018021006801,2,3922-001,2,0857-001,2,,
4,55020180210068,3,5502018021006801,3,3922-001,3,0857-001,3,0857-001-001,3
5,55020180210068,4,,,,,,,,
6,55020180210068,5,5502018021006801,4,3922-001,4,0857-001,4,0857-001-001,4
7,55020180210068,6,5502018021006801,5,3922-001,5,,,,
8,55020180210068,7,5502018021006807,4,3923-001,4,,,,
9,55020180210068,8,,,3922-108,7,,,,
10,55020180210068,9,5502018021006801,6,3922-001,6,0857-001,5,0857-001-001,5
11,55020180210059,1,,,,,,,,
12,55020180210059,2,5502018021005902,1,3920-001,1,0855-001,1,0855-001-001,1
13,55020180210059,3,5502018021005902,4,3920-001,4,0855-001,4,0855-001-001,4
14,55020180210059,4,5502018021005902,2,3920-001,2,0855-001,2,0855-001-001,2
15,55020180210059,5,5502018021005905,8,3921-001,8,0856-001,8,0856-001-001,8
16,55020180210058,1,5502018021005801,1,3919-001,1,0854-001,1,0854-001-001,1
17,55020180210058,2,5502018021005801,2,3919-001,2,0854-001,2,0854-001-001,2
18,55020180210058,3,5502018021005801,3,3919-001,3,0854-001,3,0854-001-001,3
19,55020180210058,4,5502018021005801,4,3919-001,4,0854-001,4,0854-001-001,4
20,55020180210058,5,5502018021005801,5,3919-005,10,,,,
21,55020180210058,6,5502018021005801,6,3919-005,3,,,,
22,55020180210058,7,,,,,,,,
23,55020180210058,8,5502018021005801,7,3919-001,5,0854-001,5,0854-001-001,5
24,55020180210058,9,,,,,,,,
25,55020180210054,1,5502018021005401,1,3918-001,1,0852-001,1,0852-001-001,1
26,55020180210054,2,5502018021005401,2,3918-001,2,0852-001,2,0852-001-002,2
27,55020180210054,3,5502018021005401,3,3918-001,3,0852-001,3,0852-001-001,3
28,55020180210054,4,5502018021005401,4,3918-001,4,0852-001,4,0852-001-001,4
29,55020180210042,1,5502018021004201,1,3917-001,1,0851-001,1,0851-001-001,1
30,55020180210042,2,5502018021004201,2,3917-001,2,0851-001,2,0851-001-001,2
31,55020180210042,3,5502018021004201,3,,,0851-001,4,,
32,55020180210034,1,5502018021003401,1,3916-001,1,0850-001,1,,
33,55020180210034,2,5502018021003401,2,3916-001,2,0850-001,2,0850-001-002,2
34,55020180210034,3,5502018021003401,3,3916-001,3,0850-001,3,0850-001-003,3
35,55020180210034,4,5502018021003401,4,3916-001,4,0850-001,4,0850-001-003,4
36,55020180210034,5,5502018021003401,5,3916-001,5,0850-001,5,0850-001-003,5
37,55020180210034,6,5502018021003401,6,3916-001,6,,,,
38,55020180210028,1,5502018021002801,1,3915-001,1,0849-001,1,0849-001-001,1
39,55020133030097,1,5502013303009701,1,,,,,,
40,55020133030097,2,5502013303009701,2,,,,,,
41,55020133030097,3,5502013303009701,3,,,,,,
42,55020133030097,4,5502013303009701,4,,,,,,
43,55020133030097,5,5502013303009701,5,,,,,,
44,55020133030097,6,5502013303009701,6,,,,,,
45,55020133030097,7,5502013303009701,7,,,,,,
46,55020133030097,8,,,,,,,,
47,55020133030097,9,5502013303009701,8,,,,,,
48,55020133030072,1,5502013303007201,1,3913-001,1,,,,
49,55020133030072,2,5502013303007201,2,3913-001,2,,,,
50,55020133030072,3,5502013303007201,3,3913-001,3,,,,
51,55020133030072,4,5502013303007201,4,3913-001,4,,,,
52,55020133030072,5,5502013303007201,5,3913-001,5,,,,
53,55020133030072,6,5502013303007201,6,3913-001,6,,,,
54,55020133030072,7,5502013303007201,7,3913-001,7,,,,
55,55020133030072,8,5502013303007201,8,3913-001,8,,,,
56,55020133030072,9,5502013303007201,9,3913-001,9,,,,
57,55020133030068,1,5502013303006801,1,3912-001,1,,,,
58,55020133030068,2,5502013303006801,2,3912-001,2,,,,
59,55020133030068,3,5502013303006801,3,3912-001,3,,,,
60,55020133030062,1,5502013303006201,1,3911-001,1,,,,
61,55020133030062,2,5502013303006201,2,3911-002,2,,,,
62,55020133030048,1,5502013303004801,1,3910-001,1,,,,
63,55020133030048,2,5502013303004801,2,3910-001,2,,,,
64,55020133030048,3,5502013303004801,3,3910-001,3,,,,
65,55020133030048,4,5502013303004801,4,3910-001,4,,,,
66,55020133030044,1,5502013303004401,1,3909-001,1,,,,
67,55020133030044,2,5502013303004401,2,3909-001,2,,,,
68,55020133030044,3,5502013303004401,3,3909-001,3,,,,
69,55020133030044,4,5502013303004401,4,3909-001,4,,,,
70,55020133030044,5,5502013303004401,5,3909-001,5,,,,
71,55020133030044,6,5502013303004401,6,3909-001,6,,,,
72,55020133030044,7,5502013303004401,7,3909-001,7,,,,
73,55020133030044,8,5502013303004401,8,3909-001,8,,,,
74,55020133030036,1,5502013303003601,1,3908-001,1,,,,
75,55020133030036,2,5502013303003601,2,3908-001,2,,,,
76,55020133030036,3,5502013303003601,3,3908-001,3,,,,
77,55020133030036,4,5502013303003601,4,3908-001,4,,,,
78,55020133030036,5,5502013303003601,5,3908-001,5,,,,
79,55020133030034,1,5502013303003401,1,3907-001,1,,,,
80,55020133030034,2,5502013303003401,2,3907-002,3,,,,
81,55020090220110,1,5502009022011001,1,3906-001,1,,,,
82,55020090220110,2,5502009022011001,2,3906-001,2,,,,
83,55020090220110,3,5502009022011001,3,3906-001,3,,,,
84,55020090220110,4,5502009022011001,4,3906-001,4,,,,
85,55020090220094,1,,,,,,,,
86,55020090220094,2,,,,,,,,
87,55020090220094,3,,,,,,,,
88,55020090220094,4,,,,,,,,
89,55020090220094,5,,,,,,,,
90,55020090220084,1,5502009022008401,1,3905-001,1,,,,
91,55020090220084,2,5502009022008401,2,3905-001,2,,,,
92,55020090220075,1,5502009022007501,1,3904-001,1,,,,
93,55020090220075,2,5502009022007501,2,3904-001,2,,,,
94,55020090220075,3,5502009022007501,3,3904-001,3,,,,
95,55020090220075,4,5502009022007501,4,3904-001,4,,,,
96,55020090220075,5,5502009022007501,5,3904-001,5,,,,
97,55020090220063,1,5502009022006301,1,3903-001,1,,,,
98,55020090220063,2,5502009022006301,2,3903-001,2,,,,
99,55020090220063,3,5502009022006301,3,3903-001,3,,,,
100,55020090220063,4,5502009022006301,4,3903-001,4,,,,
101,55020090220063,5,5502009022006301,5,3903-001,5,,,,
102,55020090220063,6,5502009022006301,6,3903-001,6,,,,
103,55020090220063,7,5502009022006301,7,3903-001,7,,,,
104,55020090220063,8,5502009022006301,8,3903-001,8,,,,
105,55020090220050,1,5502009022005001,1,3902-001,1,,,,
106,55020090220050,2,5502009022005001,2,3902-001,2,,,,
107,55020090220050,3,5502009022005001,3,3902-001,3,,,,
108,55020090220050,4,5502009022005001,4,3902-001,4,,,,
109,55020090220050,5,5502009022005001,5,3902-001,5,,,,
110,55020090220050,6,5502009022005001,6,3902-001,6,,,,
111,55020090220050,7,5502009022005001,7,3902-001,7,,,,
112,55020090220050,8,5502009022005001,8,3902-001,8,,,,
113,55020090220050,9,5502009022005001,9,3902-001,9,,,,
114,55020090220050,10,,,3902-110,5,,,,
115,55020090220045,1,5502009022004501,1,3901-001,1,,,,
116,55020090220045,2,5502009022004501,2,3901-001,2,,,,
117,55020090220045,3,5502009022004501,3,3901-001,3,,,,
118,55020090220045,4,5502009022004501,4,3901-001,4,,,,
119,55020090220045,5,5502009022004501,5,3901-001,5,,,,
120,55020090220045,6,5502009022004501,6,3901-001,6,,,,
121,55020090220035,1,5502009022003501,1,3900-001,1,,,,
122,55020090220035,2,5502009022003501,2,3900-001,2,,,,
123,55020090220035,3,5502009022003501,3,3900-001,3,,,,
124,55020090220035,4,5502009022003501,4,3900-001,4,,,,
125,55020090220035,5,5502009022003501,5,3900-001,5,,,,
126,55020090220035,6,,,,,,,,
127,55020090220035,7,5502009022003501,6,3900-001,6,,,,
128,55020010050092,1,5502001005009201,1,3898-001,1,,,,
129,55020010050092,2,5502001005009201,2,3898-001,2,,,,
130,55020010050092,3,5502001005009203,2,3899-001,2,,,,
131,55020010050092,4,5502001005009201,3,3898-001,3,,,,
132,55020010050092,5,5502001005009201,4,,,,,,
133,55020010050068,1,5502001005006801,1,3896-001,1,,,,
134,55020010050068,2,5502001005006801,2,3896-001,2,,,,
135,55020010050068,3,5502001005006801,3,3896-001,3,,,,
136,55020010050068,4,5502001005006801,4,3896-001,4,,,,
137,55020010050068,5,5502001005006801,5,3896-001,5,,,,
138,55020010050068,6,5502001005006806,2,3897-001,2,,,,
139,55020010050068,7,5502001005006801,6,3896-001,6,,,,
140,55020010050068,8,5502001005006801,7,3896-001,7,,,,
141,55020010050068,9,5502001005006801,8,3896-001,8,,,,
142,55020010050068,10,5502001005006801,9,3896-009,4,,,,
143,55020010050062,1,5502001005006201,1,3895-003,1,,,,
144,55020010050062,2,5502001005006201,2,3895-003,2,,,,
145,55020010050062,3,5502001005006201,3,3895-003,3,,,,
146,55020010050059,1,5502001005005901,1,3894-001,1,,,,
147,55020010050059,2,5502001005005901,2,3894-001,2,,,,
148,55020010050059,3,5502001005005901,3,3894-001,3,,,,
149,55020010050059,4,5502001005005901,4,3894-001,4,,,,
150,55020010050048,1,5502001005004801,1,3892-001,1,,,,
151,55020010050048,2,5502001005004801,2,3892-001,2,,,,
152,55020010050048,3,5502001005004803,2,3893-001,2,,,,
153,55020010050048,4,5502001005004801,3,3892-001,3,,,,
154,55020010050048,5,5502001005004803,1,3893-001,1,,,,
155,55020010050044,1,5502001005004401,1,3891-001,1,,,,
156,55020010050044,2,5502001005004401,2,3891-001,2,,,,
157,55020010050044,3,5502001005004401,3,3891-003,2,,,,
158,55020010050044,4,5502001005004401,4,3891-001,3,,,,
159,55020010050044,5,5502001005004401,5,3891-001,4,,,,
160,55020010050036,1,5502001005003601,1,3890-001,1,,,,
161,55020010050036,2,5502001005003601,2,3890-001,2,,,,
162,55020010050036,3,5502001005003601,3,3890-001,3,,,,
163,55020010050036,4,5502001005003601,4,3890-001,4,,,,
164,55020010050036,5,5502001005003601,5,3890-001,5,,,,
165,55020010050034,1,5502001005003401,1,3889-001,1,,,,
166,55020010050034,2,5502001005003401,2,3889-001,2,,,,
167,55020010050034,3,5502001005003401,3,3889-001,3,,,,
168,55020010050034,4,5502001005003401,4,3889-001,4,,,,
169,55020010050034,5,,,,,,,,
170,55010170230084,1,5501017023008401,1,3888-001,1,,,,
171,55010170230084,2,5501017023008401,2,3888-001,2,,,,
172,55010170230084,3,5501017023008401,3,3888-001,3,,,,
173,55010170230084,4,5501017023008401,4,3888-001,4,,,,
174,55010170230084,5,5501017023008401,5,3888-001,5,,,,
175,55010170230084,6,5501017023008401,6,3888-001,6,,,,
176,55010170230084,7,5501017023008401,7,,,,,,
177,55010170230074,1,5501017023007401,1,3887-001,1,,,,
178,55010170230074,2,5501017023007401,2,3887-001,2,,,,
179,55010170230074,3,5501017023007401,3,3887-001,3,,,,
180,55010170230074,4,5501017023007401,4,3887-001,4,,,,
181,55010170230074,5,5501017023007401,5,3887-001,5,,,,
182,55010170230074,6,5501017023007401,6,3887-001,6,,,,
183,55010170230074,7,5501017023007401,7,3887-001,7,,,,
184,55010170230074,8,5501017023007401,8,3887-001,8,,,,
185,55010170230063,1,5501017023006301,1,3886-001,1,,,,
186,55010170230063,2,5501017023006301,2,3886-001,2,,,,
187,55010170230063,3,5501017023006301,3,3886-001,3,,,,
188,55010170230063,4,5501017023006301,4,3886-001,4,,,,
189,55010170230063,5,5501017023006301,5,3886-001,5,,,,
190,55010170230063,6,5501017023006301,6,3886-001,6,,,,
191,55010170230063,7,5501017023006301,7,3886-001,7,,,,
192,55010170230063,8,5501017023006301,8,3886-001,8,,,,
193,55010170230063,9,5501017023006301,9,3886-001,9,,,,
194,55010170230050,1,5501017023005001,1,3885-001,1,,,,
195,55010170230050,2,5501017023005001,2,3885-001,2,,,,
196,55010170230050,3,5501017023005001,3,3885-001,3,,,,
197,55010170230050,4,5501017023005001,4,3885-001,4,,,,
198,55010170230050,5,5501017023005001,5,3885-001,5,,,,
199,55010170230050,6,5501017023005001,6,3885-001,6,,,,
200,55010170230050,7,5501017023005001,7,3885-001,7,,,,
201,55010170230050,8,5501017023005001,8,3885-001,8,,,,
202,55010170230035,1,5501017023003501,1,3883-001,1,,,,
203,55010170230035,2,5501017023003501,2,3883-001,2,,,,
204,55010170230035,3,5501017023003503,2,3884-001,2,,,,
205,55010170230035,4,5501017023003501,4,3883-001,3,,,,
206,55010170230035,5,5501017023003501,5,3883-001,4,,,,
207,55010170230035,6,5501017023003501,6,3883-001,5,,,,
208,55010170230035,7,5501017023003501,7,3883-001,6,,,,
209,55010170230035,8,5501017023003501,8,3883-001,7,,,,
210,55010170230035,9,5501017023003501,9,3883-001,8,,,,
211,55010170230035,10,5501017023003501,10,3883-001,9,,,,
212,55010170230035,11,5501017023003501,11,3883-001,10,,,,
213,55010170230035,12,5501017023003501,3,,,,,,
214,55010170230023,1,5501017023002301,1,3882-001,1,,,,
215,55010170230023,2,5501017023002301,2,3882-001,2,,,,
216,55010170230023,3,5501017023002301,3,3882-001,3,,,,
217,55010170230023,4,5501017023002301,4,3882-001,4,,,,
218,55010170230023,5,5501017023002301,5,3882-001,5,,,,
219,55010170230023,6,5501017023002301,6,3882-006,2,,,,
220,55010170230023,7,5501017023002301,7,3882-001,6,,,,
221,55010170230016,1,5501017023001601,1,3881-001,1,,,,
222,55010170230016,2,5501017023001601,2,3881-001,2,,,,
223,55010170230016,3,5501017023001601,3,3881-001,3,,,,
224,55010170230009,1,5501017023000901,1,3880-001,1,,,,
225,55010170230009,2,5501017023000901,2,3880-001,2,,,,
226,55010170230009,3,5501017023000901,3,3880-001,3,,,,
227,55010170230009,4,5501017023000901,4,3880-001,4,,,,
228,55010170230009,5,5501017023000901,5,3880-001,5,,,,
229,55010170230009,6,5501017023000901,6,3880-001,6,,,,
230,55010160110133,1,5501016011013301,1,3879-001,1,,,,
231,55010160110133,2,5501016011013301,2,3879-001,2,,,,
232,55010160110133,3,5501016011013301,3,3879-001,3,,,,
233,55010160110133,4,5501016011013301,4,3879-001,4,,,,
234,55010160110116,1,5501016011011601,1,3878-001,1,,,,
235,55010160110116,2,5501016011011601,2,3878-001,2,,,,
236,55010160110116,3,5501016011011601,3,3878-001,3,,,,
237,55010160110116,4,5501016011011601,4,3878-001,4,,,,
238,55010160110116,5,5501016011011601,5,3878-001,5,,,,
239,55010160110114,1,5501016011011401,1,3877-001,1,,,,
240,55010160110114,2,5501016011011401,2,3877-001,2,,,,
241,55010160110114,3,5501016011011401,3,3877-001,3,,,,
242,55010160110114,4,5501016011011401,4,3877-001,4,,,,
243,55010160110114,5,5501016011011401,5,3877-001,5,,,,
244,55010160110091,1,5501016011009101,1,,,,,,
245,55010160110091,2,5501016011009101,2,,,,,,
246,55010160110086,1,5501016011008601,1,3875-001,1,,,,
247,55010160110086,2,5501016011008601,2,3875-001,2,,,,
248,55010160110086,3,5501016011008601,3,3875-001,3,,,,
249,55010160110086,4,5501016011008601,4,3875-001,4,,,,
250,55010160110086,5,5501016011008601,5,3875-001,5,,,,
251,55010160110086,6,5501016011008601,6,3875-001,6,,,,
252,55010160110086,7,5501016011008601,7,3875-001,7,,,,
253,55010160110086,8,5501016011008601,8,3875-001,8,,,,
254,55010160110086,9,5501016011008601,9,3875-001,9,,,,
255,55010160110086,10,5501016011008601,10,3875-001,10,,,,
256,55010160110055,1,5501016011005501,1,3874-001,1,,,,
257,55010160110055,2,5501016011005501,2,3874-001,2,,,,
258,55010160110055,3,5501016011005501,3,3874-001,3,,,,
259,55010160110055,4,5501016011005501,4,3874-001,4,,,,
260,55010160110050,1,5501016011005001,1,3873-001,1,,,,
261,55010160110050,2,5501016011005001,2,3873-001,2,,,,
262,55010160110050,3,5501016011005001,3,3873-001,3,,,,
263,55010160110050,4,5501016011005001,4,3873-001,4,,,,
264,55010160110050,5,5501016011005001,5,3873-001,5,,,,
265,55010160110050,6,5501016011005001,6,3873-001,6,,,,
266,55010160110006,1,5501016011000601,1,3872-001,1,,,,
267,55010160110006,2,5501016011000601,2,3872-001,2,,,,
268,55010160110006,3,5501016011000601,3,,,,,,
269,55010160110006,4,5501016011000601,4,3872-001,3,,,,
270,55010160110006,5,5501016011000601,5,3872-001,4,,,,
271,55010160110006,6,5501016011000601,6,3872-001,5,,,,
272,55010150050050,1,5501015005005001,1,3871-001,1,,,,
273,55010150050045,1,5501015005004501,1,3869-001,1,,,,
274,55010150050045,2,5501015005004501,2,3869-001,2,,,,
275,55010150050045,3,5501015005004501,3,3869-001,3,,,,
276,55010150050045,4,5501015005004501,4,3869-001,4,,,,
277,55010150050045,5,5501015005004501,5,3869-001,5,,,,
278,55010150050045,6,5501015005004501,6,3869-001,6,,,,
279,55010150050045,7,5501015005004507,1,3870-001,1,,,,
280,55010150050045,8,5501015005004507,2,,,,,,
281,55010150050045,9,5501015005004507,3,3870-001,2,,,,
282,55010150050045,10,5501015005004501,8,3869-001,7,,,,
283,55010150050035,1,5501015005003501,1,3868-001,1,,,,
284,55010150050035,2,5501015005003501,2,3868-001,2,,,,
285,55010150050035,3,5501015005003501,3,3868-001,3,,,,
286,55010150050035,4,5501015005003501,4,3868-001,4,,,,
287,55010150050035,5,5501015005003501,5,3868-001,5,,,,
288,55010150050035,6,5501015005003501,6,3868-001,6,,,,
289,55010150050035,7,5501015005003501,7,3868-001,7,,,,
290,55010150050035,8,5501015005003501,8,3868-001,8,,,,
291,55010150050035,9,5501015005003501,9,3868-001,9,,,,
292,55010150050029,1,5501015005002901,1,3867-001,1,,,,
293,55010150050029,2,5501015005002901,2,3867-001,2,,,,
294,55010150050029,3,5501015005002901,3,3867-001,3,,,,
295,55010150050029,4,5501015005002901,4,3867-001,4,,,,
296,55010150050029,5,5501015005002901,5,3867-001,5,,,,
297,55010150050029,6,5501015005002901,6,3867-001,6,,,,
298,55010150050029,7,5501015005002901,7,3867-001,7,,,,
299,55010150050029,8,5501015005002901,8,3867-001,8,,,,
300,55010150050029,9,5501015005002901,9,3867-001,9,,,,
301,55010150050029,10,5501015005002901,10,3867-001,10,,,,
302,55010150050029,11,,,,,,,,
303,55010150050023,1,5501015005002301,1,3865-001,1,,,,
304,55010150050023,2,5501015005002301,2,3865-001,2,,,,
305,55010150050023,3,5501015005002303,1,3866-001,1,,,,
306,55010150050023,4,5501015005002303,2,3866-001,2,,,,
307,55010150050023,5,5501015005002301,3,3865-001,3,,,,
308,55010150050023,6,5501015005002301,4,3865-001,4,,,,
309,55010150050023,7,5501015005002303,3,3866-001,3,,,,
310,55010150050023,8,5501015005002301,5,3865-001,5,,,,
311,55010150050023,9,5501015005002303,4,3866-001,4,,,,
312,55010150050023,10,5501015005002303,5,3866-001,5,,,,
313,55010150050023,11,5501015005002301,6,3865-001,6,,,,
314,55010150050023,12,5501015005002303,6,3866-001,6,,,,
315,55010150050023,13,5501015005002301,7,3865-001,7,,,,
316,55010150050023,14,5501015005002301,8,3865-001,8,,,,
317,55010150050023,15,5501015005002303,7,3866-001,7,,,,
318,55010150050016,1,5501015005001601,1,3864-001,1,,,,
319,55010150050016,2,5501015005001601,2,3864-001,2,,,,
320,55010150050016,3,5501015005001601,3,3864-003,2,,,,
321,55010150050015,1,5501015005001501,1,3863-001,1,,,,
322,55010150050015,2,5501015005001501,2,3863-001,2,,,,
323,55010150050015,3,5501015005001501,3,3863-003,2,,,,
324,55010150050015,4,5501015005001501,4,3863-001,3,,,,
325,55010150050015,5,,,,,,,,
326,55010150050015,6,5501015005001501,5,3863-001,4,,,,
327,55010150050009,1,5501015005000901,1,3862-001,1,,,,
328,55010150050009,2,5501015005000901,2,3862-001,2,,,,
329,55010150050009,3,5501015005000901,3,3862-001,3,,,,
330,55010150050009,4,5501015005000901,4,3862-001,4,,,,
331,55010130090068,1,5501013009006801,1,3861-001,1,,,,
332,55010130090068,2,5501013009006801,2,3861-001,2,,,,
333,55010130090068,3,5501013009006801,3,,,,,,
334,55010130090065,1,5501013009006501,1,3859-001,1,,,,
335,55010130090065,2,5501013009006501,2,3859-001,2,,,,
336,55010130090065,3,5501013009006501,3,3859-001,3,,,,
337,55010130090065,4,5501013009006504,2,3860-001,2,,,,
338,55010130090065,5,5501013009006501,4,3859-001,4,,,,
339,55010130090065,6,5501013009006504,1,3860-001,1,,,,
340,55010130090065,7,,,3859-001,5,,,,
341,55010130090065,8,5501013009006501,5,,,,,,
342,55010130090065,9,5501013009006501,6,,,,,,
343,55010130090065,10,5501013009006504,3,3860-001,3,,,,
344,55010130090055,1,5501013009005501,1,3858-001,1,,,,
345,55010130090055,2,5501013009005501,2,3858-001,2,,,,
346,55010130090055,3,5501013009005501,3,3858-001,3,,,,
347,55010130090055,4,5501013009005501,4,3858-001,4,,,,
348,55010130090055,5,5501013009005501,5,,,,,,
349,55010130090055,6,5501013009005501,6,3858-001,5,,,,
350,55010130090055,7,5501013009005501,7,3858-001,6,,,,
351,55010130090054,1,5501013009005401,1,3857-001,1,,,,
352,55010130090054,2,5501013009005401,2,3857-001,2,,,,
353,55010130090054,3,5501013009005401,3,3857-001,3,,,,
354,55010130090054,4,5501013009005401,4,3857-001,4,,,,
355,55010130090054,5,5501013009005401,5,3857-001,5,,,,
356,55010130090054,6,5501013009005401,6,3857-001,6,,,,
357,55010130090054,7,5501013009005401,7,3857-001,7,,,,
358,55010130090054,8,5501013009005401,8,3857-001,8,,,,
359,55010130090054,9,5501013009005401,9,,,,,,
360,55010130090050,1,5501013009005001,1,3856-001,1,,,,
361,55010130090050,2,5501013009005001,2,3856-001,2,,,,
362,55010130090050,3,5501013009005001,3,3856-001,3,,,,
363,55010130090050,4,5501013009005001,4,3856-001,4,,,,
364,55010130090047,1,5501013009004701,1,3855-001,1,,,,
365,55010130090047,2,5501013009004701,2,3855-001,2,,,,
366,55010130090047,3,5501013009004701,3,3855-001,3,,,,
367,55010130090047,4,5501013009004701,4,3855-001,4,,,,
368,55010130090047,5,5501013009004701,5,3855-001,5,,,,
369,55010130090047,6,5501013009004701,6,3855-001,6,,,,
370,55010130090047,7,5501013009004701,7,3855-001,7,,,,
371,55010130090047,8,5501013009004701,8,3855-001,8,,,,
372,55010130090013,1,5501013009001301,1,3853-001,1,,,,
373,55010130090013,2,5501013009001301,2,3853-001,2,,,,
374,55010130090013,3,5501013009001301,3,3853-001,3,,,,
375,55010130090013,4,5501013009001304,2,3854-001,2,,,,
376,55010130090013,5,5501013009001301,4,3853-001,4,,,,
377,55010130090013,6,5501013009001301,5,3853-001,5,,,,
378,55010130090013,7,5501013009001301,6,3853-001,6,,,,
379,55010130090013,8,5501013009001301,7,3853-001,7,,,,
380,55010130090006,1,5501013009000601,1,3852-001,1,,,,
381,55010130090006,2,5501013009000601,2,3852-001,2,,,,
382,55010130090006,3,5501013009000601,3,3852-001,3,,,,
383,55010130090006,4,5501013009000601,4,3852-001,4,,,,
384,55010130090006,5,5501013009000601,5,3852-001,5,,,,
385,55010130090006,6,5501013009000601,6,3852-001,6,,,,
386,55010130090006,7,5501013009000601,7,3852-001,7,,,,
387,55010130090006,8,5501013009000601,8,3852-001,8,,,,
388,55010130090006,9,5501013009000601,9,3852-001,9,,,,
389,55010070540048,1,5501007054004801,1,3851-001,1,,,,
390,55010070540048,2,5501007054004801,2,3851-001,2,,,,
391,55010070540038,1,5501007054003801,1,3850-001,1,,,,
392,55010070540038,2,5501007054003801,2,3850-001,2,,,,
393,55010070540038,3,5501007054003801,3,3850-001,3,,,,
394,55010070540038,4,5501007054003801,4,,,,,,
395,55010070540038,5,5501007054003801,5,3850-001,4,,,,
396,55010070540038,6,5501007054003801,6,3850-001,5,,,,
397,55010070540038,7,5501007054003801,7,3850-001,6,,,,
398,55010070540038,8,5501007054003801,8,3850-001,7,,,,
399,55010070540038,9,5501007054003801,9,3850-001,8,,,,
400,55010070540038,10,5501007054003801,10,3850-001,9,,,,
401,55010070540038,11,5501007054003801,11,3850-001,10,,,,
402,55010070540038,12,5501007054003801,12,3850-001,11,,,,
403,55010070540036,1,5501007054003601,1,3849-001,1,,,,
404,55010070540036,2,5501007054003601,2,3849-001,2,,,,
405,55010070540036,3,5501007054003601,3,3849-001,3,,,,
406,55010070540036,4,5501007054003601,4,3849-001,4,,,,
407,55010070540036,5,5501007054003601,5,3849-001,5,,,,
408,55010070540036,6,5501007054003601,6,3849-001,6,,,,
409,55010070540036,7,5501007054003601,7,3849-001,7,,,,
410,55010070540035,1,5501007054003501,1,3848-001,1,,,,
411,55010070540035,2,5501007054003501,2,3848-001,2,,,,
412,55010070540035,3,5501007054003501,3,3848-001,3,,,,
413,55010070540035,4,5501007054003501,4,3848-001,4,,,,
414,55010070540035,5,5501007054003501,5,3848-001,5,,,,
415,55010070540035,6,5501007054003501,6,3848-001,6,,,,
416,55010070540026,1,5501007054002601,1,3847-001,1,,,,
417,55010070540026,2,5501007054002601,2,3847-001,2,,,,
418,55010070540026,3,5501007054002601,3,3847-003,1,,,,
419,55010070540026,4,5501007054002601,4,3847-001,3,,,,
420,55010070540026,5,5501007054002601,5,3847-001,4,,,,
421,55010070540026,6,5501007054002601,6,3847-001,5,,,,
422,55010070540026,7,5501007054002601,7,3847-001,6,,,,
423,55010070540026,8,5501007054002601,8,3847-001,7,,,,
424,55010070540026,9,5501007054002601,9,3847-001,8,,,,
425,55010070540026,10,5501007054002601,10,3847-001,9,,,,
426,55010070540018,1,5501007054001801,1,3846-001,1,,,,
427,55010070540018,2,5501007054001801,2,3846-001,2,,,,
428,55010070540018,3,5501007054001801,3,3846-001,3,,,,
429,55010070540018,4,,,,,,,,
430,55010070540018,5,5501007054001801,4,3846-001,4,,,,
431,55010070540018,6,5501007054001801,5,3846-001,5,,,,
432,55010070540014,1,5501007054001401,1,3844-001,1,,,,
433,55010070540014,2,5501007054001401,2,3844-001,2,,,,
434,55010070540014,3,5501007054001403,2,3845-001,2,,,,
435,55010070540014,4,5501007054001401,3,3844-001,3,,,,
436,55010070540014,5,5501007054001401,4,3844-001,4,,,,
437,55010070540014,6,5501007054001401,5,3844-001,5,,,,
438,55010070540014,7,5501007054001401,6,3844-001,6,,,,
439,55010070540014,8,5501007054001401,7,3844-001,7,,,,
440,55010070540014,9,5501007054001401,8,3844-001,8,,,,
441,55010070540010,1,5501007054001001,1,3843-001,1,,,,
442,55010070540010,2,5501007054001001,2,3843-001,2,,,,
443,55010070540010,3,5501007054001001,3,3843-001,3,,,,
444,55010070540010,4,5501007054001001,4,3843-001,4,,,,
445,55010070540010,5,5501007054001001,5,3843-001,5,,,,
446,55010070540010,6,5501007054001001,6,3843-001,6,,,,
447,55010070540010,7,5501007054001001,7,3843-001,7,,,,
448,55010040320063,1,5501004032006301,1,3842-001,1,,,,
449,55010040320063,2,5501004032006301,2,3842-001,2,,,,
450,55010040320063,3,5501004032006301,3,3842-001,3,,,,
451,55010040320063,4,5501004032006301,4,3842-001,4,,,,
452,55010040320045,1,5501004032004501,1,3841-001,1,,,,
453,55010040320045,2,5501004032004501,2,,,,,,
454,55010040320045,3,5501004032004501,3,3841-001,2,,,,
455,55010040320035,1,5501004032003501,1,3840-001,1,,,,
456,55010040320035,2,5501004032003501,2,3840-001,2,,,,
457,55010040320035,3,5501004032003501,3,3840-003,2,,,,
458,55010040320035,4,5501004032003501,4,3840-001,3,,,,
459,55010040320035,5,5501004032003501,5,3840-001,4,,,,
460,55010040320035,6,5501004032003501,6,3840-001,5,,,,
461,55010040320029,1,5501004032002901,1,3839-001,1,,,,
462,55010040320029,2,,,,,,,,
463,55010040320029,3,,,,,,,,
464,55010040320029,4,5501004032002901,2,3839-001,2,,,,
465,55010040320029,5,5501004032002901,3,3839-001,3,,,,
