UPI,y1_hhid,indidy1,y2_hhid,indidy2,y3_hhid,indidy3,y4_hhid,indidy4,sdd_hhid,sdd_indid
23110,,,,,3075-002,9,,,,
23111,,,,,3074-003,3,,,,
23112,,,,,3074-001,7,,,,
23113,,,,,3073-005,1,,,,
23114,,,,,3073-005,9,,,,
23115,,,,,3073-005,10,,,,
23116,,,,,3071-002,1,,,,
23117,,,,,3071-002,2,,,,
23118,,,,,3070-001,5,,,,
23119,,,,,3069-008,1,,,,
23120,,,,,3069-008,2,,,,
23121,,,,,3069-008,3,,,,
23122,,,,,3069-008,4,,,,
23123,,,,,3069-008,5,,,,
23124,,,,,3069-008,6,,,,
23125,,,,,3069-008,7,,,,
23126,,,,,3069-008,9,,,,
23127,,,,,3069-008,10,,,,
23128,,,,,3069-004,3,,,,
23129,,,,,3069-001,3,,,,
23130,,,,,3069-001,4,,,,
23131,,,,,3069-001,5,,,,
23132,,,,,3069-001,6,,,,
23133,,,,,3068-001,14,,,,
23134,,,,,3068-001,15,,,,
23135,,,,,3066-103,1,,,,
23136,,,,,3066-103,3,,,,
23137,,,,,3066-009,1,,,,
23138,,,,,3066-009,3,,,,
23139,,,,,3066-009,4,,,,
23140,,,,,3066-009,5,,,,
23141,,,,,3066-009,6,,,,
23142,,,,,3066-009,7,,,,
23143,,,,,3066-009,8,,,,
23144,,,,,3066-009,9,,,,
23145,,,,,3066-009,10,,,,
23146,,,,,3066-009,11,,,,
23147,,,,,3066-009,12,,,,
23148,,,,,3066-001,6,,,,
23149,,,,,3066-001,7,,,,
23150,,,,,3065-001,2,,,,
23151,,,,,3063-002,1,,,,
23152,,,,,3063-002,2,,,,
23153,,,,,3063-002,3,,,,
23154,,,,,3063-002,5,,,,
23155,,,,,3063-002,6,,,,
23156,,,,,3063-002,7,,,,
23157,,,,,3063-002,8,,,,
23158,,,,,3063-002,9,,,,
23159,,,,,3063-002,10,,,,
23160,,,,,3063-002,11,,,,
23161,,,,,3063-002,12,,,,
23162,,,,,3063-002,13,,,,
23163,,,,,3063-001,5,,,,
23164,,,,,3062-004,2,,,,
23165,,,,,3062-004,3,,,,
23166,,,,,3062-004,4,,,,
23167,,,,,3062-004,5,,,,
23168,,,,,3062-004,6,,,,
23169,,,,,3062-004,7,,,,
23170,,,,,3062-004,8,,,,
23171,,,,,3062-004,9,,,,
23172,,,,,3062-004,10,,,,
23173,,,,,3062-001,3,,,,
23174,,,,,3061-004,1,,,,
23175,,,,,3061-004,2,,,,
23176,,,,,3061-004,3,,,,
23177,,,,,3061-004,4,,,,
23178,,,,,3061-004,5,,,,
23179,,,,,3061-004,7,,,,
23180,,,,,3061-004,8,,,,
23181,,,,,3060-011,2,,,,
23182,,,,,3060-011,3,,,,
23183,,,,,3060-009,2,,,,
23184,,,,,3060-007,1,,,,
23185,,,,,3060-007,3,,,,
23186,,,,,3060-007,4,,,,
23187,,,,,3060-007,5,,,,
23188,,,,,3060-007,6,,,,
23189,,,,,3060-007,7,,,,
23190,,,,,3060-001,8,,,,
23191,,,,,3058-104,1,,,,
23192,,,,,3058-104,2,,,,
23193,,,,,3058-104,3,,,,
23194,,,,,3058-104,4,,,,
23195,,,,,3058-104,5,,,,
23196,,,,,3058-104,6,,,,
23197,,,,,3058-104,7,,,,
23198,,,,,3058-104,8,,,,
23199,,,,,3058-104,9,,,,
23200,,,,,3058-104,11,,,,
23201,,,,,3058-001,8,,,,
23202,,,,,3057-001,4,,,,
23203,,,,,3056-001,6,,,,
23204,,,,,3056-001,7,,,,
23205,,,,,3055-101,2,,,,
23206,,,,,3055-101,3,,,,
23207,,,,,3052-001,5,,,,
23208,,,,,3050-001,6,,,,
23209,,,,,3048-001,9,,,,
23210,,,,,3047-001,9,,,,
23211,,,,,3044-003,1,,,,
23212,,,,,3044-003,2,,,,
23213,,,,,3044-003,3,,,,
23214,,,,,3044-003,5,,,,
23215,,,,,3044-003,6,,,,
23216,,,,,3044-003,7,,,,
23217,,,,,3044-003,8,,,,
23218,,,,,3044-003,9,,,,
23219,,,,,3044-003,10,,,,
23220,,,,,3044-003,12,,,,
23221,,,,,3043-004,1,,,,
23222,,,,,3043-004,2,,,,
23223,,,,,3043-004,3,,,,
23224,,,,,3043-004,4,,,,
23225,,,,,3043-004,5,,,,
23226,,,,,3043-004,6,,,,
23227,,,,,3043-004,7,,,,
23228,,,,,3043-004,8,,,,
23229,,,,,3043-004,9,,,,
23230,,,,,3043-004,10,,,,
23231,,,,,3043-001,7,,,,
23232,,,,,3042-001,10,,,,
23233,,,,,3042-001,11,,,,
23234,,,,,3041-006,1,,,,
23235,,,,,3041-006,2,,,,
23236,,,,,3041-006,3,,,,
23237,,,,,3041-006,4,,,,
23238,,,,,3041-006,6,,,,
23239,,,,,3041-006,7,,,,
23240,,,,,3041-001,4,,,,
23241,,,,,3041-001,5,,,,
23242,,,,,3040-002,3,,,,
23243,,,,,3040-002,6,,,,
23244,,,,,3037-001,8,0698-001,7,0698-001-001,7
23245,,,,,3035-008,1,0694-001,1,0694-001-001,1
23246,,,,,3035-008,2,0694-001,2,0694-001-001,2
23247,,,,,3035-008,3,0694-001,3,0694-001-001,3
23248,,,,,3035-008,4,0694-001,4,0694-001-001,4
23249,,,,,3035-008,5,0694-001,5,0694-001-001,5
23250,,,,,3035-008,6,0694-001,6,,
23251,,,,,3035-008,7,0694-001,7,0694-001-001,7
23252,,,,,3035-008,8,0694-008,1,,
23253,,,,,3035-002,1,0695-001,1,0695-001-001,1
23254,,,,,3035-002,2,0695-001,2,0695-001-001,2
23255,,,,,3035-002,4,0695-004,2,0695-004-001,2
23256,,,,,3035-002,5,0695-001,4,0695-001-001,4
23257,,,,,3035-002,6,,,,
23258,,,,,3035-002,7,,,,
23259,,,,,3035-002,8,,,,
23260,,,,,3035-002,9,,,,
23261,,,,,3035-001,4,0696-004,1,0696-004-001,1
23262,,,,,3035-001,5,0696-004,2,0696-004-001,2
23263,,,,,3035-001,6,0696-001,2,,
23264,,,,,3035-001,7,0696-002,3,,
23265,,,,,3035-001,8,0696-004,3,0696-004-001,3
23266,,,,,3034-001,2,,,,
23267,,,,,3034-001,3,,,,
23268,,,,,3033-001,3,,,,
23269,,,,,3031-009,1,0688-001,1,0688-001-001,1
23270,,,,,3031-009,3,0688-001,3,0688-001-001,3
23271,,,,,3031-003,1,0690-001,1,0690-001-001,1
23272,,,,,3030-001,8,0687-001,6,0687-001-001,6
23273,,,,,3029-002,2,0685-001,2,0685-001-001,2
23274,,,,,3029-002,3,0685-001,3,0685-001-001,3
23275,,,,,3028-002,2,0682-001,2,0682-001-002,1
23276,,,,,3028-002,3,,,,
23277,,,,,3028-002,4,,,,
23278,,,,,3025-002,1,0678-001,1,0678-001-001,1
23279,,,,,3025-002,2,0678-001,2,0678-001-002,1
23280,,,,,3025-002,3,0678-001,3,0678-001-001,3
23281,,,,,3025-002,4,0678-001,4,0678-001-001,4
23282,,,,,3025-002,6,0678-001,6,0678-001-002,3
23283,,,,,3023-001,6,,,,
23284,,,,,3022-001,6,0674-001,6,0674-001-001,6
23285,,,,,3022-001,7,0674-001,7,0674-001-001,7
23286,,,,,3020-001,4,0672-001,4,0672-001-001,4
23287,,,,,3018-001,4,,,,
23288,,,,,3016-006,1,0668-001,1,0668-001-001,1
23289,,,,,3016-006,3,0668-001,2,0668-001-002,1
23290,,,,,3016-006,4,0668-001,3,0668-001-001,3
23291,,,,,3015-006,2,,,,
23292,,,,,3015-006,3,,,,
23293,,,,,3015-006,4,,,,
23294,,,,,3014-004,1,,,,
23295,,,,,3014-004,3,,,,
23296,,,,,3013-001,8,,,,
23297,,,,,3012-001,6,,,,
23298,,,,,3011-001,2,,,,
23299,,,,,3010-006,3,,,,
23300,,,,,3010-003,1,,,,
23301,,,,,3010-003,3,,,,
23302,,,,,3009-004,1,,,,
23303,,,,,3009-004,2,,,,
23304,,,,,3009-004,4,,,,
23305,,,,,3009-004,5,,,,
23306,,,,,3009-004,6,,,,
23307,,,,,3009-004,7,,,,
23308,,,,,3009-001,5,,,,
23309,,,,,3009-001,6,,,,
23310,,,,,3008-001,6,,,,
23311,,,,,3008-001,7,,,,
23312,,,,,3007-004,1,,,,
23313,,,,,3007-004,2,,,,
23314,,,,,3007-004,3,,,,
23315,,,,,3007-004,4,,,,
23316,,,,,3007-004,5,,,,
23317,,,,,3007-004,6,,,,
23318,,,,,3007-004,7,,,,
23319,,,,,3007-004,8,,,,
23320,,,,,3007-004,9,,,,
23321,,,,,3005-001,4,,,,
23322,,,,,3005-001,9,,,,
23323,,,,,3004-002,1,,,,
23324,,,,,3004-002,4,,,,
23325,,,,,3004-002,5,,,,
23326,,,,,3004-002,6,,,,
23327,,,,,3004-002,7,,,,
23328,,,,,3004-002,8,,,,
23329,,,,,3003-003,1,,,,
23330,,,,,3003-003,3,,,,
23331,,,,,3002-001,2,,,,
23332,,,,,3002-001,3,,,,
23333,,,,,3002-001,4,,,,
23334,,,,,3002-001,5,,,,
23335,,,,,3001-001,2,,,,
23336,,,,,3001-001,3,,,,
23337,,,,,3000-001,3,,,,
23338,,,,,2999-001,8,,,,
23339,,,,,2998-002,3,,,,
23340,,,,,2998-001,3,,,,
23341,,,,,2997-001,7,,,,
23342,,,,,2997-001,8,,,,
23343,,,,,2996-001,5,,,,
23344,,,,,2995-003,1,,,,
23345,,,,,2995-003,2,,,,
23346,,,,,2995-003,4,,,,
23347,,,,,2994-001,7,,,,
23348,,,,,2991-001,4,,,,
23349,,,,,2991-001,5,,,,
23350,,,,,2990-001,8,,,,
23351,,,,,2989-001,7,,,,
23352,,,,,2987-001,5,,,,
23353,,,,,2986-003,2,,,,
23354,,,,,2986-003,3,,,,
23355,,,,,2985-009,2,,,,
23356,,,,,2985-002,1,,,,
23357,,,,,2985-002,2,,,,
23358,,,,,2985-002,3,,,,
23359,,,,,2985-002,4,,,,
23360,,,,,2985-002,5,,,,
23361,,,,,2985-002,6,,,,
23362,,,,,2985-002,7,,,,
23363,,,,,2985-002,8,,,,
23364,,,,,2985-002,9,,,,
23365,,,,,2985-002,10,,,,
23366,,,,,2985-002,11,,,,
23367,,,,,2985-002,12,,,,
23368,,,,,2985-002,13,,,,
23369,,,,,2985-002,14,,,,
23370,,,,,2985-002,15,,,,
23371,,,,,2985-002,16,,,,
23372,,,,,2985-002,18,,,,
23373,,,,,2984-003,1,,,,
23374,,,,,2984-003,2,,,,
23375,,,,,2984-003,3,,,,
23376,,,,,2984-003,5,,,,
23377,,,,,2984-002,2,,,,
23378,,,,,2984-002,3,,,,
23379,,,,,2984-002,4,,,,
23380,,,,,2984-002,5,,,,
23381,,,,,2983-016,1,,,,
23382,,,,,2983-016,3,,,,
23383,,,,,2983-016,4,,,,
23384,,,,,2983-016,5,,,,
23385,,,,,2983-016,6,,,,
23386,,,,,2983-001,15,,,,
23387,,,,,2983-001,16,,,,
23388,,,,,2982-003,1,,,,
23389,,,,,2982-003,3,,,,
23390,,,,,2982-003,4,,,,
23391,,,,,2982-003,5,,,,
23392,,,,,2982-003,6,,,,
23393,,,,,2982-003,7,,,,
23394,,,,,2982-003,8,,,,
23395,,,,,2982-003,9,,,,
23396,,,,,2982-003,10,,,,
23397,,,,,2982-003,11,,,,
23398,,,,,2982-003,12,,,,
23399,,,,,2982-003,13,,,,
23400,,,,,2982-003,14,,,,
23401,,,,,2982-003,15,,,,
23402,,,,,2982-003,16,,,,
23403,,,,,2982-003,17,,,,
23404,,,,,2982-003,19,,,,
23405,,,,,2982-003,20,,,,
23406,,,,,2982-001,7,,,,
23407,,,,,2982-001,8,,,,
23408,,,,,2981-001,3,,,,
23409,,,,,2981-001,4,,,,
23410,,,,,2980-003,2,,,,
23411,,,,,2980-001,10,,,,
23412,,,,,2979-001,8,,,,
23413,,,,,2979-001,9,,,,
23414,,,,,2979-001,10,,,,
23415,,,,,2978-001,6,,,,
23416,,,,,2977-001,9,,,,
23417,,,,,2976-007,7,,,,
23418,,,,,2976-001,7,,,,
23419,,,,,2976-001,8,,,,
23420,,,,,2976-001,9,,,,
23421,,,,,2976-001,10,,,,
23422,,,,,2974-001,8,,,,
23423,,,,,2973-001,4,,,,
23424,,,,,2972-001,4,,,,
23425,,,,,2971-001,7,,,,
23426,,,,,2967-001,8,,,,
23427,,,,,2967-001,9,,,,
23428,,,,,2966-001,2,,,,
23429,,,,,2966-001,3,,,,
23430,,,,,2966-001,4,,,,
23431,,,,,2966-001,5,,,,
23432,,,,,2966-001,6,,,,
23433,,,,,2965-002,1,,,,
23434,,,,,2965-002,2,,,,
23435,,,,,2965-002,3,,,,
23436,,,,,2965-002,4,,,,
23437,,,,,2965-002,5,,,,
23438,,,,,2965-002,6,,,,
23439,,,,,2965-002,7,,,,
23440,,,,,2965-002,9,,,,
23441,,,,,2965-002,10,,,,
23442,,,,,2965-002,11,,,,
23443,,,,,2963-001,8,,,,
23444,,,,,2963-001,9,,,,
23445,,,,,2959-001,4,,,,
23446,,,,,2958-001,5,,,,
23447,,,,,2957-001,5,0665-001,5,,
23448,,,,,2955-001,2,0663-001,2,0663-001-002,2
23449,,,,,2955-001,3,0663-003,2,0663-001-001,9
23450,,,,,2955-001,4,0663-001,3,0663-001-001,3
23451,,,,,2953-002,1,0660-001,1,,
23452,,,,,2953-001,3,,,,
23453,,,,,2953-001,4,0661-002,2,0661-002-001,2
23454,,,,,2952-001,3,,,,
23455,,,,,2951-001,7,0658-001,7,0658-001-003,2
23456,,,,,2948-001,9,,,,
23457,,,,,2947-001,7,,,,
23458,,,,,2947-001,8,,,,
23459,,,,,2942-005,1,,,,
23460,,,,,2942-004,1,,,,
23461,,,,,2942-004,3,,,,
23462,,,,,2942-004,4,,,,
23463,,,,,2942-004,5,,,,
23464,,,,,2940-005,1,,,,
23465,,,,,2940-005,2,,,,
23466,,,,,2940-005,3,,,,
23467,,,,,2940-005,4,,,,
23468,,,,,2940-005,5,,,,
23469,,,,,2940-003,1,,,,
23470,,,,,2940-003,2,,,,
23471,,,,,2940-003,3,,,,
23472,,,,,2940-003,4,,,,
23473,,,,,2940-003,5,,,,
23474,,,,,2940-003,6,,,,
23475,,,,,2939-001,5,,,,
23476,,,,,2938-004,1,,,,
23477,,,,,2938-004,2,,,,
23478,,,,,2938-004,3,,,,
23479,,,,,2938-004,4,,,,
23480,,,,,2938-004,6,,,,
23481,,,,,2938-004,7,,,,
23482,,,,,2938-004,8,,,,
23483,,,,,2938-004,9,,,,
23484,,,,,2938-004,10,,,,
23485,,,,,2938-004,11,,,,
23486,,,,,2938-004,12,,,,
23487,,,,,2938-004,13,,,,
23488,,,,,2938-004,14,,,,
23489,,,,,2938-004,15,,,,
23490,,,,,2937-004,1,,,,
23491,,,,,2937-004,3,,,,
23492,,,,,2937-001,9,,,,
23493,,,,,2934-001,5,,,,
23494,,,,,2933-001,5,,,,
23495,,,,,2932-001,7,,,,
23496,,,,,2931-001,6,,,,
23497,,,,,2930-003,1,,,,
23498,,,,,2929-002,3,,,,
23499,,,,,2929-001,8,,,,
23500,,,,,2928-003,1,,,,
23501,,,,,2928-003,2,,,,
23502,,,,,2928-003,3,,,,
23503,,,,,2928-003,5,,,,
23504,,,,,2928-003,6,,,,
23505,,,,,2928-001,4,,,,
23506,,,,,2927-001,1,,,,
23507,,,,,2927-001,3,,,,
23508,,,,,2927-001,4,,,,
23509,,,,,2926-005,2,,,,
23510,,,,,2922-008,1,,,,
23511,,,,,2922-008,2,,,,
23512,,,,,2922-008,4,,,,
23513,,,,,2920-003,1,,,,
23514,,,,,2920-001,3,,,,
23515,,,,,2918-001,7,,,,
23516,,,,,2917-001,4,,,,
23517,,,,,2915-001,9,,,,
23518,,,,,2914-011,2,,,,
23519,,,,,2914-011,3,,,,
23520,,,,,2914-005,2,,,,
23521,,,,,2914-004,2,,,,
23522,,,,,2914-001,5,,,,
23523,,,,,2914-001,6,,,,
23524,,,,,2914-001,7,,,,
23525,,,,,2912-001,5,,,,
23526,,,,,2910-001,4,,,,
23527,,,,,2909-001,2,,,,
23528,,,,,2909-001,4,,,,
23529,,,,,2908-001,2,,,,
23530,,,,,2905-001,15,,,,
23531,,,,,2904-001,4,,,,
23532,,,,,2903-001,5,,,,
23533,,,,,2902-001,5,,,,
23534,,,,,2900-001,5,,,,
23535,,,,,2900-001,6,,,,
23536,,,,,2900-001,7,,,,
23537,,,,,2898-001,6,,,,
23538,,,,,2897-001,5,,,,
23539,,,,,2895-005,1,,,,
23540,,,,,2895-004,1,,,,
23541,,,,,2895-004,3,,,,
23542,,,,,2895-003,2,,,,
23543,,,,,2895-001,6,,,,
23544,,,,,2894-001,9,,,,
23545,,,,,2893-001,3,,,,
23546,,,,,2893-001,4,,,,
23547,,,,,2889-003,1,,,,
23548,,,,,2889-003,3,,,,
23549,,,,,2887-001,5,0655-001,5,0655-001-001,5
23550,,,,,2885-005,1,0651-001,1,0651-001-001,2
23551,,,,,2885-001,2,0652-001,2,0652-001-001,2
23552,,,,,2885-001,3,0652-003,2,0652-003-001,2
23553,,,,,2885-001,4,0652-001,3,0652-001-001,3
23554,,,,,2883-001,4,0648-001,4,0648-001-001,4
23555,,,,,2882-001,5,0647-001,5,0647-001-001,5
23556,,,,,2881-001,6,0646-001,6,,
23557,,,,,2880-001,4,0642-001,11,0642-001-009,3
23558,,,,,2879-006,1,0643-001,1,0643-001-001,1
23559,,,,,2879-006,2,0643-001,2,0643-001-001,2
23560,,,,,2879-006,3,0643-001,3,,
23561,,,,,2879-006,5,0643-001,5,0643-001-001,5
23562,,,,,2879-006,6,0643-001,6,,
23563,,,,,2879-006,7,0643-001,7,,
23564,,,,,2878-001,4,,,,
23565,,,,,2877-008,1,,,,
23566,,,,,2877-008,2,,,,
23567,,,,,2877-008,3,,,,
23568,,,,,2877-008,4,,,,
23569,,,,,2877-008,6,,,,
23570,,,,,2877-008,7,,,,
23571,,,,,2877-008,8,,,,
23572,,,,,2877-008,9,,,,
23573,,,,,2877-008,10,,,,
23574,,,,,2877-008,11,,,,
23575,,,,,2877-002,6,,,,
23576,,,,,2877-001,11,,,,
23577,,,,,2877-001,12,,,,
23578,,,,,2877-001,13,,,,
23579,,,,,2875-001,12,,,,
23580,,,,,2874-001,9,,,,
23581,,,,,2873-007,1,,,,
23582,,,,,2873-007,3,,,,
23583,,,,,2873-006,1,,,,
23584,,,,,2873-006,2,,,,
23585,,,,,2873-006,3,,,,
23586,,,,,2873-006,5,,,,
23587,,,,,2871-006,1,,,,
23588,,,,,2871-006,2,,,,
23589,,,,,2871-006,3,,,,
23590,,,,,2871-006,5,,,,
23591,,,,,2871-006,6,,,,
23592,,,,,2871-006,7,,,,
23593,,,,,2871-006,8,,,,
23594,,,,,2870-003,3,,,,
23595,,,,,2870-001,11,,,,
23596,,,,,2869-001,4,,,,
23597,,,,,2867-004,3,,,,
23598,,,,,2867-002,5,,,,
23599,,,,,2866-001,8,,,,
23600,,,,,2866-001,9,,,,
23601,,,,,2865-001,10,,,,
23602,,,,,2864-003,1,,,,
23603,,,,,2864-003,2,,,,
23604,,,,,2864-003,3,,,,
23605,,,,,2864-003,4,,,,
23606,,,,,2864-003,5,,,,
23607,,,,,2864-003,6,,,,
23608,,,,,2864-003,7,,,,
23609,,,,,2864-003,8,,,,
23610,,,,,2864-003,9,,,,
23611,,,,,2864-003,10,,,,
23612,,,,,2860-003,1,,,,
23613,,,,,2860-003,7,,,,
23614,,,,,2858-001,5,,,,
23615,,,,,2858-001,6,,,,
23616,,,,,2857-001,7,,,,
23617,,,,,2856-002,1,,,,
23618,,,,,2856-002,2,,,,
23619,,,,,2856-002,3,,,,
23620,,,,,2856-002,4,,,,
23621,,,,,2856-002,5,,,,
23622,,,,,2855-002,1,,,,
23623,,,,,2855-002,2,,,,
23624,,,,,2855-002,3,,,,
23625,,,,,2855-002,5,,,,
23626,,,,,2855-002,6,,,,
23627,,,,,2855-002,8,,,,
23628,,,,,2855-001,2,,,,
23629,,,,,2855-001,3,,,,
23630,,,,,2855-001,4,,,,
23631,,,,,2851-001,2,,,,
23632,,,,,2851-001,3,,,,
23633,,,,,2850-004,1,,,,
23634,,,,,2850-004,2,,,,
23635,,,,,2850-004,3,,,,
23636,,,,,2850-004,5,,,,
23637,,,,,2850-004,6,,,,
23638,,,,,2850-004,7,,,,
23639,,,,,2850-004,8,,,,
23640,,,,,2850-004,9,,,,
23641,,,,,2850-004,10,,,,
23642,,,,,2850-004,11,,,,
23643,,,,,2850-004,12,,,,
23644,,,,,2850-004,13,,,,
23645,,,,,2850-004,14,,,,
23646,,,,,2850-001,4,,,,
23647,,,,,2849-001,6,,,,
23648,,,,,2847-001,4,,,,
23649,,,,,2846-010,2,,,,
23650,,,,,2846-009,1,,,,
23651,,,,,2846-009,2,,,,
23652,,,,,2846-009,4,,,,
23653,,,,,2846-009,5,,,,
23654,,,,,2846-009,6,,,,
23655,,,,,2846-009,7,,,,
23656,,,,,2846-009,8,,,,
23657,,,,,2846-008,1,,,,
23658,,,,,2846-008,2,,,,
23659,,,,,2846-008,4,,,,
23660,,,,,2846-004,2,,,,
23661,,,,,2846-004,3,,,,
23662,,,,,2846-004,4,,,,
23663,,,,,2846-002,1,,,,
23664,,,,,2842-002,1,,,,
