sdd_hhid,foodbev,alctob,foodIN,foodOUT,utilities,clothing,hhexpenses,health,transport,communic,recreat,educa,other,expm,fisherb4c4,foodbevR,alctobR,foodINR,foodOUTR,utilitiesR,clothingR,hhexpensesR,healthR,transportR,communicR,recreatR,educaR,otherR,expmR,region,quarter,urban,area,mainland,hhsize,adulteq
0201-001-001,4243200,0,2672800,1570400,456400,945000,49000,0,1248000,144000,0,0,494000,6634600,1.12459218502045,3773101,0,2376683.75,1396417.375,405836,840304.625,43571.3515625,0,1109735.625,128046.4140625,0,0,439270.34375,5899561,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,2,1.8799999952316284
0202-002-001,2173682.5,0,2173682.5,0,363200,35000,0,0,104000,0,0,100000,164400,2905282.5,1.09796249866486,1979742,0,1979742,0,330794.53125,31877.2265625,0,0,94720.90625,0,0,91077.7890625,149731.890625,2646067.25,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,4,2.6800000071525574
0203-001-001,5604671.5,0,4512671.5,1092000,678800,270000,63000,0,780000,300000,0,0,324000,7750471.5,1.12459218502045,4983737,0,4012718.25,971018.6875,603596.5625,240087.03125,56020.30859375,0,693584.75,266763.375,0,0,288104.4375,6891806.5,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,3,2.280000001192093
0203-001-002,3006120,0,1479920,1526200,533200,220000,348500,19500,1248000,72000,0,0,380000,5607320,1.12459218502045,2673075.75,0,1315961.5,1357114.125,474127.4375,195626.46875,309890.125,17339.619140625,1109735.625,64023.20703125,0,0,337900.28125,4986092,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,1,0.8799999952316284
0204-001-001,4100200,0,2644200,1456000,893200,705000,42000,689000,4420000,300000,0,294000,708000,11446400,1.12459218502045,3645944,0,2351252.25,1294691.5,794243.5,626893.9375,37346.87109375,612666.5625,3930313.75,266763.375,0,261428.109375,629561.5625,10178267,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,9,7.800000011920929
0204-001-009,2870400,0,1666600,1203800,737200,225000,62000,0,0,144000,0,0,81400,3895000,0.842694699764252,3406215.75,0,1977703.25,1428512.625,874812.6875,267000.625,73573.5,0,0,170880.390625,0,0,96594.890625,4622077,6,Apr-Jun 2019,Urban,Rest of urban,Mainland,1,1
0204-008-001,2195885.75,0,2195885.75,0,593200,340000,77000,130000,239200,96000,0,0,481600,3812885.75,1.12459218502045,1952606.25,0,1952606.25,0,527480.125,302331.8125,68469.265625,115597.4609375,212699.328125,85364.28125,0,0,428244.125,3390460.75,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,3,2.3599999845027924
0205-001-001,3823040,0,2549040,1274000,1312400,275000,40000,0,312000,240000,0,510000,60000,6297440,1.12459218502045,3399490,0,2266635,1132855.125,1167000.875,244533.09375,35568.44921875,0,277433.90625,213410.6875,0,453497.71875,53352.671875,5599754.5,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,4,2.8400000035762787
0208-004-001,656704.9375,0,656704.9375,0,12000,0,2500,0,0,36000,0,0,26400,733604.9375,0.972517251968384,675263,0,675263,0,12339.1123046875,0,2570.6484375,0,0,37017.33984375,0,0,27146.048828125,754336.1875,18,Apr-Jun 2019,Rural,Rural,Mainland,2,1.8799999952316284
0210-001-001,1144000,197600,197600,1144000,67200,27000,12000,0,104000,72000,0,0,36000,1632800,1.12459218502045,1017257.625,175708.140625,175708.140625,1017257.625,59754.99609375,24008.703125,10670.53515625,0,92477.96875,64023.20703125,0,0,32011.603515625,1451904.125,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,1,1
0210-002-002,784853.375,0,784853.375,0,89200,59000,0,19500,104000,60000,0,23000,78000,1158553.375,1.03654038906097,757185.5,0,757185.5,0,86055.5,56920.1171875,0,18812.580078125,100333.765625,57884.86328125,0,22189.197265625,75250.3203125,1117711.75,8,Oct-Dec 2019,Urban,Rest of urban,Mainland,3,1.8400000035762787
0211-001-001,4793750,0,3701750,1092000,732000,35000,0,0,2496000,120000,0,220000,285600,8647350,1.09796249866486,4366041.5,0,3371472.25,994569.5,666689.4375,31877.2265625,0,0,2273301.75,109293.3515625,0,200371.140625,260118.171875,7875815.5,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,5,4.519999980926514
0211-006-001,4628371.5,0,3172371.5,1456000,245200,285000,110000,845000,0,0,15000,0,186000,6029571.5,1.09796249866486,4215418.5,0,2889326,1326092.625,223322.75,259571.703125,100185.5703125,769607.3125,0,0,13661.6689453125,0,169404.6875,5491600.5,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,3,2.280000001192093
0212-001-001,4709417,0,3045417.25,1664000,562000,225000,24500,0,582400,120000,0,416000,204000,6618317,1.09796249866486,4289233,0,2773698.75,1515534.5,511857.1875,204925.03125,22314.05859375,0,530437.0625,109293.3515625,0,378883.625,185798.703125,6027817,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,3,2.8799999952316284
0214-001-001,5586300,0,5144300,442000,682400,390000,480000,884000,520000,180000,0,2720000,686400,11739100,0.842694699764252,6629091,0,6104583.5,524507.875,809783.1875,462801.0625,569601.3125,1049015.75,617068.0625,213600.484375,0,3227740.75,814529.875,13930431,18,Apr-Jun 2019,Urban,Rest of urban,Mainland,6,4.359999984502792
0215-001-001,2928900,208000,2876900,260000,293200,50000,53000,234000,312000,120000,0,30000,174000,4353100,1.01817429065704,2876619.5,204287.21875,2825547.75,255359.03125,287966.40625,49107.5078125,52053.95703125,229823.125,306430.84375,117858.015625,0,29464.50390625,170894.125,4275397.5,6,Oct-Dec 2019,Rural,Rural,Mainland,5,3.4799999594688416
0216-001-001,4586689,312000,4300689,598000,1032400,320000,60000,13000,676000,180000,0,3895000,204000,10959089,1.09796249866486,4177455,284162.71875,3916972.5,544645.1875,940287.125,291448.9375,54646.67578125,11840.11328125,615685.875,163940.03125,0,3547480,185798.703125,9981296,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,5,4.519999980926514
0216-006-001,2915466.75,0,2915466.75,0,830600,470000,106000,364000,0,240000,0,0,180000,4636067,1.09796249866486,2655342.75,0,2655342.75,0,756492.125,428065.625,96542.4609375,331523.15625,0,218586.703125,0,0,163940.03125,4222427.5,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,2,1.8799999952316284
0217-001-001,2132000,390000,0,2522000,108000,90000,190000,0,312000,96000,0,0,170400,3398400,1.09796249866486,1941778.5,355203.375,0,2296982,98364.015625,81970.015625,173047.796875,0,284162.71875,87434.6796875,0,0,155196.5625,3095187.75,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,1,1
0217-002-001,4395600,0,4395600,0,454000,600000,68000,195000,279600,144000,0,2500000,356600,8392800,0.842694699764252,5216124,0,5216124,0,538747.875,712001.625,80693.515625,231400.53125,331792.75,170880.390625,0,2966673.5,423166.3125,9959479,5,Apr-Jun 2019,Urban,Rest of urban,Mainland,5,4.64000004529953
0218-001-001,2496000,0,1976000,520000,792000,230000,0,0,0,360000,0,0,672000,4320000,1.03654038906097,2408010.25,0,1906341.5,501668.8125,764080.1875,221891.984375,0,0,0,347309.1875,0,0,648310.5,4167710.25,13,Oct-Dec 2019,Urban,Rest of urban,Mainland,2,1.7599999904632568
0218-001-002,3178500,0,2320500,858000,66000,264000,190000,0,977600,288000,0,0,48000,4748100,1.01817429065704,3121764.25,0,2279079.25,842684.8125,64821.90625,259287.625,186608.515625,0,960149.9375,282859.21875,0,0,47143.20703125,4663347,5,Oct-Dec 2019,Rural,Rural,Mainland,2,1.8799999952316284
0218-001-003,4862000,0,3224000,1638000,676600,248000,120000,2106000,364000,96000,0,30000,120000,8374600,1.09796249866486,4428202,0,2936348,1491854.25,616232.3125,225872.921875,109293.3515625,1918098.25,331523.15625,87434.6796875,0,27323.337890625,109293.3515625,7627401,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,4,3.439999997615814
0218-001-005,2392000,364000,0,2756000,0,500000,95000,52000,480000,96000,15000,0,719520,4213520,1.01817429065704,2349303,357502.65625,0,2706805.75,0,491075.0625,93304.2578125,51071.8046875,471432.0625,94286.4140625,14732.251953125,0,706676.625,4138309.25,9,Oct-Dec 2019,Rural,Rural,Mainland,4,2.759999990463257
0219-001-001,6890000,0,5304000,1586000,613200,155000,165000,781600,156000,72000,0,526000,228000,9431800,0.842694699764252,8176152,0,6294094.5,1882057.625,727665.6875,183933.75,195800.453125,927500.8125,185120.421875,85440.1953125,0,624188.125,270560.625,11192428,5,Apr-Jun 2019,Urban,Rest of urban,Mainland,5,4.240000009536743
0219-005-001,3465800,0,3205800,260000,662000,108000,42000,322400,364000,540000,2000,299500,50400,5748100,0.842694699764252,4112758.75,0,3804224.75,308534.03125,785575.125,128160.296875,49840.11328125,382582.21875,431947.65625,640801.4375,2373.3388671875,355407.46875,59808.13671875,6821094.5,5,Apr-Jun 2019,Urban,Rest of urban,Mainland,4,2.8400000035762787
0220-001-001,6274378,0,5660778,613600,610400,526000,38000,0,1300000,540000,0,135000,177600,9075378,1.09637653827667,5722831.5,0,5163169.5,559661.75,556743.0625,479762.1875,34659.625,0,1185724,492531.53125,0,123132.8828125,161988.140625,8277610.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,5,4.7200000286102295
0220-001-003,2933914.25,0,2299514.25,634400,683200,220000,218000,0,3120000,168000,0,85000,626000,7834114,1.09637653827667,2676009.75,0,2097376.5,578633.3125,623143.5625,200660.984375,198836.796875,0,2845737.75,153232.03125,0,77528.109375,570971.75,7145459.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,2,1.7599999904632568
0220-001-006,2389400,0,2389400,0,370400,222000,57000,0,312000,192000,0,0,100800,3421600,1.09637653827667,2179360.75,0,2179360.75,0,337840.125,202485.171875,51989.4375,0,284573.75,175122.3125,0,0,91939.21875,3120825.75,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,4,2.759999990463257
0220-001-007,5834400,0,4274400,1560000,658400,356000,225000,0,312000,180000,0,265000,108000,7582800,1.09637653827667,5321529.5,0,3898660.5,1422868.875,600523.625,324705.96875,205221.46875,0,284573.75,164177.171875,0,241705.28125,98506.3046875,6916237,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,5,3.919999986886978
0220-001-008,1670708,0,1670708,0,227200,395000,7000,13000,62400,180000,0,0,54000,2214308,1.09637653827667,1523845.125,0,1523845.125,0,207228.078125,360277.6875,6384.66796875,11857.240234375,56914.75390625,164177.171875,0,0,49253.15234375,2019660.125,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,1,0.8799999952316284
0221-001-001,1518400,0,0,1518400,252000,146000,9000,0,520000,180000,0,12700,44400,2536500,1.09637653827667,1384925.625,0,0,1384925.625,229848.046875,133165.921875,8208.8583984375,0,474289.59375,164177.171875,0,11583.611328125,40497.03515625,2313530,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,3,2.6399999856948853
0222-001-001,7230045,0,4203645,3026400,1522400,768000,198000,0,364000,240000,0,3300000,204000,13058445,1.09637653827667,6594491,0,3834125.25,2760365.5,1388574,700489.25,180594.890625,0,332002.71875,218902.890625,0,3009914.75,186067.46875,11910548,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,8,7.360000014305115
0223-001-001,3133433.25,0,2197433.25,936000,360000,470000,84000,260000,52000,96000,0,0,471600,4457033,1.01817429065704,3077501.75,0,2158209.25,919292.5,353574.03125,461610.5625,82500.609375,255359.03125,51071.8046875,94286.4140625,0,0,463182,4377475.5,4,Oct-Dec 2019,Rural,Rural,Mainland,2,1.8799999952316284
0224-001-001,2030600,0,1687400,343200,358400,395000,140000,156000,780000,96000,0,0,555600,4116600,0.972517251968384,2087983.5,0,1735084.875,352898.625,368528.15625,406162.46875,143956.3125,160408.46875,802042.3125,98712.8984375,0,0,571300.9375,4232932.5,5,Apr-Jun 2019,Rural,Rural,Mainland,2,1.3599999845027924
0225-001-001,2936440,0,2728440,208000,1200000,137000,59000,312000,624000,300000,0,0,66000,5497440,1.09637653827667,2678313.5,0,2488597.5,189715.84375,1094514.5,124957.0703125,53813.62890625,284573.75,569147.5,273628.625,0,0,60198.296875,5014189.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,2,1.7599999904632568
0225-001-003,1801800,0,1801800,0,688400,147000,9000,0,520000,96000,0,896000,78000,4089200,1.09637653827667,1643413.5,0,1643413.5,0,627886.5,134078.03125,8208.8583984375,0,474289.59375,87561.15625,0,817237.5,71143.4375,3729740.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,6,4.999999970197678
0226-001-001,6120400,572000,6692400,0,910400,1925000,113000,182000,1456000,480000,0,4800000,1253000,15886800,1.12459218502045,5442328.5,508628.8125,5950957,0,809537.875,1711731.625,100480.8671875,161836.4375,1294691.5,426821.375,0,4268214,1114181.625,14126721,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,5,4.399999976158142
0228-001-003,2315200,0,2315200,0,773200,332000,222000,273000,997600,96000,0,0,202000,4879000,1.09637653827667,2111683.25,0,2111683.25,0,705232.1875,302815.6875,202485.171875,249002.046875,909906.375,87561.15625,0,0,184243.265625,4450113.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,3,2.280000001192093
0228-001-004,2457866.5,0,1979466.625,478400,555200,164000,0,237000,728000,168000,0,0,308500,4454566.5,1.09637653827667,2241808.75,0,1805462.375,436346.4375,506395.375,149583.640625,0,216166.609375,664005.4375,153232.03125,0,0,281381.4375,4062989.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,2,1.8799999952316284
0228-001-005,3029000,0,3029000,0,958400,345000,20000,338000,234000,72000,0,102000,364000,5117400,1.09637653827667,2762737,0,2762737,0,874152.25,314672.90625,18241.908203125,308288.25,213430.328125,65670.8671875,0,93033.734375,332002.71875,4667557,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,5,3.560000002384186
0228-001-006,1721200,0,0,1721200,115200,150000,15000,0,0,144000,0,0,116000,2111400,1.09637653827667,1569898.625,0,0,1569898.625,105073.390625,136814.3125,13681.4306640625,0,0,131341.734375,0,0,105803.0703125,1925798.25,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,1,1
0230-001-001,5956022,234000,4890022,1300000,1223200,265000,864000,169000,1140000,96000,0,9800000,698000,20180222,1.09796249866486,5424613.5,213122.03125,4453724,1184011.25,1114063.5,241356.15625,786912.125,153921.46875,1038286.8125,87434.6796875,0,8925624,635723,18379700,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,9,8.840000033378601
0231-001-001,3666000,0,3666000,0,717600,450000,0,0,234000,72000,0,1635000,294000,6618600,1.09796249866486,3338911.75,0,3338911.75,0,653574.25,409850.0625,0,0,213122.03125,65576.0078125,0,1489121.875,267768.71875,6028074.5,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,4,3.3199999928474426
0232-001-001,1950371.375,0,1196371.375,754000,300000,80000,0,0,520000,60000,0,750000,112800,3693171.5,1.09796249866486,1776355.125,0,1089628.625,686726.5625,273233.375,72862.234375,0,0,473604.53125,54646.67578125,0,683083.4375,102735.75,3363659,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,3,2.439999997615814
0232-001-002,3741400,780000,2441400,2080000,492000,325000,0,0,1560000,540000,0,0,486000,7599400,1.09796249866486,3407584.5,710406.75,2223573.25,1894418.125,448102.75,296002.8125,0,0,1420813.5,491820.0625,0,0,442638.0625,6921365.5,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,3,2.280000001192093
0233-001-001,2979228.5,0,1757228.625,1222000,437200,480000,131000,130000,1279200,240000,0,2500000,186000,7882628.5,1.09796249866486,2713415.5,0,1600445,1112970.625,398192.09375,437173.40625,119311.90625,118401.1328125,1165067.125,218586.703125,0,2276944.75,169404.6875,7179324,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,4,3.759999990463257
0235-001-002,2841800,0,1775800,1066000,893200,350000,52000,130000,260000,240000,0,0,204000,4621000,1.09796249866486,2588248.75,0,1617359.375,970889.25,813506.8125,318772.28125,47360.453125,118401.1328125,236802.265625,218586.703125,0,0,185798.703125,4208705,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,3,2.280000001192093
0236-005-001,3369549,0,3369549,0,74000,190000,42000,0,72000,36000,0,0,120000,3713549,0.842694699764252,3998540.75,0,3998540.75,0,87813.53125,225467.1875,49840.11328125,0,85440.1953125,42720.09765625,0,0,142400.328125,4406755,10,Apr-Jun 2019,Urban,Rest of urban,Mainland,4,2.759999990463257
0238-001-001,1194328.5,0,918728.5625,275600,293200,100000,0,0,239200,288000,0,0,57600,2072328.5,1.09637653827667,1089341.5,0,837968.125,251373.5,267426.375,91209.5390625,0,0,218173.21875,262683.46875,0,0,52536.6953125,1890161.25,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,2,1.8799999952316284
0239-001-001,7325066.5,468000,5011066.5,2782000,1247200,355000,20000,650000,520000,600000,0,120000,324000,11274266,1.09637653827667,6681159.5,426860.65625,4570570.5,2537449.5,1137565.375,323793.875,18241.908203125,592862,474289.59375,547257.25,0,109451.4453125,295518.90625,10283206,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,5,4.120000004768372
0239-001-004,1128462.625,0,1128462.625,0,840000,105000,20000,0,26000,72000,1000,0,30000,2117462.5,1.01817429065704,1108319.75,0,1108319.75,0,825006.125,103125.765625,19643.001953125,0,25535.90234375,70714.8046875,982.150146484375,0,29464.50390625,2079666,17,Oct-Dec 2019,Rural,Rural,Mainland,1,1
0239-106-001,1891388.625,0,1891388.625,0,725200,535000,24000,0,2340000,204000,7000,0,93600,5285188.5,1.09637653827667,1725126.875,0,1725126.875,0,661451.5625,487971.03125,21890.2890625,0,2134303.25,186067.46875,6384.66796875,0,85372.1328125,4820596,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,4,2.759999990463257
0240-001-001,7982000,1300000,0,9282000,474000,240000,40000,0,1768000,360000,0,0,174000,12098000,1.09637653827667,7280345.5,1185724,0,8466070,432333.21875,218902.890625,36483.81640625,0,1612584.625,328354.34375,0,0,158704.59375,11034530,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,3,2.3599999845027924
0241-001-001,3338400,0,3338400,0,665200,140000,0,0,0,84000,0,233000,118800,4439400,1.09637653827667,3044939.25,0,3044939.25,0,606725.875,127693.359375,0,0,0,76616.015625,0,212518.234375,108356.9375,4049156.25,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,5,4.199999988079071
0242-001-001,6371898.5,0,4369898.5,2002000,1090400,225000,818000,0,4800000,120000,0,1400000,288000,14888298,1.09637653827667,5811779.5,0,3985764.25,1826015,994548.8125,205221.46875,746094.0625,0,4378058,109451.4453125,0,1276933.625,262683.46875,13579548,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,5,4.159999996423721
0243-001-001,2073825,0,1137825,936000,120000,160000,0,735000,624000,120000,0,445000,204000,4321825,1.01817429065704,2036807.5,0,1117515,919292.5,117858.015625,157144.015625,0,721880.3125,612861.6875,117858.015625,0,437056.8125,200358.625,4244681,20,Oct-Dec 2019,Rural,Rural,Mainland,2,1.8799999952316284
0244-001-001,7132840,312000,5260840,2184000,665200,477000,283200,32500,832000,240000,0,400000,381800,10279540,1.09637653827667,6505830.5,284573.75,4798388,1992016.375,606725.875,435069.5,258305.421875,29643.099609375,758863.375,218902.890625,0,364838.15625,348238.03125,9375921,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,7,4.879999995231628
0247-001-001,8840000,156000,4414800,4581200,876000,125000,0,559000,1300000,504000,0,115000,148800,12498800,1.12459218502045,7860627.5,138716.953125,3925689.75,4073654.5,778949.0625,111151.40625,0,497069.0625,1155974.625,448162.46875,0,102259.2890625,132314.625,11114073,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,7,6.2799999713897705
0249-001-001,924344.75,52000,924344.75,52000,29200,0,12000,0,208000,12000,0,0,36000,1273544.75,1.01817429065704,907845.3125,51071.8046875,907845.3125,51071.8046875,28678.783203125,0,11785.8017578125,0,204287.21875,11785.8017578125,0,0,35357.40234375,1250812.125,3,Oct-Dec 2019,Rural,Rural,Mainland,3,2.080000013113022
0251-001-001,2519439.5,0,2519439.5,0,480000,195000,0,0,0,24000,5000,75000,150000,3253439.5,1.03654038906097,2430623.5,0,2430623.5,0,463078.90625,188125.8125,0,0,0,23153.9453125,4823.73876953125,72356.078125,144712.15625,3138748.5,1,Oct-Dec 2019,Urban,Rest of urban,Mainland,4,3.240000009536743
0252-001-001,2948400,0,2480400,468000,605200,420000,205000,0,312000,180000,0,235000,174000,4659600,1.09796249866486,2685337.5,0,2259093.5,426244.0625,551202.8125,382526.71875,186709.46875,0,284162.71875,163940.03125,0,214032.8125,158475.359375,4243861,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,6,4.7599999606609344
0253-001-001,3562000,0,3250000,312000,408000,114000,290000,0,260000,48000,0,0,174000,4742000,1.09796249866486,3244191,0,2960028.25,284162.71875,371597.40625,103828.6796875,264125.59375,0,236802.265625,43717.33984375,0,0,158475.359375,4318909,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,2,1.600000023841858
0254-001-001,4095000,0,2639000,1456000,426000,245000,95000,0,1040000,360000,0,280000,192000,6488000,1.09796249866486,3729635.5,0,2403543,1326092.625,387991.40625,223140.59375,86523.8984375,0,947209.0625,327880.0625,0,255017.8125,174869.359375,5909127,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,4,3.439999997615814
0255-001-001,3252600,0,1978600,1274000,297600,105000,0,0,1092000,72000,0,155000,187200,5056400,1.09637653827667,2966681.5,0,1804672,1162009.5,271439.59375,95770.015625,0,0,996008.1875,65670.8671875,0,141374.78125,170744.265625,4611919,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,10,7.9200000166893005
0255-001-009,1381466.625,0,1381466.625,0,170400,58000,94000,0,52000,96000,0,0,204000,1997866.625,1.01817429065704,1356807.625,0,1356807.625,0,167358.375,56964.70703125,92322.109375,0,51071.8046875,94286.4140625,0,0,200358.625,1962205,9,Oct-Dec 2019,Rural,Rural,Mainland,3,2.080000013113022
0257-001-001,4677400,0,3741400,936000,486000,545000,44000,0,832000,540000,0,3075000,252000,9906400,1.09637653827667,4266235,0,3412513.75,853721.3125,443278.375,497092,40132.19921875,0,758863.375,492531.53125,0,2804693.25,229848.046875,9035582,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,6,4.839999973773956
0259-001-001,1394342.875,0,1394342.875,0,293200,114000,0,0,0,72000,0,0,62400,1821942.875,1.09637653827667,1271773.75,0,1271773.75,0,267426.375,103978.875,0,0,0,65670.8671875,0,0,56914.75390625,1661785.75,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,3,2.759999990463257
0259-004-001,1289600,0,977600,312000,230800,84500,0,0,650000,48000,0,12000,114000,2344400,1.09637653827667,1176238.25,0,891664.4375,284573.75,210511.625,77072.0625,0,0,592862,43780.578125,0,10945.14453125,103978.875,2138316.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,2,1.6800000071525574
0260-001-001,1359800,0,1099800,260000,338800,67000,20000,0,780000,60000,0,300000,84000,2942600,0.969407081604004,1402713.125,0,1134507.875,268205.1875,349491.96875,69114.4140625,20631.16796875,0,804615.5625,61893.50390625,0,309467.5,86650.90625,3035463.75,6,Jul-Sep 2019,Rural,Rural,Mainland,3,3.0800000429153442
0261-001-001,4617080,577200,2329080,2865200,302800,320000,70000,32500,790400,108000,0,90000,122400,6710380,1.09637653827667,4211217.5,526461.4375,2124343.25,2613335.75,276182.5,291870.53125,63846.6796875,29643.099609375,720920.1875,98506.3046875,0,82088.5859375,111640.4765625,6120506.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,5,4.03999999165535
0261-001-002,1260826.625,0,1260826.625,0,461200,150000,0,0,0,72000,0,40000,132000,1966026.625,1.09637653827667,1149994.125,0,1149994.125,0,420658.40625,136814.3125,0,0,0,65670.8671875,0,36483.81640625,120396.59375,1793203.875,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,2,1.5199999809265137
0262-001-002,1435200,421200,156000,1700400,160800,155000,12000,0,0,144000,0,0,80400,2253600,1.09637653827667,1309039.375,384174.59375,142286.875,1550927,146664.9375,141374.78125,10945.14453125,0,0,131341.734375,0,0,73332.46875,2055498.25,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,3,2.8799999952316284
0263-001-001,13670222,0,13670222,0,1440000,1035000,1150000,1261000,5088000,504000,50000,5205000,522000,28890222,1.12459218502045,12155715,0,12155715,0,1280464.125,920333.625,1022592.9375,1121295.375,4524306.5,448162.46875,44460.5625,4628344.5,464168.25,25689510,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,8,7.200000017881393
0263-001-004,3374800,0,3192800,182000,785200,236500,0,0,624000,420000,12000,34500,169200,5419700,0.972517251968384,3470169.75,0,3283026.5,187143.203125,807389.25,243183.34375,0,0,641633.875,431868.9375,12339.1123046875,35474.94921875,173981.484375,5572857.5,6,Apr-Jun 2019,Rural,Rural,Mainland,6,4.840000003576279
0263-001-006,3098643,0,1512642.875,1586000,862400,359000,41000,195000,312000,240000,0,452000,90000,5291043,0.972517251968384,3186208.75,0,1555389.25,1630819.375,886770.875,369145.125,42158.63671875,200510.578125,320816.9375,246782.25,0,464773.25,92543.34375,5440564.5,6,Apr-Jun 2019,Rural,Rural,Mainland,3,2.439999997615814
0264-001-001,2314000,0,2002000,312000,185200,100000,7000,0,0,84000,0,0,48000,2638200,1.09637653827667,2110588.75,0,1826015,284573.75,168920.0625,91209.5390625,6384.66796875,0,0,76616.015625,0,0,43780.578125,2406290,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,4,3.439999997615814
0265-001-001,621400,0,621400,0,231400,0,0,65000,0,36000,0,57000,24000,1034800,0.842694699764252,737396.375,0,737396.375,0,274595.28125,0,0,77133.5078125,0,42720.09765625,0,67640.15625,28480.064453125,1227965.5,5,Apr-Jun 2019,Urban,Rest of urban,Mainland,4,3.399999976158142
0266-001-001,3115060,0,1867060,1248000,22400,61000,51600,26000,155200,216000,0,0,79200,3665460,0.842694699764252,3696546.25,0,2215583,1480963.375,26581.39453125,72386.8359375,61232.140625,30853.404296875,184171.09375,256320.59375,0,0,93984.21875,4349689,6,Apr-Jun 2019,Urban,Rest of urban,Mainland,3,2.8799999952316284
0267-001-001,1848816.625,0,1848816.625,0,5200,0,0,286000,0,19800,0,20000,24000,2203816.5,0.972517251968384,1901063,0,1901063,0,5346.94873046875,0,0,294082.1875,0,20359.53515625,0,20565.1875,24678.224609375,2266095,6,Apr-Jun 2019,Rural,Rural,Mainland,3,2.8000000715255737
0267-001-003,1061666.625,0,968066.625,93600,369600,38000,20000,765000,0,36000,0,0,96000,2348266.5,0.972517251968384,1091668.625,0,995423.625,96245.078125,380044.6875,39073.85546875,20565.1875,786618.4375,0,37017.33984375,0,0,98712.8984375,2414627,6,Apr-Jun 2019,Rural,Rural,Mainland,3,2.439999997615814
0267-001-005,2626000,0,119600,2506400,60000,102000,26400,52000,1344000,72000,0,0,69600,4250000,0.972517251968384,2700209.25,0,122979.8203125,2577229.25,61695.5625,104882.4609375,27146.048828125,53469.48828125,1381980.625,74034.6796875,0,0,71566.8515625,4370102.5,6,Apr-Jun 2019,Rural,Rural,Mainland,2,1.8799999952316284
