sdd_hhid,foodbev,alctob,foodIN,foodOUT,utilities,clothing,hhexpenses,health,transport,communic,recreat,educa,other,expm,fisherb4c4,foodbevR,alctobR,foodINR,foodOUTR,utilitiesR,clothingR,hhexpensesR,healthR,transportR,communicR,recreatR,educaR,otherR,expmR,region,quarter,urban,area,mainland,hhsize,adulteq
0081-001-001,4206800,0,3863600,343200,87600,52000,132000,0,0,72000,0,92200,52800,4643400,0.969407081604004,4339560,0,3985529,354030.84375,90364.515625,53641.03515625,136165.703125,0,0,74272.203125,0,95109.6796875,54466.28125,4789938,4,Jul-Sep 2019,Rural,Rural,Mainland,7,7.080000042915344
0081-004-001,1132485.75,109200,929685.6875,312000,38800,122000,0,0,0,24000,0,24000,68100,1396585.75,0.972517251968384,1164489.125,112285.9296875,955958.0625,320816.9375,39896.46484375,125447.6484375,0,0,0,24678.224609375,0,24678.224609375,70024.4609375,1436052.375,4,Apr-Jun 2019,Rural,Rural,Mainland,4,2.8400000035762787
0082-001-001,5029705.5,0,3209705.5,1820000,0,117500,36000,432000,0,120000,0,400000,132000,6149705.5,0.969407081604004,5188435,0,3310998.5,1877436.25,0,121208.109375,37136.1015625,445633.21875,0,123787.0078125,0,412623.34375,136165.703125,6343780.5,4,Jul-Sep 2019,Rural,Rural,Mainland,5,4.400000035762787
0082-003-001,6857287.5,0,3217287.5,3640000,0,225000,280000,0,1576000,192000,0,140000,170400,9215688,1.09682285785675,6251955.5,0,2933279,3318676.25,0,205137.953125,255282.796875,0,1436877.375,175051.0625,0,127641.3984375,155357.8125,8402166,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,5,4.7200000286102295
0082-003-002,1085500,0,1085500,0,449200,135000,0,302000,0,36000,1000,0,78000,1951700,1.09796249866486,988649.4375,0,988649.4375,0,409121.4375,122955.015625,0,275054.9375,0,32788.00390625,910.77789306640625,0,71040.6796875,1777565.25,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,3,2.280000001192093
0082-004-001,5353400,0,2592200,2761200,850400,500000,24000,596500,1168000,384000,0,110000,498000,8984300,0.989414274692535,5410676,0,2619934,2790742,859498.4375,505349.5,24256.775390625,602881.9375,1180496.375,388108.40625,0,111176.890625,503328.09375,9080423,5,Jan-Mar 2019,Urban,Rest of urban,Mainland,9,6.39999994635582
0082-005-001,4789571.5,0,4139571.5,650000,653200,495000,195000,0,208000,384000,0,0,369600,6599371.5,1.09637653827667,4368546,0,3775684.25,592862,595780.6875,451487.21875,177858.609375,0,189715.84375,350244.625,0,0,337110.46875,6019256.5,7,Jul-Sep 2019,Urban,Dar es Salaam,Mainland,3,2.3599999845027924
0083-001-001,2515224.75,0,2515224.75,0,5200,307000,336000,205000,3000000,480000,0,0,412000,6953425,0.969407081604004,2594601.25,0,2594601.25,0,5364.103515625,316688.4375,346603.625,211469.46875,3094675.25,495148.03125,0,0,425002.0625,7172864,4,Jul-Sep 2019,Rural,Rural,Mainland,9,7.879999965429306
0084-001-001,2699055,0,2049055.125,650000,125200,240000,92000,0,0,120000,0,1020000,102000,4158255,0.969407081604004,2784232.75,0,2113720,670512.9375,129151.109375,247574.015625,94903.3671875,0,0,123787.0078125,0,1052189.5,105218.953125,4289483,4,Jul-Sep 2019,Rural,Rural,Mainland,6,4.679999977350235
0084-002-001,3260848.25,52000,2714848.25,598000,15600,145000,201800,390000,0,24000,0,0,96000,4040248.25,0.969407081604004,3363755.25,53641.03515625,2800524.5,616871.9375,16092.310546875,149575.96875,208168.484375,402307.78125,0,24757.400390625,0,0,99029.6015625,4167752,4,Jul-Sep 2019,Rural,Rural,Mainland,7,6.159999996423721
0085-001-001,1609281.5,0,1609281.5,0,24000,0,12000,0,0,0,0,0,48000,1693281.5,0.969407081604004,1660067.875,0,1660067.875,0,24757.400390625,0,12378.7001953125,0,0,0,0,0,49514.80078125,1746718.75,4,Jul-Sep 2019,Rural,Rural,Mainland,1,0.7200000286102295
0085-002-001,2358200,0,2358200,0,545200,200000,12000,0,0,120000,0,0,174000,3209400,1.09682285785675,2150028.25,0,2150028.25,0,497072.0625,182344.84375,10940.69140625,0,0,109406.9140625,0,0,158640.015625,2926087.75,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,3,2.3599999845027924
0085-003-001,2056127.25,0,1718127.25,338000,72400,123000,10000,279500,332000,120000,0,0,78000,2948027.25,1.09682285785675,1874621.125,0,1566458.25,308162.8125,66008.8359375,112142.0859375,9117.2421875,254826.921875,302692.4375,109406.9140625,0,0,71114.4921875,2687788,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,4,2.759999990463257
0086-001-001,2145000,0,897000,1248000,46400,69000,0,0,3120000,36000,0,360000,102000,5809400,1.12459218502045,1907358.125,0,797622.5,1109735.625,41259.40234375,61355.57421875,0,0,2774339,32011.603515625,0,320116.03125,90699.546875,5165783.5,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,4,3.880000054836273
0087-001-001,2390514.25,0,2203314.25,187200,286400,360000,34000,58500,520000,276000,0,25500,56400,3647314.25,0.969407081604004,2465955,0,2272847.25,193107.734375,295438.3125,371361.03125,35072.984375,60346.1640625,536410.375,284710.125,0,26304.73828125,58179.89453125,3762417.5,6,Jul-Sep 2019,Rural,Rural,Mainland,4,2.919999986886978
0087-001-002,2588172,0,2588172,0,5200,130000,27000,0,0,36000,0,140000,144000,2940372,0.969407081604004,2669850.5,0,2669850.5,0,5364.103515625,134102.59375,27852.076171875,0,0,37136.1015625,0,144418.171875,148544.40625,3033165.5,4,Jul-Sep 2019,Rural,Rural,Mainland,4,3.4800000190734863
0088-001-001,2267153,0,2267153,0,48400,295000,12000,0,0,52800,6000,54300,96000,2536653,0.969407081604004,2338700.75,0,2338700.75,0,49927.42578125,304309.71875,12378.7001953125,0,0,54466.28125,6189.35009765625,56013.62109375,99029.6015625,2616705.75,4,Jul-Sep 2019,Rural,Rural,Mainland,6,4.679999977350235
0089-001-001,6625543,0,4805543,1820000,111600,195000,293000,0,108000,120000,0,176000,150000,7584143,0.969407081604004,6834634.5,0,4957198,1877436.25,115121.9140625,201153.890625,302246.59375,0,111408.3046875,123787.0078125,0,181554.28125,154733.75,7823486.5,4,Jul-Sep 2019,Rural,Rural,Mainland,10,8.800000011920929
0089-002-001,3467362.5,0,3467362.5,0,24000,225000,10000,0,0,24000,0,20000,120000,3665362.5,0.969407081604004,3576786.75,0,3576786.75,0,24757.400390625,232100.640625,10315.583984375,0,0,24757.400390625,0,20631.16796875,123787.0078125,3781035.5,4,Jul-Sep 2019,Rural,Rural,Mainland,4,2.8400000035762787
0089-002-002,874510,0,874510,0,149200,64500,38000,585000,0,72000,0,0,72000,1790710,1.09682285785675,797312,0,797312,0,136029.265625,58806.21484375,34645.5234375,533358.6875,0,65644.1484375,0,0,65644.1484375,1632633.75,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,3,2.280000001192093
0090-001-001,4832016.5,0,4676016.5,156000,216000,235000,192000,468000,0,96000,0,0,114000,5918016.5,0.969407081604004,4984507,0,4823584,160923.109375,222816.609375,242416.21875,198059.203125,482769.3125,0,99029.6015625,0,0,117597.65625,6104779.5,4,Jul-Sep 2019,Rural,Rural,Mainland,4,3.8799999952316284
0090-001-005,1452100,0,880100,572000,480000,2500,0,0,291200,120000,0,0,182400,2525700,1.03654038906097,1400910.25,0,849074.5,551835.6875,463078.90625,2411.869384765625,0,0,280934.53125,115769.7265625,0,0,175969.984375,2436663.25,5,Oct-Dec 2019,Urban,Rest of urban,Mainland,3,2.280000001192093
0091-001-001,3450200,0,163800,3286400,114000,147000,81000,689000,416000,216000,0,0,120000,5086200,1.03654038906097,3328572.75,0,158025.6875,3170547,109981.2421875,141817.921875,78144.5703125,664711.1875,401335.0625,208385.515625,0,0,115769.7265625,4906900,26,Oct-Dec 2019,Urban,Rest of urban,Mainland,2,1.8799999952316284
0092-001-001,2350660,0,2350660,0,77200,237000,59000,65000,0,72000,0,30000,114000,2767860,1.09682285785675,2143153.75,0,2143153.75,0,70385.109375,216078.640625,53791.73046875,59262.078125,0,65644.1484375,0,27351.728515625,103936.5625,2523525,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,5,4.03999999165535
0093-001-001,6956560,0,3719560,3237000,552400,486000,32000,0,1572000,300000,0,64000,478400,9955360,1.12459218502045,6185851.5,0,3307474.5,2878376.75,491200.28125,432156.65625,28454.759765625,0,1397840,266763.375,0,56909.51953125,425398.65625,8852418,7,Apr-Jun 2019,Urban,Dar es Salaam,Mainland,5,4.399999976158142
0096-001-001,2463933.25,52000,2515933.25,0,64400,120000,36000,611000,0,48000,0,57000,90000,3422333.25,1.09682285785675,2246427.75,47409.66015625,2293837.25,0,58715.04296875,109406.9140625,32822.07421875,557063.5,0,43762.765625,0,51968.28125,82055.1796875,3120224.25,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,6,5.0400000512599945
0096-002-002,1086800,0,1086800,0,229600,100000,0,130000,0,24000,0,0,110400,1580800,0.969407081604004,1121097.625,0,1121097.625,0,236845.796875,103155.8359375,0,134102.59375,0,24757.400390625,0,0,113884.046875,1630687.5,4,Jul-Sep 2019,Rural,Rural,Mainland,5,3.4400000274181366
