interview__key,sdd_hhid,sdd_indid,plot_id_x,plot_name_x,hh_g1cx_11,hh_g1cx_12,hh_g1cx_13_1,hh_g1cx_13_2,hh_g1cx_13_3,hh_g1cx_14,hh_g1cx_15,hh_g1cx_16,hh_g1cx_17,hh_g1cx_18,hh_g1cx_19,hh_g1cx_20,hh_g1cx_21,hh_g1cx_22_1,hh_g1cx_22_2,hh_g1cx_22_3,hh_g1cx_23,hh_g1cx_24,hh_g1cx_25,hh_g1cx_26
34-83-13-34,0840-001-002,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
34-83-13-34,0840-001-002,4,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
70-81-71-72,0840-001-003,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
50-33-65-85,0841-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
50-33-65-85,0841-001-001,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
50-33-65-85,0841-001-001,4,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,1,2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,2,2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,5,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,5,2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
