interview__key,sdd_hhid,sdd_indid,hh_g301,hh_g302
59-55-68-20,0126-001-001,1,YES,1
59-55-68-20,0126-001-001,2,YES,1
59-55-68-20,0126-001-001,4,,
59-55-68-20,0126-001-001,5,YES,1
59-55-68-20,0126-001-001,6,,
59-55-68-20,0126-001-001,7,YES,1
59-55-68-20,0126-001-001,8,,
59-55-68-20,0126-001-001,9,NO,
59-55-68-20,0126-001-001,10,,
32-50-39-98,0126-001-003,1,YES,1
32-50-39-98,0126-001-003,2,YES,1
32-50-39-98,0126-001-003,3,,
20-77-46-74,0127-001-001,1,YES,1
20-77-46-74,0127-001-001,2,YES,1
20-77-46-74,0127-001-001,3,YES,1
20-77-46-74,0127-001-001,4,,
20-77-46-74,0127-001-001,5,,
20-77-46-74,0127-001-001,6,,
20-77-46-74,0127-001-001,7,,
20-77-46-74,0127-001-001,8,YES,1
20-77-46-74,0127-001-001,9,YES,1
20-77-46-74,0127-001-001,10,YES,1
20-77-46-74,0127-001-001,11,,
20-77-46-74,0127-001-001,12,,
20-77-46-74,0127-001-001,13,,
40-08-98-18,0127-003-001,1,YES,1
40-08-98-18,0127-003-001,6,YES,1
48-18-47-32,0127-005-001,1,YES,1
48-18-47-32,0127-005-001,4,YES,1
87-27-18-80,0128-001-001,1,,
87-27-18-80,0128-001-001,2,YES,1
87-27-18-80,0128-001-001,4,NO,
87-27-18-80,0128-001-001,5,NO,
87-27-18-80,0128-001-001,6,,
77-02-36-76,0129-001-001,1,YES,1
77-02-36-76,0129-001-001,2,YES,1
77-02-36-76,0129-001-001,3,,
77-02-36-76,0129-001-001,4,,
77-02-36-76,0129-001-001,5,,
71-99-12-22,0129-004-003,1,YES,1
71-99-12-22,0129-004-003,2,YES,1
71-99-12-22,0129-004-003,3,YES,1
71-99-12-22,0129-004-003,4,,
71-99-12-22,0129-004-003,5,,
71-99-12-22,0129-004-003,6,,
71-99-12-22,0129-004-003,7,,
30-09-14-99,0129-004-004,1,YES,1
15-74-57-76,0130-001-001,1,YES,1
18-53-46-11,0131-001-002,1,NO,
18-53-46-11,0131-001-002,2,NO,
18-53-46-11,0131-001-002,3,YES,1
18-53-46-11,0131-001-002,4,,
18-53-46-11,0131-001-002,5,,
18-53-46-11,0131-001-002,6,,
18-53-46-11,0131-001-002,7,,
72-29-77-92,0133-001-001,1,NO,
44-39-10-22,0134-001-001,1,NO,
44-39-10-22,0134-001-001,2,YES,1
44-39-10-22,0134-001-001,4,,
44-39-10-22,0134-001-001,5,NO,
23-86-10-09,0134-006-001,1,YES,1
23-86-10-09,0134-006-001,2,YES,1
23-86-10-09,0134-006-001,3,,
49-77-74-54,0136-001-001,1,NO,
49-77-74-54,0136-001-001,2,,
21-87-07-74,0137-001-001,1,NO,
21-87-07-74,0137-001-001,2,NO,
21-87-07-74,0137-001-001,4,NO,
21-87-07-74,0137-001-001,5,,
91-46-77-86,0137-003-001,1,YES,1
91-46-77-86,0137-003-001,2,,
91-46-77-86,0137-003-001,4,YES,1
91-46-77-86,0137-003-001,5,,
91-46-77-86,0137-003-001,6,,
91-46-77-86,0137-003-001,7,,
91-46-77-86,0137-003-001,8,,
91-46-77-86,0137-003-001,9,,
91-46-77-86,0137-003-001,10,,
91-46-77-86,0137-003-001,11,,
96-40-12-40,0138-002-001,1,YES,1
51-16-04-26,0139-001-001,1,NO,
51-16-04-26,0139-001-001,2,,
51-16-04-26,0139-001-001,3,,
51-16-04-26,0139-001-001,5,,
78-88-97-43,0140-002-001,1,NO,
78-88-97-43,0140-002-001,2,NO,
78-88-97-43,0140-002-001,4,,
78-88-97-43,0140-002-001,5,,
43-41-40-08,0142-001-001,1,NO,
18-32-58-97,0142-002-001,1,YES,1
93-57-90-59,0142-002-002,1,YES,1
93-57-90-59,0142-002-002,2,YES,1
93-57-90-59,0142-002-002,3,,
45-56-78-16,0142-006-001,1,NO,
76-14-00-21,0142-006-002,1,NO,
76-14-00-21,0142-006-002,2,,
76-14-00-21,0142-006-002,3,,
70-42-29-42,0143-001-001,1,NO,
70-42-29-42,0143-001-001,2,NO,
70-42-29-42,0143-001-001,3,NO,
70-42-29-42,0143-001-001,4,NO,
70-42-29-42,0143-001-001,5,,
70-42-29-42,0143-001-001,6,,
30-35-00-07,0144-001-001,1,YES,1
30-35-00-07,0144-001-001,2,YES,1
30-35-00-07,0144-001-001,3,,
30-35-00-07,0144-001-001,4,YES,1
30-35-00-07,0144-001-001,5,,
30-35-00-07,0144-001-001,6,,
30-35-00-07,0144-001-001,7,,
30-35-00-07,0144-001-001,8,,
30-35-00-07,0144-001-001,9,,
73-64-37-36,0145-002-001,1,YES,1
73-64-37-36,0145-002-001,2,,
22-45-37-86,0146-001-001,1,YES,1
22-45-37-86,0146-001-001,2,YES,2
22-45-37-86,0146-001-001,4,,
22-45-37-86,0146-001-001,5,,
22-45-37-86,0146-001-001,6,,
22-45-37-86,0146-001-001,8,,
22-45-37-86,0146-001-001,10,,
22-45-37-86,0146-001-001,12,YES,2
22-45-37-86,0146-001-001,13,,
22-45-37-86,0146-001-001,14,YES,1
22-45-37-86,0146-001-001,15,,
22-45-37-86,0146-001-001,16,,
22-45-37-86,0146-001-001,17,NO,
44-69-89-77,0146-001-003,1,YES,2
64-63-77-61,0146-001-007,1,YES,1
64-63-77-61,0146-001-007,2,YES,1
64-63-77-61,0146-001-007,3,YES,1
64-63-77-61,0146-001-007,4,,
80-90-53-00,0146-001-009,1,YES,1
38-77-50-86,0147-001-001,1,YES,1
38-77-50-86,0147-001-001,2,YES,1
38-77-50-86,0147-001-001,3,,
38-77-50-86,0147-001-001,4,YES,1
38-77-50-86,0147-001-001,5,NO,
38-77-50-86,0147-001-001,6,,
27-48-78-18,0148-001-001,1,YES,1
27-48-78-18,0148-001-001,2,YES,1
27-48-78-18,0148-001-001,3,,
55-93-34-62,0149-001-002,2,NO,
55-93-34-62,0149-001-002,3,YES,1
55-93-34-62,0149-001-002,4,YES,1
55-93-34-62,0149-001-002,6,,
55-93-34-62,0149-001-002,8,YES,1
55-93-34-62,0149-001-002,10,YES,1
55-93-34-62,0149-001-002,12,,
55-93-34-62,0149-001-002,13,,
55-93-34-62,0149-001-002,15,,
55-93-34-62,0149-001-002,16,,
55-93-34-62,0149-001-002,17,,
55-93-34-62,0149-001-002,20,YES,1
55-93-34-62,0149-001-002,21,NO,
55-93-34-62,0149-001-002,22,NO,
55-93-34-62,0149-001-002,23,,
55-93-34-62,0149-001-002,24,,
55-93-34-62,0149-001-002,25,,
55-93-34-62,0149-001-002,26,,
55-93-34-62,0149-001-002,27,,
55-93-34-62,0149-001-002,28,,
42-47-45-53,0149-001-009,1,YES,1
42-47-45-53,0149-001-009,2,NO,
42-47-45-53,0149-001-009,3,,
52-34-01-68,0151-001-001,1,YES,1
52-34-01-68,0151-001-001,2,YES,1
52-34-01-68,0151-001-001,4,,
52-34-01-68,0151-001-001,6,,
66-61-34-49,0151-001-003,1,YES,1
30-08-77-60,0152-001-002,1,NO,
24-38-82-18,0153-001-001,1,YES,1
24-38-82-18,0153-001-001,2,YES,1
24-38-82-18,0153-001-001,3,,
24-38-82-18,0153-001-001,4,,
24-38-82-18,0153-001-001,5,,
24-38-82-18,0153-001-001,6,,
24-38-82-18,0153-001-001,7,,
10-44-19-68,0154-001-001,1,YES,1
10-44-19-68,0154-001-001,2,NO,
10-44-19-68,0154-001-001,3,,
10-44-19-68,0154-001-001,4,,
10-44-19-68,0154-001-001,5,,
04-84-88-57,0155-001-001,1,YES,1
04-84-88-57,0155-001-001,6,NO,
04-84-88-57,0155-001-001,7,,
04-84-88-57,0155-001-001,9,,
32-87-19-04,0155-001-002,1,YES,1
35-61-56-23,0155-001-003,1,YES,1
35-61-56-23,0155-001-003,2,,
63-01-65-91,0155-001-005,1,YES,2
04-30-93-81,0157-001-001,1,,
04-30-93-81,0157-001-001,2,YES,1
04-30-93-81,0157-001-001,3,,
04-30-93-81,0157-001-001,4,,
11-64-23-03,0158-001-001,1,YES,1
49-01-93-27,0158-001-003,1,YES,1
49-01-93-27,0158-001-003,2,YES,1
49-01-93-27,0158-001-003,3,,
88-54-76-45,0159-001-002,2,YES,1
88-54-76-45,0159-001-002,4,,
88-54-76-45,0159-001-002,5,,
88-54-76-45,0159-001-002,6,YES,1
88-54-76-45,0159-001-002,7,YES,1
88-54-76-45,0159-001-002,8,,
88-54-76-45,0159-001-002,9,,
22-99-30-42,0159-001-003,1,YES,1
22-99-30-42,0159-001-003,2,YES,1
22-99-30-42,0159-001-003,3,,
69-81-01-27,0160-001-001,1,NO,
38-35-31-19,0160-002-001,1,YES,1
38-35-31-19,0160-002-001,3,YES,1
38-35-31-19,0160-002-001,4,,
38-35-31-19,0160-002-001,5,,
38-35-31-19,0160-002-001,6,,
29-29-15-18,0161-001-001,1,NO,
29-29-15-18,0161-001-001,2,YES,1
29-29-15-18,0161-001-001,3,NO,
53-54-39-20,0162-001-001,1,NO,
53-54-39-20,0162-001-001,2,YES,1
53-54-39-20,0162-001-001,3,,
89-30-25-72,0163-001-001,1,YES,1
89-30-25-72,0163-001-001,4,YES,1
74-07-84-83,0163-001-002,1,NO,
74-07-84-83,0163-001-002,2,YES,1
74-07-84-83,0163-001-002,3,,
17-99-98-98,0164-001-001,1,YES,1
54-64-05-36,0166-001-001,1,YES,1
54-64-05-36,0166-001-001,2,,
54-64-05-36,0166-001-001,3,,
54-64-05-36,0166-001-001,4,,
56-50-71-92,0167-001-001,1,YES,1
56-50-71-92,0167-001-001,2,YES,1
56-50-71-92,0167-001-001,3,,
72-54-77-52,0168-002-001,1,,
72-54-77-52,0168-002-001,3,,
72-54-77-52,0168-002-001,5,,
72-54-77-52,0168-002-001,6,YES,1
72-54-77-52,0168-002-001,7,YES,1
72-54-77-52,0168-002-001,8,YES,1
72-54-77-52,0168-002-001,9,,
72-54-77-52,0168-002-001,10,,
72-54-77-52,0168-002-001,11,,
59-93-30-27,0168-002-002,1,YES,1
59-93-30-27,0168-002-002,2,YES,1
59-93-30-27,0168-002-002,3,,
59-93-30-27,0168-002-002,4,,
54-61-17-84,0169-001-001,1,YES,1
58-64-20-38,0170-001-001,1,YES,1
58-64-20-38,0170-001-001,2,YES,1
58-64-20-38,0170-001-001,3,,
58-64-20-38,0170-001-001,4,YES,1
23-91-88-28,0172-004-001,1,YES,2
45-63-97-96,0173-001-001,1,YES,1
45-63-97-96,0173-001-001,2,,
45-63-97-96,0173-001-001,3,,
45-63-97-96,0173-001-001,4,YES,1
45-63-97-96,0173-001-001,5,,
45-63-97-96,0173-001-001,6,,
45-63-97-96,0173-001-001,7,,
73-57-62-18,0173-003-001,1,YES,1
61-35-02-97,0174-002-001,1,YES,1
61-35-02-97,0174-002-001,2,YES,1
61-35-02-97,0174-002-001,6,,
61-35-02-97,0174-002-001,7,,
88-48-93-24,0174-002-003,1,YES,1
88-48-93-24,0174-002-003,2,,
88-48-93-24,0174-002-003,3,,
59-64-10-91,0175-001-001,1,,
59-64-10-91,0175-001-001,3,YES,1
94-29-87-68,0175-001-002,1,YES,1
94-29-87-68,0175-001-002,2,,
94-29-87-68,0175-001-002,3,,
80-22-80-03,0175-003-001,1,YES,1
80-22-80-03,0175-003-001,2,,
80-22-80-03,0175-003-001,3,,
80-22-80-03,0175-003-001,4,YES,1
23-37-68-79,0175-007-001,1,YES,1
23-37-68-79,0175-007-001,2,YES,1
23-37-68-79,0175-007-001,3,,
69-45-62-82,0175-008-002,1,YES,1
69-45-62-82,0175-008-002,2,,
69-45-62-82,0175-008-002,3,,
24-73-10-13,0175-008-003,3,NO,
24-73-10-13,0175-008-003,4,,
24-73-10-13,0175-008-003,6,,
24-73-10-13,0175-008-003,7,YES,1
24-73-10-13,0175-008-003,8,,
24-73-10-13,0175-008-003,9,,
05-54-45-31,0175-014-001,1,YES,1
05-54-45-31,0175-014-001,2,NO,
05-54-45-31,0175-014-001,5,,
78-81-52-69,0175-014-003,1,YES,1
78-81-52-69,0175-014-003,2,,
78-81-52-69,0175-014-003,3,YES,1
78-81-52-69,0175-014-003,4,,
80-93-48-57,0177-001-001,1,YES,1
80-93-48-57,0177-001-001,2,YES,1
80-93-48-57,0177-001-001,3,,
80-93-48-57,0177-001-001,4,,
80-93-48-57,0177-001-001,5,,
80-93-48-57,0177-001-001,6,,
80-93-48-57,0177-001-001,7,,
80-93-48-57,0177-001-001,8,,
87-96-65-49,0178-001-001,1,YES,1
87-96-65-49,0178-001-001,2,,
50-72-74-09,0179-001-001,1,YES,1
50-72-74-09,0179-001-001,2,,
97-03-71-43,0179-001-003,1,YES,1
97-03-71-43,0179-001-003,2,YES,1
97-03-71-43,0179-001-003,3,,
26-41-59-49,0180-001-001,1,YES,1
26-41-59-49,0180-001-001,2,YES,1
26-41-59-49,0180-001-001,3,YES,1
26-41-59-49,0180-001-001,5,YES,1
26-41-59-49,0180-001-001,6,YES,1
26-41-59-49,0180-001-001,8,NO,
26-41-59-49,0180-001-001,9,NO,
36-54-74-87,0180-001-007,1,YES,1
36-54-74-87,0180-001-007,2,,
36-54-74-87,0180-001-007,3,YES,1
36-54-74-87,0180-001-007,4,,
36-54-74-87,0180-001-007,5,,
36-54-74-87,0180-001-007,6,,
36-54-74-87,0180-001-007,7,,
77-70-35-65,0181-001-001,1,,
77-70-35-65,0181-001-001,2,YES,1
77-70-35-65,0181-001-001,3,,
77-70-35-65,0181-001-001,4,,
40-26-23-74,0182-001-001,1,YES,1
40-26-23-74,0182-001-001,2,,
40-26-23-74,0182-001-001,3,,
82-20-98-85,0183-002-001,1,YES,1
82-20-98-85,0183-002-001,5,,
82-20-98-85,0183-002-001,7,,
93-13-13-82,0183-002-003,1,,
93-13-13-82,0183-002-003,2,NO,
93-13-13-82,0183-002-003,3,,
00-11-15-68,0184-001-001,1,YES,1
00-11-15-68,0184-001-001,2,YES,1
00-11-15-68,0184-001-001,3,,
00-11-15-68,0184-001-001,4,,
00-11-15-68,0184-001-001,5,,
00-11-15-68,0184-001-001,6,,
52-59-56-82,0185-001-002,2,YES,1
52-59-56-82,0185-001-002,3,,
52-59-56-82,0185-001-002,5,,
91-74-83-64,0186-001-001,1,YES,1
91-74-83-64,0186-001-001,2,YES,1
91-74-83-64,0186-001-001,3,,
90-16-09-17,0186-001-005,1,YES,1
90-16-09-17,0186-001-005,2,YES,1
90-16-09-17,0186-001-005,3,,
90-16-09-17,0186-001-005,4,,
80-57-22-37,0186-003-001,1,YES,1
80-57-22-37,0186-003-001,2,,
15-56-66-55,0186-004-001,1,,
15-56-66-55,0186-004-001,2,YES,1
15-56-66-55,0186-004-001,3,,
55-87-10-73,0187-001-001,1,YES,1
55-87-10-73,0187-001-001,2,YES,1
55-87-10-73,0187-001-001,4,,
55-87-10-73,0187-001-001,5,,
55-87-10-73,0187-001-001,6,,
19-67-55-32,0187-001-003,1,YES,1
19-67-55-32,0187-001-003,2,,
22-19-42-39,0188-001-001,1,YES,1
22-19-42-39,0188-001-001,2,YES,1
22-19-42-39,0188-001-001,3,,
22-19-42-39,0188-001-001,4,,
32-98-17-50,0189-001-001,1,,
32-98-17-50,0189-001-001,2,YES,1
32-98-17-50,0189-001-001,3,,
32-98-17-50,0189-001-001,4,,
69-12-32-87,0191-001-001,1,YES,1
69-12-32-87,0191-001-001,2,,
69-12-32-87,0191-001-001,3,,
69-12-32-87,0191-001-001,4,,
88-53-04-67,0192-001-002,2,YES,1
88-53-04-67,0192-001-002,3,,
88-53-04-67,0192-001-002,4,,
88-53-04-67,0192-001-002,5,NO,
88-53-04-67,0192-001-002,6,YES,1
88-53-04-67,0192-001-002,7,,
45-87-86-23,0193-001-001,1,YES,1
45-87-86-23,0193-001-001,2,,
18-27-98-28,0194-001-001,1,NO,
18-27-98-28,0194-001-001,2,YES,1
18-27-98-28,0194-001-001,3,,
18-27-98-28,0194-001-001,4,,
18-27-98-28,0194-001-001,5,YES,1
22-11-01-92,0194-007-002,2,YES,1
22-11-01-92,0194-007-002,3,,
66-54-30-86,0195-001-001,1,YES,1
66-54-30-86,0195-001-001,4,YES,1
66-54-30-86,0195-001-001,5,YES,3
66-54-30-86,0195-001-001,6,,
37-52-42-87,0195-001-003,1,YES,1
37-52-42-87,0195-001-003,2,YES,1
37-52-42-87,0195-001-003,3,,
43-65-07-99,0195-006-001,1,YES,1
43-65-07-99,0195-006-001,2,YES,1
43-65-07-99,0195-006-001,3,,
73-01-73-94,0196-001-001,1,YES,1
73-01-73-94,0196-001-001,2,YES,1
73-01-73-94,0196-001-001,3,,
42-23-49-92,0197-001-001,1,YES,1
42-23-49-92,0197-001-001,2,NO,
42-23-49-92,0197-001-001,3,,
88-74-53-78,0198-001-001,1,YES,1
88-74-53-78,0198-001-001,2,YES,1
88-74-53-78,0198-001-001,3,,
88-74-53-78,0198-001-001,4,,
88-74-53-78,0198-001-001,5,,
56-90-38-75,0199-001-001,1,YES,1
56-90-38-75,0199-001-001,2,YES,1
56-90-38-75,0199-001-001,4,,
22-00-58-38,0199-001-002,2,,
22-00-58-38,0199-001-002,3,NO,
22-00-58-38,0199-001-002,4,YES,1
22-00-58-38,0199-001-002,5,YES,1
22-00-58-38,0199-001-002,6,YES,1
22-00-58-38,0199-001-002,7,,
22-00-58-38,0199-001-002,8,,
22-00-58-38,0199-001-002,9,,
22-00-58-38,0199-001-002,10,YES,1
22-00-58-38,0199-001-002,11,,
22-00-58-38,0199-001-002,12,,
22-00-58-38,0199-001-002,13,,
22-00-58-38,0199-001-002,15,,
43-54-63-75,0199-001-014,1,YES,1
43-42-16-20,0199-008-001,1,YES,1
43-42-16-20,0199-008-001,2,,
43-42-16-20,0199-008-001,4,,
74-58-36-12,0199-008-003,1,YES,1
74-58-36-12,0199-008-003,2,YES,1
74-58-36-12,0199-008-003,3,,
68-34-72-68,0200-001-001,1,YES,1
68-34-72-68,0200-001-001,2,,
68-34-72-68,0200-001-001,3,YES,1
21-95-94-12,0201-001-001,1,YES,1
21-95-94-12,0201-001-001,2,YES,1
84-55-32-10,0202-002-001,1,YES,1
84-55-32-10,0202-002-001,2,,
84-55-32-10,0202-002-001,3,,
84-55-32-10,0202-002-001,4,,
61-58-21-91,0203-001-001,1,YES,1
61-58-21-91,0203-001-001,2,YES,1
61-58-21-91,0203-001-001,3,,
58-70-71-25,0203-001-002,2,YES,1
85-27-88-94,0204-001-001,1,YES,1
85-27-88-94,0204-001-001,2,YES,1
85-27-88-94,0204-001-001,3,,
85-27-88-94,0204-001-001,4,YES,1
85-27-88-94,0204-001-001,5,YES,1
85-27-88-94,0204-001-001,6,YES,1
85-27-88-94,0204-001-001,7,,
85-27-88-94,0204-001-001,8,,
85-27-88-94,0204-001-001,10,,
40-89-03-58,0204-001-009,1,YES,1
64-87-80-64,0204-008-001,1,YES,1
64-87-80-64,0204-008-001,2,YES,1
64-87-80-64,0204-008-001,3,,
58-88-28-93,0205-001-001,1,YES,1
58-88-28-93,0205-001-001,2,YES,1
58-88-28-93,0205-001-001,3,,
58-88-28-93,0205-001-001,4,,
83-06-62-27,0208-004-001,1,YES,1
83-06-62-27,0208-004-001,2,YES,1
79-05-47-33,0210-001-001,1,YES,1
03-96-67-80,0210-002-002,3,YES,1
03-96-67-80,0210-002-002,5,,
03-96-67-80,0210-002-002,6,,
11-75-06-50,0211-001-001,1,YES,1
11-75-06-50,0211-001-001,2,YES,1
11-75-06-50,0211-001-001,3,,
11-75-06-50,0211-001-001,4,,
11-75-06-50,0211-001-001,5,NO,
26-67-43-95,0211-006-001,1,YES,1
26-67-43-95,0211-006-001,2,YES,1
26-67-43-95,0211-006-001,3,,
49-03-77-61,0212-001-001,1,YES,2
49-03-77-61,0212-001-001,2,YES,1
49-03-77-61,0212-001-001,3,,
80-82-58-54,0214-001-001,1,YES,1
80-82-58-54,0214-001-001,2,YES,1
80-82-58-54,0214-001-001,3,,
80-82-58-54,0214-001-001,4,,
80-82-58-54,0214-001-001,5,,
80-82-58-54,0214-001-001,6,,
47-56-60-71,0215-001-001,1,YES,1
47-56-60-71,0215-001-001,2,YES,1
47-56-60-71,0215-001-001,3,,
47-56-60-71,0215-001-001,4,,
47-56-60-71,0215-001-001,5,,
43-96-13-63,0216-001-001,1,YES,1
43-96-13-63,0216-001-001,2,YES,1
43-96-13-63,0216-001-001,3,NO,
43-96-13-63,0216-001-001,4,,
43-96-13-63,0216-001-001,5,,
11-90-11-27,0216-006-001,1,YES,1
11-90-11-27,0216-006-001,4,YES,1
06-94-34-79,0217-001-001,1,YES,1
02-85-44-36,0217-002-001,1,,
02-85-44-36,0217-002-001,2,YES,1
02-85-44-36,0217-002-001,3,,
02-85-44-36,0217-002-001,4,,
02-85-44-36,0217-002-001,5,,
58-92-13-43,0218-001-001,1,YES,1
58-92-13-43,0218-001-001,2,YES,2
60-79-06-82,0218-001-002,1,YES,2
60-79-06-82,0218-001-002,2,YES,2
43-30-23-38,0218-001-003,3,,
43-30-23-38,0218-001-003,4,YES,1
43-30-23-38,0218-001-003,6,YES,1
43-30-23-38,0218-001-003,7,,
06-92-75-91,0218-001-005,1,YES,2
06-92-75-91,0218-001-005,2,,
06-92-75-91,0218-001-005,3,,
06-92-75-91,0218-001-005,4,,
98-66-63-47,0219-001-001,1,YES,1
98-66-63-47,0219-001-001,2,,
98-66-63-47,0219-001-001,3,,
98-66-63-47,0219-001-001,4,,
98-66-63-47,0219-001-001,5,YES,1
32-61-13-34,0219-005-001,1,YES,1
32-61-13-34,0219-005-001,2,YES,1
32-61-13-34,0219-005-001,3,,
32-61-13-34,0219-005-001,4,,
97-60-22-72,0220-001-001,1,YES,1
97-60-22-72,0220-001-001,2,YES,1
97-60-22-72,0220-001-001,4,,
97-60-22-72,0220-001-001,5,,
97-60-22-72,0220-001-001,9,,
00-92-63-48,0220-001-003,1,YES,1
00-92-63-48,0220-001-003,2,YES,1
14-53-90-07,0220-001-006,1,YES,1
14-53-90-07,0220-001-006,2,YES,1
14-53-90-07,0220-001-006,3,,
14-53-90-07,0220-001-006,4,,
73-82-11-64,0220-001-007,1,YES,1
73-82-11-64,0220-001-007,2,YES,1
73-82-11-64,0220-001-007,3,,
73-82-11-64,0220-001-007,4,,
73-82-11-64,0220-001-007,5,,
75-78-20-22,0220-001-008,1,YES,1
93-34-26-43,0221-001-001,1,YES,1
93-34-26-43,0221-001-001,2,,
93-34-26-43,0221-001-001,3,,
77-56-32-86,0222-001-001,1,YES,1
77-56-32-86,0222-001-001,2,YES,1
77-56-32-86,0222-001-001,3,YES,1
77-56-32-86,0222-001-001,4,,
77-56-32-86,0222-001-001,5,,
77-56-32-86,0222-001-001,6,YES,1
77-56-32-86,0222-001-001,7,YES,1
77-56-32-86,0222-001-001,8,NO,
67-31-73-27,0223-001-001,1,,
67-31-73-27,0223-001-001,2,YES,1
33-67-18-79,0224-001-001,1,YES,2
33-67-18-79,0224-001-001,2,,
84-84-63-90,0225-001-001,1,YES,1
84-84-63-90,0225-001-001,2,YES,1
72-31-02-65,0225-001-003,1,YES,1
72-31-02-65,0225-001-003,2,,
72-31-02-65,0225-001-003,3,NO,
72-31-02-65,0225-001-003,4,NO,
72-31-02-65,0225-001-003,5,,
72-31-02-65,0225-001-003,6,,
19-92-84-46,0226-001-001,1,YES,1
19-92-84-46,0226-001-001,2,YES,1
19-92-84-46,0226-001-001,3,NO,
19-92-84-46,0226-001-001,4,,
19-92-84-46,0226-001-001,5,,
29-59-86-09,0228-001-003,1,YES,1
29-59-86-09,0228-001-003,2,YES,1
29-59-86-09,0228-001-003,3,,
45-35-51-47,0228-001-004,1,YES,1
45-35-51-47,0228-001-004,2,YES,1
54-34-22-32,0228-001-005,5,NO,
54-34-22-32,0228-001-005,7,,
54-34-22-32,0228-001-005,8,YES,1
54-34-22-32,0228-001-005,9,,
54-34-22-32,0228-001-005,10,,
64-31-82-27,0228-001-006,1,YES,1
36-07-10-97,0230-001-001,1,,
36-07-10-97,0230-001-001,2,YES,1
36-07-10-97,0230-001-001,3,,
36-07-10-97,0230-001-001,4,,
36-07-10-97,0230-001-001,5,,
36-07-10-97,0230-001-001,9,,
36-07-10-97,0230-001-001,10,,
36-07-10-97,0230-001-001,11,NO,
36-07-10-97,0230-001-001,12,NO,
17-61-33-27,0231-001-001,1,YES,1
17-61-33-27,0231-001-001,2,YES,1
17-61-33-27,0231-001-001,3,,
17-61-33-27,0231-001-001,4,,
32-98-50-34,0232-001-001,1,YES,1
32-98-50-34,0232-001-001,3,,
32-98-50-34,0232-001-001,4,,
70-97-13-97,0232-001-002,1,,
70-97-13-97,0232-001-002,2,YES,1
70-97-13-97,0232-001-002,3,,
16-71-73-07,0233-001-001,1,YES,1
16-71-73-07,0233-001-001,2,,
16-71-73-07,0233-001-001,3,YES,1
16-71-73-07,0233-001-001,4,,
88-13-25-26,0235-001-002,2,,
88-13-25-26,0235-001-002,3,YES,1
88-13-25-26,0235-001-002,4,,
93-28-19-25,0236-005-001,1,YES,1
93-28-19-25,0236-005-001,2,NO,
93-28-19-25,0236-005-001,3,,
93-28-19-25,0236-005-001,4,,
38-93-36-62,0238-001-001,1,YES,1
38-93-36-62,0238-001-001,4,YES,1
81-08-56-98,0239-001-001,1,YES,2
81-08-56-98,0239-001-001,2,YES,1
81-08-56-98,0239-001-001,3,YES,2
81-08-56-98,0239-001-001,6,YES,2
81-08-56-98,0239-001-001,7,,
32-58-01-01,0239-001-004,1,YES,2
47-72-46-38,0239-106-001,1,,
47-72-46-38,0239-106-001,2,YES,1
47-72-46-38,0239-106-001,3,,
47-72-46-38,0239-106-001,4,,
28-82-44-02,0240-001-001,1,YES,2
28-82-44-02,0240-001-001,2,,
28-82-44-02,0240-001-001,3,,
02-85-17-16,0241-001-001,1,YES,1
02-85-17-16,0241-001-001,2,NO,
02-85-17-16,0241-001-001,3,,
02-85-17-16,0241-001-001,4,,
02-85-17-16,0241-001-001,5,,
99-85-97-80,0242-001-001,1,YES,1
99-85-97-80,0242-001-001,2,YES,1
99-85-97-80,0242-001-001,3,,
99-85-97-80,0242-001-001,6,,
99-85-97-80,0242-001-001,7,,
05-26-99-01,0243-001-001,1,YES,1
05-26-99-01,0243-001-001,2,,
21-44-88-45,0244-001-001,1,YES,1
21-44-88-45,0244-001-001,2,YES,1
21-44-88-45,0244-001-001,3,,
21-44-88-45,0244-001-001,4,,
21-44-88-45,0244-001-001,5,,
21-44-88-45,0244-001-001,6,,
21-44-88-45,0244-001-001,7,,
42-03-35-97,0247-001-001,1,YES,1
42-03-35-97,0247-001-001,2,NO,
42-03-35-97,0247-001-001,3,NO,
42-03-35-97,0247-001-001,4,YES,1
42-03-35-97,0247-001-001,5,YES,1
42-03-35-97,0247-001-001,6,YES,1
42-03-35-97,0247-001-001,7,,
29-56-58-07,0249-001-001,1,YES,1
29-56-58-07,0249-001-001,2,NO,
29-56-58-07,0249-001-001,3,,
47-43-87-43,0251-001-001,1,YES,1
47-43-87-43,0251-001-001,2,,
47-43-87-43,0251-001-001,5,,
47-43-87-43,0251-001-001,6,NO,
67-10-80-24,0252-001-001,1,YES,1
67-10-80-24,0252-001-001,2,YES,1
67-10-80-24,0252-001-001,3,,
67-10-80-24,0252-001-001,4,,
67-10-80-24,0252-001-001,5,,
67-10-80-24,0252-001-001,6,,
47-10-37-20,0253-001-001,1,,
47-10-37-20,0253-001-001,2,YES,2
11-56-64-74,0254-001-001,1,YES,1
11-56-64-74,0254-001-001,2,YES,1
11-56-64-74,0254-001-001,3,,
11-56-64-74,0254-001-001,5,,
66-44-07-30,0255-001-001,1,YES,1
66-44-07-30,0255-001-001,2,YES,1
66-44-07-30,0255-001-001,3,,
66-44-07-30,0255-001-001,4,,
66-44-07-30,0255-001-001,5,,
66-44-07-30,0255-001-001,6,,
66-44-07-30,0255-001-001,7,,
66-44-07-30,0255-001-001,10,,
