interview__key,sdd_hhid,cropid,ag7a_02,ag7a_03,ag7a_04,ag7a_05_1,ag7a_05_2,ag7a_06_1,ag7a_06_2,ag7a_07_1a,ag7a_07_1b,ag7a_07_2a,ag7a_07_2b,ag7a_08,ag7a_09,ag7a_10,ag7a_11,ag7a_12,ag7a_13,ag7a_14,ag7a_15,ag7a_16,ag7a_17,ag7a_18,ag7a_19,ag7a_20,ag7a_21
88-54-76-45,0159-001-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,100,0
36-54-74-87,0180-001-007,57,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,0,0
22-19-42-39,0188-001-001,54,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
22-19-42-39,0188-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,140,0,0,0,0
22-19-42-39,0188-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,0,0
22-19-42-39,0188-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
66-54-30-86,0195-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,9,0,0,6,0
66-54-30-86,0195-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,3,0
84-55-32-10,0202-002-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,75,0,0,0,0
83-06-62-27,0208-004-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,24,0
83-06-62-27,0208-004-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,200,0
83-06-62-27,0208-004-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,60,0
43-96-13-63,0216-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,10,0
11-90-11-27,0216-006-001,57,NO,,,,,,,,,,,NO,,,,,YES,INSECTS,1,30000,45,0,0,75,0
11-90-11-27,0216-006-001,58,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,1,15000,15,0,0,25,0
36-07-10-97,0230-001-001,56,NO,,,,,,,,,,,NO,,,,,NO,,,,45,0,0,25,0
32-98-50-34,0232-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,20,0
32-98-50-34,0232-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,10,0
16-71-73-07,0233-001-001,64,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,2,15000,13,0,0,12,0
93-28-19-25,0236-005-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,20,0
02-85-17-16,0241-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,75,0,0,0,0
99-85-97-80,0242-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,300,0,0,0,0
99-85-97-80,0242-001-001,57,YES,50,125000,1,2,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,10,0,0,0,0
99-85-97-80,0242-001-001,58,YES,50,50000,1,2,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,0,0
99-85-97-80,0242-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
29-56-58-07,0249-001-001,55,YES,90,90000,2,,1,2,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,60,0,0,0,0
29-56-58-07,0249-001-001,56,YES,40,15000,2,,1,2,SOKO,KARIBU NA KIJIJI,SOKO,KARIBU NA KIJIJI,NO,,,,,NO,,,,15,0,0,5,0
66-44-07-30,0255-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,0,0
42-84-07-76,0255-001-009,55,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
21-28-91-77,0266-001-001,55,YES,70,48000,2,,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,0,0
08-95-27-37,0267-001-001,57,YES,200,60000,1,,1,,DUKANI/MCHUUZI,MKOA MWINGINE,DUKANI/MCHUUZI,MKOA MWINGINE,NO,,,,,NO,,,,30,0,0,20,0
08-95-27-37,0267-001-001,60,YES,2400,300000,1,,1,,DUKANI/MCHUUZI,MKOA MWINGINE,DUKANI/MCHUUZI,MKOA MWINGINE,NO,,,,,NO,,,,50,0,0,50,0
61-93-73-52,0267-001-005,55,NO,,,,,,,,,,,NO,,,,,NO,,,,24,0,0,12,0
99-73-94-40,0268-001-001,53,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,50,0
99-73-94-40,0268-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,30,0
80-17-56-66,0283-001-001,53,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,0,0
80-17-56-66,0283-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,35,0,0,0,0
36-60-91-30,0296-001-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,45,0,0,30,0
01-12-50-30,0298-006-004,57,NO,,,,,,,,,,,NO,,,,,NO,,,,160,0,0,290,0
01-12-50-30,0298-006-004,88,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,100,0
81-68-55-28,0298-006-006,57,NO,,,,,,,,,,,NO,,,,,NO,,,,14,0,0,6,0
16-73-84-34,0300-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,0,0
16-73-84-34,0300-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,60,0
16-73-84-34,0300-001-001,101,YES,70,15000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,5,0,0,0,0
88-95-31-32,0300-001-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,86,0,0,27,0
21-51-87-14,0301-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
21-51-87-14,0301-001-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,10,0
49-07-66-40,0301-005-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,65,0,0,0,0
49-07-66-40,0301-005-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
49-07-66-40,0301-005-001,85,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,1,2000,6,0,0,0,0
30-98-65-42,0302-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,40,0
66-47-83-10,0303-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,35,0,0,30,0
62-07-81-83,0304-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,60,0
40-17-36-05,0310-001-001,60,YES,50,10000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,30,0,0,40,0
40-17-36-05,0310-001-001,63,YES,35,6000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,15,0,0,15,0
40-17-36-05,0310-001-001,102,YES,65,10000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,5,0,0,10,0
55-61-56-57,0311-002-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,0,0
55-61-56-57,0311-002-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
98-25-23-09,0312-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,110,0,0,90,0
61-15-16-96,0314-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,90,0,0,0,0
61-15-16-96,0314-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,50,0
61-15-16-96,0314-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
61-15-16-96,0314-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
66-32-50-84,0314-001-005,58,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,0,0
53-55-68-22,0315-001-001,55,YES,50,80000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,40,0
53-55-68-22,0315-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,25,0
33-84-24-00,0316-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,75,0,0,0,0
33-84-24-00,0316-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
33-84-24-00,0316-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,6,0,0,0,0
79-96-60-97,0319-001-001,55,YES,3000,450000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,2000,0,0,1000,0
79-96-60-97,0319-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,0,0
70-01-42-10,0319-002-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,0,0
50-35-86-27,0320-001-001,55,YES,100,50000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,40,0,0,10,0
87-02-55-58,0321-001-001,55,YES,50,50000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,100,0,0,0,0
87-02-55-58,0321-001-001,57,YES,660,200000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,80,0,0,60,0
87-02-55-58,0321-001-001,59,YES,150,100000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,45,0,0,5,0
87-02-55-58,0321-001-001,60,YES,1300,400000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,70,0,0,30,0
75-47-93-54,0326-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,8,0
79-72-16-28,0330-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,0,0
38-57-13-13,0331-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,13,0,0,0,0
62-23-66-59,0332-004-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,20,0
62-23-66-59,0332-004-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,200,0
62-23-66-59,0332-004-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,15,0
62-23-66-59,0332-004-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,120,0
59-32-89-82,0336-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
59-32-89-82,0336-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
59-32-89-82,0336-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,8,0,0,0,0
95-97-57-76,0337-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,90,0,0,0,0
95-97-57-76,0337-001-001,60,YES,200,36000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,50,0
79-32-59-15,0337-003-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,14,0,0,0,0
79-32-59-15,0337-003-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
57-22-81-69,0338-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,8,0,0,4,0
58-48-25-77,0339-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,16,0,0,0,0
58-48-25-77,0339-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,30,0
42-32-57-47,0342-001-001,25,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,20,0
42-32-57-47,0342-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,INSECTS,4,50000,50,0,0,70,0
42-32-57-47,0342-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,45,0
50-97-33-57,0344-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,17,0,0,0,0
26-84-97-44,0346-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,3,0,0,0,0
26-84-97-44,0346-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,35,0,0,55,0
26-84-97-44,0346-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,23,0,0,15,0
33-87-72-22,0347-001-001,60,YES,80,16000,1,2,1,2,DUKANI/MCHUUZI,KARIBU NA KIJIJI,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,,,,NO,,,,15,0,0,5,0
27-37-98-68,0348-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,10,0
27-37-98-68,0348-001-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
27-37-98-68,0348-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,30,0
62-47-27-99,0348-001-005,51,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,25,0
83-73-69-11,0350-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,53,0,0,0,0
83-73-69-11,0350-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
83-73-69-11,0350-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
83-73-69-11,0350-001-001,102,NO,,,,,,,,,,,NO,,,,,NO,,,,2,0,0,3,0
62-06-81-29,0352-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,100,0
62-06-81-29,0352-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,18,0,0,0,0
62-06-81-29,0352-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,35,0,0,15,0
52-06-17-29,0353-001-001,54,NO,,,,,,,,,,,NO,,,,,NO,,,,2,0,0,3,0
52-06-17-29,0353-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,21,0
52-06-17-29,0353-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,4,0,0,8,0
78-10-03-87,0356-001-001,53,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
78-10-03-87,0356-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
74-58-85-63,0357-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,0,0
74-58-85-63,0357-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
16-56-85-66,0357-003-001,53,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,50,0
16-56-85-66,0357-003-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,70,0
16-56-85-66,0357-003-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,55,0,0,0,0
16-56-85-66,0357-003-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,18,0,0,0,0
81-04-99-31,0358-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
81-04-99-31,0358-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
57-01-29-66,0359-001-001,55,YES,24,16000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,8,0,0,0,0
57-01-29-66,0359-001-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,26,0,0,14,0
57-01-29-66,0359-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,7,0,0,6,0
05-93-71-40,0362-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,13,0,0,0,0
05-93-71-40,0362-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,70,0,0,80,0
05-93-71-40,0362-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,70,0,0,70,0
82-38-78-50,0363-003-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
82-38-78-50,0363-003-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,3,0
16-25-69-84,0364-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
98-93-28-99,0367-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
98-93-28-99,0367-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
37-91-82-56,0369-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
37-91-82-56,0369-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,5,0
87-29-04-68,0377-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,35,0,0,0,0
88-99-03-66,0378-003-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,0,0
88-99-03-66,0378-003-001,57,YES,50,50000,1,2,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,30,0,0,20,0
88-99-03-66,0378-003-001,102,YES,60,200000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,25,0,0,15,0
11-13-08-42,0386-001-001,60,YES,600,180000,1,2,1,2,SOKO,KARIBU NA MJI,SOKO,KARIBU NA MJI,NO,,,,,NO,,,,150,0,0,50,0
90-22-50-43,0387-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
90-22-50-43,0387-001-001,63,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
43-97-80-50,0389-001-001,55,YES,98,66000,1,,1,6,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,70,0,0,0,0
43-97-80-50,0389-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,180,0,0,60,0
49-08-86-51,0389-001-002,55,NO,,,,,,,,,,,NO,,,,,NO,,,,16,0,0,0,0
49-08-86-51,0389-001-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,40,0
98-73-14-89,0390-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
98-73-14-89,0390-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,8,0,0,10,0
77-89-92-35,0391-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,100,0
42-04-98-59,0392-001-002,55,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,0,0
42-04-98-59,0392-001-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,70,0
42-04-98-59,0392-001-002,58,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
91-52-62-82,0393-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,17,0,0,13,0
68-78-67-09,0393-002-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,20,0
68-78-67-09,0393-002-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,5,0
07-50-77-12,0395-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
07-50-77-12,0395-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,1,4000,230,0,0,0,0
07-50-77-12,0395-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,8,0,0,0,0
36-58-37-13,0395-001-006,55,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,2,22000,60,0,0,0,0
36-58-37-13,0395-001-006,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,4,130000,80,0,0,40,0
41-77-08-50,0397-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,10,0
41-77-08-50,0397-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,7,0,0,5,0
46-80-56-01,0398-001-003,56,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,25,0
46-80-56-01,0398-001-003,102,NO,,,,,,,,,,,NO,,,,,NO,,,,6,0,0,6,0
75-52-50-40,0399-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,36,0,0,0,0
75-52-50-40,0399-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,21,0
96-25-62-36,0402-001-002,55,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
96-25-62-36,0402-001-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,85,0,0,35,0
75-24-28-19,0403-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,28,0,0,0,0
23-48-39-75,0404-001-001,55,YES,100,35000,1,,1,,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,YES,ROTTING,2,8500,15,0,0,20,0
23-48-39-75,0404-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,7,180000,60,0,0,200,0
71-97-65-36,0405-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,3,0
71-97-65-36,0405-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,10,0
90-30-68-35,0407-001-001,55,YES,160,100000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,60,0,0,20,0
90-30-68-35,0407-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,50,0
51-68-01-74,0408-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,126,0,0,0,0
51-68-01-74,0408-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,100,0
45-60-97-69,0409-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,160,0,0,0,0
98-64-80-85,0411-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,0,0
98-64-80-85,0411-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,3,60000,120,0,0,5,0
98-64-80-85,0411-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
17-95-98-51,0412-001-001,55,YES,48,13000,1,,1,,DUKANI/MCHUUZI,KARIBU NA MJI,DUKANI/MCHUUZI,KARIBU NA MJI,NO,,,,,NO,,,,40,0,0,0,0
17-95-98-51,0412-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,90,0,0,100,0
17-95-98-51,0412-001-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
99-47-44-47,0415-002-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,24,0,0,0,0
99-47-44-47,0415-002-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,150,0
99-47-44-47,0415-002-001,102,YES,80,40000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,20,0
32-54-64-43,0416-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,30,0
32-54-64-43,0416-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,30,0
29-39-31-65,0420-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,INSECTS,1,10000,160,0,0,100,0
29-39-31-65,0420-001-001,64,NO,,,,,,,,,,,NO,,,,,YES,THEFT,1,6000,40,0,0,20,0
29-39-31-65,0420-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
53-51-88-47,0421-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,40,0
53-51-88-47,0421-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,190,0,0,170,0
52-26-67-08,0421-001-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,15,0
56-15-63-11,0424-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,0,0
56-15-63-11,0424-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,45,0,0,0,0
73-36-66-15,0427-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,20,0
46-28-63-44,0430-002-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,70,0
32-32-47-74,0431-001-001,25,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,10,0
03-49-85-68,0437-001-001,60,YES,36,20000,1,,1,,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,25,0,0,11,0
03-49-85-68,0437-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,70,0,0,50,0
40-38-17-08,0438-001-002,89,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,25,0
31-07-58-53,0441-001-001,68,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,20,0
05-88-93-30,0443-001-001,67,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,3,24000,25,0,0,60,0
50-82-03-42,0444-001-001,65,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,30,0
50-82-03-42,0444-001-001,67,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,60,0
50-82-03-42,0444-001-001,89,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,300,0
73-77-71-52,0445-001-002,55,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,0,0
73-77-71-52,0445-001-002,65,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
73-77-71-52,0445-001-002,66,YES,50,12000,1,,1,,M/BIASHARA BINAFSI,MKOA MWINGINE,M/BIASHARA BINAFSI,MKOA MWINGINE,NO,,,,,NO,,,,10,0,0,0,0
73-77-71-52,0445-001-002,89,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
57-69-67-98,0449-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,2,0,0,0,0
08-66-17-10,0456-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
08-66-17-10,0456-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,0,0
74-23-57-59,0457-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,0,0
74-23-57-59,0457-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,50,0
74-23-57-59,0457-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
19-61-19-60,0460-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,18,0,0,0,0
