interview__key,sdd_hhid,cropid,ag7b_02,ag7b_03,ag7b_04,ag7b_05_1,ag7b_05_2,ag7b_06_1,ag7b_06_2,ag7b_07_1a,ag7b_07_1b,ag7b_07_2a,ag7b_07_2b,ag7b_08,ag7b_09,ag7b_10,ag7b_11,ag7b_12,ag7b_13,ag7b_14,ag7b_15,ag7b_16,ag7b_17,ag7b_18,ag7b_19,ag7b_20,ag7b_21
57-40-27-79,0647-001-001,38,YES,70,35000,1,,1,2,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
32-85-24-94,0648-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,180,0,0,0,0
32-85-24-94,0648-001-001,38,YES,115,98000,1,,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
21-41-45-56,0652-001-001,10,NO,,,,,,,,,,,YES,20,UNPROTECTED PILE,NO,,NO,,,,25,0,0,0,0
21-41-45-56,0652-001-001,38,YES,70,77000,2,,1,2,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,YES,3,SACKS/OPEN DRUM,NO,,NO,,,,6,0,0,0,0
35-30-83-19,0653-001-001,38,YES,150,165000,1,,1,,CHAMA WAKULIMA,NDANI YA KIJIJI/MJI,CHAMA WAKULIMA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
42-93-81-17,0654-001-001,38,YES,80,80000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,4,0,0,0,0
70-81-65-41,0654-001-002,38,YES,360,396000,2,,2,,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
18-25-55-05,0654-004-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,180,0,0,60,0
45-08-66-74,0657-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,200,0,0,0,0
45-08-66-74,0657-001-001,38,YES,50,60000,1,2,1,2,CHAMA WAKULIMA,KARIBU NA MJI,CHAMA WAKULIMA,KARIBU NA MJI,NO,,,,,NO,,,,0,0,0,0,0
80-11-06-01,0658-001-001,38,YES,100,115000,1,,1,,CHAMA WAKULIMA,NDANI YA KIJIJI/MJI,CHAMA WAKULIMA,NDANI YA KIJIJI/MJI,YES,10,LOCALLY MADE TRADITIONAL STRUCTURE,NO,,NO,,,,5,0,0,0,0
08-56-07-13,0661-002-001,10,NO,,,,,,,,,,,YES,100,SACKS/OPEN DRUM,NO,,NO,,,,60,0,0,0,0
08-56-07-13,0661-002-001,29,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
08-56-07-13,0661-002-001,38,YES,100,100000,2,,1,2,USHIRIKA,KARIBU NA KIJIJI,USHIRIKA,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
51-15-35-70,0662-001-001,20,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
51-15-35-70,0662-001-001,29,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,0,0
51-15-35-70,0662-001-001,38,YES,10,10000,1,,1,,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
51-15-35-70,0662-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,20,0
10-37-19-93,0662-002-002,38,YES,506,506000,1,2,1,2,CHAMA WAKULIMA,NDANI YA KIJIJI/MJI,CHAMA WAKULIMA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
69-75-97-36,0663-003-001,38,YES,50,58000,1,2,1,2,SERIKALI YA KIJIJI,KARIBU NA MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
05-21-74-76,0664-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,240,0,0,0,0
05-21-74-76,0664-001-001,38,YES,20,23000,1,,1,,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,2,LOCALLY MADE TRADITIONAL STRUCTURE,NO,,NO,,,,3,0,0,0,0
05-21-74-76,0664-001-001,44,YES,60,18000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,20,0,0,5,0
76-81-55-22,0669-001-001,38,YES,27,27000,1,2,1,2,CHAMA WAKULIMA,NDANI YA KIJIJI/MJI,CHAMA WAKULIMA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
36-42-77-74,0676-001-001,38,YES,153,168300,1,,1,,USHIRIKA,KARIBU NA KIJIJI,USHIRIKA,KARIBU NA KIJIJI,NO,,,,,NO,,,,2,0,0,1,0
90-00-57-86,0681-001-002,38,YES,15,18000,2,,2,,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
61-41-06-82,0684-005-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,0,0
75-21-34-64,0689-001-008,38,YES,180,60000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
91-33-85-80,0695-001-001,29,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,120,0,0,0,0
91-33-85-80,0695-001-001,38,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,90,0,0,0,0
91-33-85-80,0695-001-001,44,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,200,0,0,0,0
53-85-16-71,0695-004-001,29,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
53-85-16-71,0695-004-001,38,NO,,,,,,,,,,,YES,35,SACKS/OPEN DRUM,NO,,NO,,,,5,0,0,0,0
53-85-16-71,0695-004-001,44,YES,60,12000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,40,0,0,20,0
64-88-46-60,0695-004-003,103,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,0,0
78-20-87-66,0696-001-001,29,YES,0,0,1,,1,,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,20,0
60-53-18-73,0696-002-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,20,0
04-80-76-28,0698-009-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,95,0,0,45,0
08-56-40-01,0707-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,8,0,0,0,0
83-10-26-19,0718-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,1500,0,0,0,0
01-38-32-24,0720-001-011,98,YES,2300,510000,1,2,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,400,0,0,0,0
89-74-22-66,0720-010-006,10,NO,,,,,,,,,,,NO,,,,,NO,,,,240,0,0,0,0
29-58-22-46,0721-002-001,10,YES,200,100000,1,,1,,GULIO,WILAYA NYINGINE,GULIO,WILAYA NYINGINE,NO,,,,,NO,,,,400,0,0,100,0
73-62-20-14,0724-001-001,10,YES,275,90000,1,,1,,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,150,0,0,0,0
83-43-91-36,0726-001-001,10,YES,1000,300000,1,5,1,,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,YES,400,SACKS/OPEN DRUM,NO,,NO,,,,1100,0,0,0,0
52-19-00-24,0726-004-001,10,YES,480,240000,1,,1,,M/BIASHARA BINAFSI,WILAYA NYINGINE,M/BIASHARA BINAFSI,WILAYA NYINGINE,NO,,,,,NO,,,,240,0,0,60,0
71-44-85-61,0727-001-001,10,NO,,,,,,,,,,,YES,50,UNPROTECTED PILE,NO,,NO,,,,600,0,0,0,0
71-44-85-61,0727-001-001,29,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,0,0
87-68-89-36,0729-001-002,103,NO,,,,,,,,,,,YES,800,UNPROTECTED PILE,NO,,NO,,,,0,0,0,0,0
59-42-39-17,0732-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,240,0,0,0,0
63-80-38-30,0733-001-001,29,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
05-65-41-70,0736-003-001,98,NO,,,,,,,,,,,YES,210,UNPROTECTED PILE,NO,,NO,,,,230,0,0,0,0
84-20-01-44,0736-003-003,10,YES,20,15000,1,2,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,40,0,0,0,0
97-65-53-21,0737-001-001,10,YES,150,130000,1,2,1,2,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,120,0,0,30,0
25-22-14-90,0739-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,280,0,0,40,0
25-22-14-90,0739-001-001,98,YES,300,280000,1,,1,,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
