interview__key,sdd_hhid,cropid,ag7b_02,ag7b_03,ag7b_04,ag7b_05_1,ag7b_05_2,ag7b_06_1,ag7b_06_2,ag7b_07_1a,ag7b_07_1b,ag7b_07_2a,ag7b_07_2b,ag7b_08,ag7b_09,ag7b_10,ag7b_11,ag7b_12,ag7b_13,ag7b_14,ag7b_15,ag7b_16,ag7b_17,ag7b_18,ag7b_19,ag7b_20,ag7b_21
69-76-07-75,0077-001-001,10,NO,,,,,,,,,,,YES,220,SACKS/OPEN DRUM,NO,,NO,,,,150,0,0,0,50
03-09-85-87,0079-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,62,0,0,20,0
78-16-68-29,0080-001-001,10,NO,,,,,,,,,,,YES,60,LOCALLY MADE TRADITIONAL STRUCTURE,NO,,NO,,,,60,0,0,20,0
78-16-68-29,0080-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,90,0,0,70,0
82-35-18-51,0081-001-001,44,YES,50,18000,3,4,1,2,GULIO,KARIBU NA KIJIJI,GULIO,KARIBU NA KIJIJI,NO,,,,,NO,,,,30,0,0,0,0
61-09-91-34,0082-001-001,8,YES,70,140000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,3,0,0,0,0
61-09-91-34,0082-001-001,48,YES,40,120000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,10,0,0,0,0
61-09-91-34,0082-001-001,50,YES,60,780000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
65-72-13-93,0082-003-001,8,YES,250,750000,1,4,1,4,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
65-72-13-93,0082-003-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,0,0
65-72-13-93,0082-003-001,45,YES,21,294000,1,4,1,4,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
65-72-13-93,0082-003-001,48,YES,110,330000,1,4,1,4,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
65-72-13-93,0082-003-001,50,YES,30,300000,1,4,1,4,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
82-24-69-15,0083-001-001,8,YES,50,300000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
82-24-69-15,0083-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,500,0,0,0,0
82-24-69-15,0083-001-001,45,YES,70,700000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,0,0,0,0,0
82-24-69-15,0083-001-001,48,YES,620,1240000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,0,0,0,0,0
82-24-69-15,0083-001-001,50,YES,180,1800000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,0,0,0,0,0
82-24-69-15,0083-001-001,97,NO,,,,,,,,,,,NO,,,,,NO,,,,0,0,0,0,50
71-57-99-29,0084-001-001,44,YES,300,25000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,100,0,0,0,0
71-57-99-29,0084-001-001,48,YES,18,45000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,2,0,0,0,0
71-57-99-29,0084-001-001,50,YES,10,170000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
74-56-02-42,0084-002-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,0,0
74-56-02-42,0084-002-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
74-56-02-42,0084-002-001,48,YES,40,120000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,3,0,0,0,0
74-56-02-42,0084-002-001,50,YES,30,300000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
74-56-02-42,0084-002-001,97,NO,,,,,,,,,,,NO,,,,,NO,,,,800,0,0,0,0
70-36-26-23,0085-001-001,8,YES,5,12500,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,1,0,0,2,0
70-36-26-23,0085-001-001,45,YES,30,450000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,1,0,0,5,0
70-36-26-23,0085-001-001,48,YES,100,300000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,5,0,0,10,0
70-36-26-23,0085-001-001,50,YES,20,200000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
05-51-26-77,0085-003-001,8,YES,2,20000,1,,1,,M/BIASHARA BINAFSI,WILAYA NYINGINE,M/BIASHARA BINAFSI,WILAYA NYINGINE,NO,,,,,NO,,,,0,0,0,0,0
05-51-26-77,0085-003-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,0,0
05-51-26-77,0085-003-001,31,YES,20,20000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,10,0,0,0,0
05-51-26-77,0085-003-001,45,YES,2,40000,1,,1,,M/BIASHARA BINAFSI,WILAYA NYINGINE,M/BIASHARA BINAFSI,WILAYA NYINGINE,NO,,,,,NO,,,,0,0,0,0,0
05-51-26-77,0085-003-001,48,YES,20,60000,1,,1,,M/BIASHARA BINAFSI,WILAYA NYINGINE,M/BIASHARA BINAFSI,WILAYA NYINGINE,NO,,,,,NO,,,,0,0,0,0,0
05-51-26-77,0085-003-001,50,YES,4,40000,1,,1,,M/BIASHARA BINAFSI,WILAYA NYINGINE,M/BIASHARA BINAFSI,WILAYA NYINGINE,NO,,,,,NO,,,,0,0,0,0,0
07-11-78-55,0087-001-001,31,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,0,0
26-78-44-09,0087-001-002,10,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,30,0
26-78-44-09,0087-001-002,44,YES,800,100000,2,,2,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,190,0,0,50,0
26-78-44-09,0087-001-002,45,YES,4,72000,2,,2,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,1,0,0,0,0
26-78-44-09,0087-001-002,48,YES,200,600000,2,,2,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,15,0,0,5,0
26-78-44-09,0087-001-002,50,YES,3,30000,2,,2,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
74-12-78-76,0088-001-001,8,YES,7,21000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
74-12-78-76,0088-001-001,44,YES,500,50000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,150,0,0,100,0
74-12-78-76,0088-001-001,45,YES,5,100000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,1,0,0,0,0
74-12-78-76,0088-001-001,48,YES,212,742000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,5,0,0,5,0
74-12-78-76,0088-001-001,50,YES,17,255000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
47-53-89-65,0089-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,200,0,0,0,0
47-53-89-65,0089-001-001,45,YES,13,234000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
47-53-89-65,0089-001-001,48,YES,75,150000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
47-53-89-65,0089-001-001,50,YES,6,60000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
67-17-25-56,0089-002-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,0,0
13-79-88-08,0090-001-001,8,YES,4,24000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
13-79-88-08,0090-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,400,0,0,0,0
13-79-88-08,0090-001-001,44,YES,1000,300000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,0,0
13-79-88-08,0090-001-001,45,YES,6,90000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
13-79-88-08,0090-001-001,50,NO,,,,,,,,,,,NO,,,,,NO,,,,0,0,0,0,0
18-41-40-51,0093-001-001,48,YES,500,500000,1,,1,,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
89-69-28-73,0099-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,0,0
61-86-51-55,0104-001-001,44,YES,130,50000,2,,2,,MKATABA BIASHARA,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,30,0,0,0,0
03-36-44-51,0105-005-001,10,YES,100,60000,1,,1,,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,0,0
47-69-21-93,0109-001-001,29,YES,30,10000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,30,0,0,0,0
86-56-84-14,0113-002-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
67-13-31-42,0119-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,0,0
98-32-46-89,0120-001-001,30,YES,20,9600,1,,1,,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,10,0,0,0,0
51-99-30-00,0122-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
94-57-72-83,0122-001-002,10,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,40,0
87-27-18-80,0128-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,20,0
18-53-46-11,0131-001-002,30,YES,150,30000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,30,0,0,0,0
91-46-77-86,0137-003-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,90,0,0,30,0
70-42-29-42,0143-001-001,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,120,0,0,0,0
42-47-45-53,0149-001-009,20,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,0,0
04-84-88-57,0155-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
36-54-74-87,0180-001-007,30,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
55-87-10-73,0187-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,20,0
22-19-42-39,0188-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,56,0,0,0,0
22-19-42-39,0188-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,48,0,0,0,0
83-06-62-27,0208-004-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,72,0,0,0,0
11-90-11-27,0216-006-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,85,0
32-98-50-34,0232-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,10,0
02-85-17-16,0241-001-001,96,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
99-85-97-80,0242-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
66-44-07-30,0255-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,0,0
66-44-07-30,0255-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,12,0,0,0,0
42-84-07-76,0255-001-009,10,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
56-73-22-28,0257-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
12-03-97-45,0260-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
08-95-27-37,0267-001-001,30,YES,20,25000,1,,1,,RAFIKI,NDANI YA KIJIJI/MJI,RAFIKI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,40,0,0,0,0
08-95-27-37,0267-001-001,31,YES,90,180000,1,,1,,DUKANI/MCHUUZI,MKOA MWINGINE,DUKANI/MCHUUZI,MKOA MWINGINE,NO,,,,,NO,,,,0,0,0,0,0
61-93-73-52,0267-001-005,10,NO,,,,,,,,,,,NO,,,,,NO,,,,45,0,0,15,0
61-93-73-52,0267-001-005,31,YES,50,60000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NDUGU,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,0,0
99-73-94-40,0268-001-001,31,YES,150,495000,1,,1,,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
23-05-27-92,0279-006-001,10,YES,600,2100000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
35-18-85-05,0291-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
62-38-02-67,0295-001-001,31,YES,100,200000,1,,1,,M/BIASHARA BINAFSI,MKOA MWINGINE,M/BIASHARA BINAFSI,MKOA MWINGINE,NO,,,,,NO,,,,4,0,0,1,0
36-60-91-30,0296-001-002,31,YES,70,224000,2,,2,,GULIO,NDANI YA KIJIJI/MJI,GULIO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,15,0,0,0,0
16-73-84-34,0300-001-001,30,YES,550,245000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,30,0,0,0,0
88-95-31-32,0300-001-002,30,YES,150,45000,1,,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,60,0,0,0,0
21-51-87-14,0301-001-001,10,NO,,,,,,,,,,,YES,50,SACKS/OPEN DRUM,NO,,NO,,,,300,0,0,50,0
21-51-87-14,0301-001-001,31,YES,39,128700,1,,1,,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
21-51-87-14,0301-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,10,0
49-07-66-40,0301-005-001,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,60,0,0,0,0
49-07-66-40,0301-005-001,30,YES,25,14000,1,,1,,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,0,0
66-47-83-10,0303-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,30,0
62-07-81-83,0304-001-001,30,YES,100,100000,1,,1,,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,30,0,0,20,0
69-04-27-82,0306-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
03-60-63-99,0308-001-001,31,YES,300,990000,1,2,1,2,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
40-17-36-05,0310-001-001,31,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
55-61-56-57,0311-002-001,31,YES,2500,617500,1,,1,,M/BIASHARA BINAFSI,MKOA MWINGINE,M/BIASHARA BINAFSI,MKOA MWINGINE,NO,,,,,NO,,,,5,0,0,0,0
55-61-56-57,0311-002-001,44,YES,100,100000,1,,1,,GULIO,NDANI YA KIJIJI/MJI,GULIO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,0,0
98-25-23-09,0312-001-001,31,YES,250,825000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
61-15-16-96,0314-001-001,10,NO,,,,,,,,,,,YES,100,OTHER (SPECIFY),NO,,NO,,,,0,0,0,0,0
61-15-16-96,0314-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,0,0
61-15-16-96,0314-001-001,31,YES,400,1320000,1,7,1,7,USHIRIKA,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
66-32-50-84,0314-001-005,31,YES,200,660000,1,2,1,2,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
53-55-68-22,0315-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
33-84-24-00,0316-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
33-84-24-00,0316-001-001,31,NO,,,,,,,,,,,NO,,,,,NO,,,,4,0,0,0,0
79-96-60-97,0319-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,8,0
70-01-42-10,0319-002-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
70-01-42-10,0319-002-001,31,NO,,,,,,,,,,,NO,,,,,NO,,,,3,0,0,0,0
50-35-86-27,0320-001-001,30,YES,150,90000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,25,0
87-02-55-58,0321-001-001,30,YES,3000,1800000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,96,0,0,50,0
87-02-55-58,0321-001-001,31,YES,50,165000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
52-03-88-73,0324-001-001,30,YES,180,120000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,135,0,0,45,0
75-47-93-54,0326-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,18,0,0,12,0
38-80-82-46,0327-001-001,31,YES,150,495000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
79-72-16-28,0330-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,0,0
62-23-66-59,0332-004-001,31,YES,1420,4686000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,30,0,0,0,0
90-12-94-91,0335-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,0,0
90-12-94-91,0335-001-001,31,YES,2400,7920000,1,3,1,3,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
95-97-57-76,0337-001-001,31,YES,100,330000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
79-32-59-15,0337-003-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,0,0
57-22-81-69,0338-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,450,0,0,150,0
57-22-81-69,0338-001-001,31,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,0,0
09-00-90-33,0340-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,300,0,0,0,0
09-00-90-33,0340-001-001,31,YES,50,165000,1,3,1,3,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
42-32-57-47,0342-001-001,30,YES,266,200000,1,,1,,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,60,0,0,50,0
33-87-72-22,0347-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,180,0,0,0,0
33-87-72-22,0347-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
33-87-72-22,0347-001-001,31,YES,150,495000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
27-37-98-68,0348-001-001,10,NO,,,,,,,,,,,YES,100,SACKS/OPEN DRUM,NO,,NO,,,,400,0,0,200,0
27-37-98-68,0348-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,12,0,0,4,0
27-37-98-68,0348-001-001,31,YES,260,858000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,10,0,0,0,0
62-47-27-99,0348-001-005,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,130,0,0,50,0
62-06-81-29,0352-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
62-06-81-29,0352-001-001,30,YES,100,68000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,80,0,0,0,0
62-06-81-29,0352-001-001,31,YES,40,116000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
52-06-17-29,0353-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,50,0
52-06-17-29,0353-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,2,0
78-10-03-87,0356-001-001,10,NO,,,,,,,,,,,YES,80,OTHER (SPECIFY),NO,,NO,,,,100,0,0,0,0
78-10-03-87,0356-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
78-10-03-87,0356-001-001,31,YES,50,150000,1,2,1,2,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
74-58-85-63,0357-001-001,10,NO,,,,,,,,,,,YES,320,OTHER (SPECIFY),NO,,NO,,,,240,0,0,0,0
74-58-85-63,0357-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,0,0
74-58-85-63,0357-001-001,31,YES,400,1200000,1,2,1,2,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
16-56-85-66,0357-003-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,210,0,0,0,0
16-56-85-66,0357-003-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,140,0,0,40,0
16-56-85-66,0357-003-001,31,YES,300,600000,1,,1,,MKATABA BIASHARA,NDANI YA KIJIJI/MJI,MKATABA BIASHARA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,15,0,0,0,0
57-01-29-66,0359-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,90,0,30,0,0
