interview__key,sdd_hhid,sdd_indid,hh_f01,hh_f02,hh_f03,hh_f04,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15
21-44-88-45,0244-001-001,7,NO,,,,,,,,,,,,,,
42-03-35-97,0247-001-001,1,YES,YES,5000,NO,,NO,,YES,3000,NO,,NO,,NO,
42-03-35-97,0247-001-001,2,YES,YES,7500,NO,,NO,,NO,,YES,500,NO,,NO,
42-03-35-97,0247-001-001,3,YES,YES,12000,YES,3000,NO,,NO,,YES,1500,NO,,NO,
42-03-35-97,0247-001-001,4,YES,YES,20000,NO,,NO,,NO,,NO,,NO,,NO,
42-03-35-97,0247-001-001,5,YES,YES,18000,NO,,NO,,NO,,YES,2400,YES,4000,NO,
42-03-35-97,0247-001-001,6,YES,YES,7500,NO,,NO,,NO,,YES,2000,NO,,NO,
42-03-35-97,0247-001-001,7,YES,NO,,NO,,NO,,NO,,YES,500,YES,1200,NO,
29-56-58-07,0249-001-001,1,NO,,,,,,,,,,,,,,
29-56-58-07,0249-001-001,2,YES,NO,,NO,,YES,1000,NO,,NO,,NO,,NO,
29-56-58-07,0249-001-001,3,NO,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,1,NO,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,2,NO,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,5,NO,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,6,NO,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,1,YES,YES,9000,NO,,NO,,NO,,NO,,NO,,NO,
67-10-80-24,0252-001-001,2,NO,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,3,NO,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,4,NO,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,5,NO,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,6,NO,,,,,,,,,,,,,,
47-10-37-20,0253-001-001,1,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
47-10-37-20,0253-001-001,2,YES,YES,5000,NO,,NO,,NO,,YES,1000,NO,,NO,
11-56-64-74,0254-001-001,1,YES,YES,15000,YES,3000,NO,,NO,,YES,3500,NO,,NO,
11-56-64-74,0254-001-001,2,NO,,,,,,,,,,,,,,
11-56-64-74,0254-001-001,3,YES,NO,,NO,,NO,,NO,,YES,3500,NO,,YES,3000
11-56-64-74,0254-001-001,5,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,1,YES,YES,21000,NO,,NO,,NO,,YES,3500,NO,,NO,
66-44-07-30,0255-001-001,2,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,3,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,4,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,5,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,6,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,7,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,10,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,11,NO,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,12,NO,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,1,NO,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,2,NO,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,3,NO,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,1,YES,YES,15000,NO,,NO,,NO,,YES,3000,NO,,NO,
56-73-22-28,0257-001-001,2,NO,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,3,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
56-73-22-28,0257-001-001,4,NO,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,5,NO,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,6,NO,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,1,NO,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,2,NO,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,3,NO,,,,,,,,,,,,,,
51-99-35-71,0259-004-001,1,NO,,,,,,,,,,,,,,
51-99-35-71,0259-004-001,2,YES,YES,6000,NO,,NO,,NO,,NO,,NO,,NO,
12-03-97-45,0260-001-001,1,NO,,,,,,,,,,,,,,
12-03-97-45,0260-001-001,2,NO,,,,,,,,,,,,,,
12-03-97-45,0260-001-001,3,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
35-64-91-26,0261-001-001,1,YES,YES,12000,NO,,NO,,NO,,YES,4200,NO,,NO,
35-64-91-26,0261-001-001,4,YES,YES,24500,NO,,NO,,YES,4500,YES,4900,NO,,YES,5000
35-64-91-26,0261-001-001,5,NO,,,,,,,,,,,,,,
35-64-91-26,0261-001-001,6,NO,,,,,,,,,,,,,,
35-64-91-26,0261-001-001,7,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
85-90-36-67,0261-001-002,1,NO,,,,,,,,,,,,,,
85-90-36-67,0261-001-002,2,NO,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,2,NO,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,3,YES,YES,14000,NO,,NO,,NO,,YES,2100,NO,,NO,
91-56-57-06,0262-001-002,5,YES,YES,9000,YES,2500,NO,,YES,5100,NO,,NO,,NO,
89-92-90-61,0263-001-001,1,NO,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,2,NO,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,3,NO,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,4,NO,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,5,NO,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,6,NO,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,7,NO,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,8,NO,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,4,NO,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,8,YES,NO,,NO,,NO,,NO,,YES,2000,YES,1500,NO,
73-66-70-99,0263-001-004,11,NO,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,12,NO,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,13,NO,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,14,NO,,,,,,,,,,,,,,
07-23-75-51,0263-001-006,1,YES,YES,20000,NO,,NO,,NO,,YES,10000,NO,,NO,
07-23-75-51,0263-001-006,2,YES,NO,,NO,,NO,,NO,,YES,500,NO,,NO,
07-23-75-51,0263-001-006,3,NO,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,1,NO,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,2,YES,YES,4000,NO,,NO,,NO,,NO,,NO,,NO,
72-76-27-22,0264-001-001,3,NO,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,4,YES,YES,2000,NO,,NO,,NO,,NO,,NO,,NO,
96-22-42-95,0265-001-001,1,NO,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,2,NO,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,3,NO,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,4,NO,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,1,NO,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,2,NO,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,3,YES,YES,24000,NO,,NO,,NO,,NO,,NO,,NO,
08-95-27-37,0267-001-001,1,NO,,,,,,,,,,,,,,
08-95-27-37,0267-001-001,2,NO,,,,,,,,,,,,,,
08-95-27-37,0267-001-001,4,NO,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,1,YES,NO,,NO,,NO,,NO,,YES,1800,NO,,NO,
56-07-21-94,0267-001-003,2,NO,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,3,NO,,,,,,,,,,,,,,
61-93-73-52,0267-001-005,1,YES,YES,27000,NO,,NO,,NO,,YES,1200,NO,,NO,
61-93-73-52,0267-001-005,2,YES,YES,20000,NO,,NO,,NO,,NO,,NO,,NO,
45-28-40-86,0267-001-006,1,YES,YES,18000,YES,4500,NO,,NO,,YES,30000,NO,,YES,1500
45-28-40-86,0267-001-006,2,YES,YES,12000,YES,4800,NO,,NO,,YES,3500,NO,,YES,3600
45-28-40-86,0267-001-006,3,NO,,,,,,,,,,,,,,
45-28-40-86,0267-001-006,4,YES,NO,,YES,2800,NO,,NO,,YES,2500,YES,500,NO,
45-28-40-86,0267-001-006,5,YES,NO,,YES,1800,NO,,NO,,YES,1500,YES,400,YES,350
45-28-40-86,0267-001-006,6,NO,,,,,,,,,,,,,,
45-28-40-86,0267-001-006,7,NO,,,,,,,,,,,,,,
70-01-39-09,0267-104-001,1,YES,YES,28000,NO,,NO,,NO,,YES,3500,NO,,NO,
70-01-39-09,0267-104-001,2,YES,YES,31500,NO,,NO,,NO,,YES,2000,NO,,NO,
70-01-39-09,0267-104-001,3,YES,YES,28000,NO,,NO,,NO,,YES,1500,NO,,NO,
99-73-94-40,0268-001-001,1,YES,YES,28000,NO,,NO,,NO,,YES,7000,NO,,NO,
88-55-89-02,0268-001-002,1,NO,,,,,,,,,,,,,,
88-55-89-02,0268-001-002,2,NO,,,,,,,,,,,,,,
88-55-89-02,0268-001-002,3,NO,,,,,,,,,,,,,,
88-55-89-02,0268-001-002,4,NO,,,,,,,,,,,,,,
07-15-41-44,0269-001-001,1,NO,,,,,,,,,,,,,,
07-15-41-44,0269-001-001,2,YES,YES,14000,NO,,NO,,NO,,YES,1000,NO,,NO,
07-15-41-44,0269-001-001,3,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
07-15-41-44,0269-001-001,4,NO,,,,,,,,,,,,,,
13-53-55-54,0270-002-001,1,NO,,,,,,,,,,,,,,
13-53-55-54,0270-002-001,2,NO,,,,,,,,,,,,,,
13-53-55-54,0270-002-001,3,NO,,,,,,,,,,,,,,
13-53-55-54,0270-002-001,4,YES,YES,11000,NO,,NO,,NO,,YES,3500,NO,,NO,
13-53-55-54,0270-002-001,5,NO,,,,,,,,,,,,,,
44-15-25-13,0271-002-001,1,NO,,,,,,,,,,,,,,
44-15-25-13,0271-002-001,2,NO,,,,,,,,,,,,,,
44-15-25-13,0271-002-001,3,NO,,,,,,,,,,,,,,
44-15-25-13,0271-002-001,4,NO,,,,,,,,,,,,,,
19-00-41-84,0272-001-001,1,NO,,,,,,,,,,,,,,
19-00-41-84,0272-001-001,2,NO,,,,,,,,,,,,,,
19-00-41-84,0272-001-001,3,NO,,,,,,,,,,,,,,
19-00-41-84,0272-001-001,4,NO,,,,,,,,,,,,,,
19-00-41-84,0272-001-001,5,NO,,,,,,,,,,,,,,
57-34-89-32,0273-001-001,1,NO,,,,,,,,,,,,,,
57-34-89-32,0273-001-001,2,NO,,,,,,,,,,,,,,
57-34-89-32,0273-001-001,3,YES,NO,,NO,,NO,,NO,,YES,2000,NO,,NO,
57-34-89-32,0273-001-001,4,YES,YES,3000,NO,,NO,,NO,,YES,1600,NO,,YES,1800
83-68-94-38,0273-005-001,1,YES,YES,14000,NO,,NO,,NO,,YES,4000,NO,,NO,
83-68-94-38,0273-005-001,2,NO,,,,,,,,,,,,,,
83-68-94-38,0273-005-001,3,NO,,,,,,,,,,,,,,
14-60-99-32,0274-001-001,1,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,1,YES,NO,,NO,,YES,2000,NO,,NO,,NO,,NO,
32-61-54-24,0275-001-002,2,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,3,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,4,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,5,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,6,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,7,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,8,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,9,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,10,NO,,,,,,,,,,,,,,
32-61-54-24,0275-001-002,11,NO,,,,,,,,,,,,,,
22-59-93-72,0276-001-001,1,YES,YES,22400,NO,,NO,,NO,,YES,2000,NO,,NO,
22-59-93-72,0276-001-001,2,NO,,,,,,,,,,,,,,
22-59-93-72,0276-001-001,3,NO,,,,,,,,,,,,,,
22-59-93-72,0276-001-001,4,NO,,,,,,,,,,,,,,
71-02-30-95,0277-001-001,1,NO,,,,,,,,,,,,,,
71-02-30-95,0277-001-001,2,NO,,,,,,,,,,,,,,
71-02-30-95,0277-001-001,3,NO,,,,,,,,,,,,,,
71-02-30-95,0277-001-001,4,NO,,,,,,,,,,,,,,
71-02-30-95,0277-001-001,5,YES,YES,21000,NO,,NO,,NO,,YES,2500,NO,,NO,
71-02-30-95,0277-001-001,6,NO,,,,,,,,,,,,,,
71-02-30-95,0277-001-001,7,NO,,,,,,,,,,,,,,
71-02-30-95,0277-001-001,8,NO,,,,,,,,,,,,,,
80-89-25-38,0277-008-001,1,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
80-89-25-38,0277-008-001,2,NO,,,,,,,,,,,,,,
85-41-80-11,0278-001-001,1,NO,,,,,,,,,,,,,,
85-41-80-11,0278-001-001,3,NO,,,,,,,,,,,,,,
85-41-80-11,0278-001-001,4,NO,,,,,,,,,,,,,,
71-70-87-92,0278-001-002,1,YES,YES,21000,NO,,NO,,NO,,NO,,NO,,NO,
60-25-30-64,0279-002-001,1,NO,,,,,,,,,,,,,,
60-25-30-64,0279-002-001,3,YES,NO,,NO,,NO,,NO,,YES,1800,YES,2100,NO,
71-03-08-46,0279-002-002,1,YES,YES,16500,NO,,NO,,NO,,YES,1500,NO,,NO,
71-03-08-46,0279-002-002,2,YES,YES,4000,NO,,NO,,NO,,YES,1000,NO,,NO,
71-03-08-46,0279-002-002,3,NO,,,,,,,,,,,,,,
98-72-25-05,0279-003-001,1,YES,YES,35000,YES,10000,NO,,YES,8000,YES,5000,NO,,NO,
23-05-27-92,0279-006-001,1,YES,YES,17500,NO,,NO,,NO,,YES,2000,NO,,NO,
23-05-27-92,0279-006-001,2,YES,YES,,NO,,,,NO,,NO,,NO,,NO,
23-05-27-92,0279-006-001,3,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
53-31-80-18,0280-001-001,1,YES,YES,8000,NO,,NO,,NO,,YES,1500,NO,,YES,4000
53-31-80-18,0280-001-001,2,NO,,,,,,,,,,,,,,
53-31-80-18,0280-001-001,5,NO,,,,,,,,,,,,,,
53-31-80-18,0280-001-001,6,NO,,,,,,,,,,,,,,
53-31-80-18,0280-001-001,7,NO,,,,,,,,,,,,,,
18-82-85-31,0280-001-003,1,NO,,,,,,,,,,,,,,
18-82-85-31,0280-001-003,2,NO,,,,,,,,,,,,,,
18-82-85-31,0280-001-003,3,NO,,,,,,,,,,,,,,
39-02-00-74,0280-001-004,1,NO,,,,,,,,,,,,,,
39-02-00-74,0280-001-004,2,NO,,,,,,,,,,,,,,
80-17-56-66,0283-001-001,1,YES,YES,6000,NO,,NO,,NO,,YES,1500,NO,,NO,
80-17-56-66,0283-001-001,2,NO,,,,,,,,,,,,,,
79-01-71-66,0283-003-001,1,YES,YES,14000,NO,,NO,,NO,,NO,,NO,,NO,
79-01-71-66,0283-003-001,4,YES,YES,3000,NO,,NO,,NO,,NO,,NO,,NO,
79-01-71-66,0283-003-001,5,NO,,,,,,,,,,,,,,
98-28-80-40,0283-003-002,1,YES,YES,1500,NO,,NO,,NO,,NO,,NO,,NO,
98-28-80-40,0283-003-002,2,NO,,,,,,,,,,,,,,
25-73-08-47,0284-001-001,1,NO,,,,,,,,,,,,,,
25-73-08-47,0284-001-001,2,YES,YES,15000,NO,,NO,,NO,,NO,,NO,,NO,
25-73-08-47,0284-001-001,3,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
25-73-08-47,0284-001-001,4,NO,,,,,,,,,,,,,,
25-73-08-47,0284-001-001,5,NO,,,,,,,,,,,,,,
74-35-04-61,0285-001-001,1,YES,YES,45500,NO,,NO,,NO,,YES,3500,NO,,NO,
74-35-04-61,0285-001-001,2,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
74-35-04-61,0285-001-001,3,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
74-35-04-61,0285-001-001,4,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
16-61-30-78,0287-001-001,1,YES,YES,10500,NO,,NO,,NO,,NO,,NO,,NO,
16-61-30-78,0287-001-001,2,NO,,,,,,,,,,,,,,
16-61-30-78,0287-001-001,3,NO,,,,,,,,,,,,,,
16-61-30-78,0287-001-001,4,NO,,,,,,,,,,,,,,
84-51-41-53,0288-001-001,1,YES,YES,15000,NO,,NO,,NO,,YES,3000,NO,,YES,400
84-51-41-53,0288-001-001,2,NO,,,,,,,,,,,,,,
84-51-41-53,0288-001-001,3,NO,,,,,,,,,,,,,,
63-02-03-97,0290-001-001,1,YES,YES,42000,NO,,NO,,NO,,YES,7000,NO,,NO,
63-02-03-97,0290-001-001,2,YES,YES,35000,NO,,NO,,NO,,YES,3500,NO,,NO,
35-18-85-05,0291-001-001,1,YES,YES,15000,NO,,NO,,NO,,YES,3000,NO,,NO,
35-18-85-05,0291-001-001,2,NO,,,,,,,,,,,,,,
85-31-10-94,0291-001-003,1,YES,YES,42000,NO,,NO,,NO,,YES,3000,NO,,NO,
82-39-62-03,0291-001-005,1,NO,,,,,,,,,,,,,,
65-18-30-41,0292-001-001,1,NO,,,,,,,,,,,,,,
65-18-30-41,0292-001-001,2,NO,,,,,,,,,,,,,,
65-18-30-41,0292-001-001,3,NO,,,,,,,,,,,,,,
65-18-30-41,0292-001-001,4,NO,,,,,,,,,,,,,,
65-18-30-41,0292-001-001,5,NO,,,,,,,,,,,,,,
55-20-85-17,0294-001-001,1,YES,YES,7000,NO,,NO,,NO,,YES,3500,NO,,NO,
55-20-85-17,0294-001-001,2,NO,,,,,,,,,,,,,,
55-20-85-17,0294-001-001,3,NO,,,,,,,,,,,,,,
62-38-02-67,0295-001-001,1,NO,,,,,,,,,,,,,,
62-38-02-67,0295-001-001,2,NO,,,,,,,,,,,,,,
62-38-02-67,0295-001-001,3,NO,,,,,,,,,,,,,,
62-38-02-67,0295-001-001,4,NO,,,,,,,,,,,,,,
62-38-02-67,0295-001-001,5,NO,,,,,,,,,,,,,,
36-60-91-30,0296-001-002,2,YES,YES,6000,NO,,NO,,NO,,NO,,NO,,NO,
36-60-91-30,0296-001-002,3,YES,YES,12000,NO,,NO,,NO,,NO,,NO,,NO,
61-96-62-14,0298-006-001,1,YES,YES,14000,NO,,NO,,NO,,YES,3000,NO,,NO,
61-96-62-14,0298-006-001,2,NO,,,,,,,,,,,,,,
61-96-62-14,0298-006-001,3,NO,,,,,,,,,,,,,,
61-96-62-14,0298-006-001,4,NO,,,,,,,,,,,,,,
61-96-62-14,0298-006-001,8,YES,YES,10000,NO,,NO,,NO,,YES,3500,NO,,NO,
01-12-50-30,0298-006-004,1,YES,YES,28000,NO,,NO,,NO,,YES,4900,YES,200,NO,
01-12-50-30,0298-006-004,2,YES,YES,35000,NO,,NO,,NO,,NO,,NO,,NO,
01-12-50-30,0298-006-004,3,YES,YES,30000,NO,,NO,,NO,,NO,,NO,,NO,
01-12-50-30,0298-006-004,4,YES,YES,32000,NO,,NO,,NO,,NO,,NO,,NO,
01-12-50-30,0298-006-004,5,YES,YES,3000,NO,,NO,,NO,,NO,,NO,,NO,
81-68-55-28,0298-006-006,1,YES,YES,15000,NO,,NO,,NO,,YES,1000,NO,,NO,
81-68-55-28,0298-006-006,2,YES,YES,30000,NO,,NO,,NO,,YES,5900,NO,,NO,
81-68-55-28,0298-006-006,3,YES,YES,14000,NO,,NO,,NO,,YES,10500,NO,,NO,
81-68-55-28,0298-006-006,4,NO,,,,,,,,,,,,,,
81-68-55-28,0298-006-006,5,NO,,,,,,,,,,,,,,
81-68-55-28,0298-006-006,6,YES,NO,,NO,,NO,,NO,,YES,1000,NO,,NO,
81-68-55-28,0298-006-006,7,NO,,,,,,,,,,,,,,
81-68-55-28,0298-006-006,8,NO,,,,,,,,,,,,,,
81-68-55-28,0298-006-006,9,NO,,,,,,,,,,,,,,
81-68-55-28,0298-006-006,10,NO,,,,,,,,,,,,,,
81-68-55-28,0298-006-006,11,NO,,,,,,,,,,,,,,
82-47-05-90,0298-006-007,1,YES,YES,22000,NO,,NO,,NO,,YES,6000,NO,,NO,
82-47-05-90,0298-006-007,2,NO,,,,,,,,,,,,,,
82-47-05-90,0298-006-007,3,NO,,,,,,,,,,,,,,
50-08-76-82,0299-001-001,1,NO,,,,,,,,,,,,,,
50-08-76-82,0299-001-001,2,NO,,,,,,,,,,,,,,
16-73-84-34,0300-001-001,1,YES,YES,2500,NO,,NO,,NO,,YES,600,NO,,NO,
16-73-84-34,0300-001-001,3,NO,,,,,,,,,,,,,,
16-73-84-34,0300-001-001,4,YES,YES,2000,NO,,NO,,NO,,NO,,NO,,NO,
16-73-84-34,0300-001-001,5,NO,,,,,,,,,,,,,,
16-73-84-34,0300-001-001,6,NO,,,,,,,,,,,,,,
16-73-84-34,0300-001-001,7,NO,,,,,,,,,,,,,,
16-73-84-34,0300-001-001,8,YES,YES,1000,NO,,NO,,NO,,NO,,NO,,NO,
16-73-84-34,0300-001-001,9,NO,,,,,,,,,,,,,,
88-95-31-32,0300-001-002,1,YES,YES,35000,NO,,NO,,NO,,NO,,NO,,NO,
88-95-31-32,0300-001-002,2,NO,,,,,,,,,,,,,,
21-51-87-14,0301-001-001,1,YES,YES,2000,NO,,NO,,NO,,NO,,NO,,NO,
21-51-87-14,0301-001-001,2,NO,,,,,,,,,,,,,,
49-07-66-40,0301-005-001,1,YES,YES,6000,YES,2700,NO,,NO,,YES,1400,NO,,YES,1500
49-07-66-40,0301-005-001,2,NO,,,,,,,,,,,,,,
49-07-66-40,0301-005-001,3,NO,,,,,,,,,,,,,,
49-07-66-40,0301-005-001,4,NO,,,,,,,,,,,,,,
49-07-66-40,0301-005-001,5,NO,,,,,,,,,,,,,,
30-98-65-42,0302-001-001,1,NO,,,,,,,,,,,,,,
30-98-65-42,0302-001-001,2,NO,,,,,,,,,,,,,,
30-98-65-42,0302-001-001,3,NO,,,,,,,,,,,,,,
30-98-65-42,0302-001-001,4,NO,,,,,,,,,,,,,,
30-98-65-42,0302-001-001,5,NO,,,,,,,,,,,,,,
30-98-65-42,0302-001-001,6,NO,,,,,,,,,,,,,,
66-47-83-10,0303-001-001,1,NO,,,,,,,,,,,,,,
66-47-83-10,0303-001-001,2,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,1,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,2,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,3,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,4,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,5,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,6,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,7,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,8,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,9,NO,,,,,,,,,,,,,,
62-07-81-83,0304-001-001,10,NO,,,,,,,,,,,,,,
32-14-67-22,0305-001-001,1,NO,,,,,,,,,,,,,,
32-14-67-22,0305-001-001,2,NO,,,,,,,,,,,,,,
32-14-67-22,0305-001-001,3,NO,,,,,,,,,,,,,,
32-14-67-22,0305-001-001,4,NO,,,,,,,,,,,,,,
69-04-27-82,0306-001-001,1,NO,,,,,,,,,,,,,,
69-04-27-82,0306-001-001,2,NO,,,,,,,,,,,,,,
69-04-27-82,0306-001-001,3,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
80-51-24-60,0307-001-001,1,NO,,,,,,,,,,,,,,
80-51-24-60,0307-001-001,2,NO,,,,,,,,,,,,,,
80-51-24-60,0307-001-001,3,NO,,,,,,,,,,,,,,
80-51-24-60,0307-001-001,4,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
80-51-24-60,0307-001-001,5,NO,,,,,,,,,,,,,,
03-60-63-99,0308-001-001,1,NO,,,,,,,,,,,,,,
03-60-63-99,0308-001-001,2,YES,YES,2000,NO,,NO,,NO,,NO,,NO,,NO,
03-60-63-99,0308-001-001,5,NO,,,,,,,,,,,,,,
32-19-64-20,0309-001-001,1,YES,YES,21000,NO,,NO,,YES,6000,NO,,NO,,NO,
32-19-64-20,0309-001-001,2,NO,,,,,,,,,,,,,,
32-19-64-20,0309-001-001,3,YES,YES,14000,NO,,NO,,NO,,NO,,NO,,NO,
32-19-64-20,0309-001-001,4,YES,YES,10000,NO,,NO,,NO,,NO,,NO,,NO,
32-19-64-20,0309-001-001,5,NO,,,,,,,,,,,,,,
40-17-36-05,0310-001-001,1,NO,,,,,,,,,,,,,,
55-61-56-57,0311-002-001,1,NO,,,,,,,,,,,,,,
55-61-56-57,0311-002-001,2,NO,,,,,,,,,,,,,,
55-61-56-57,0311-002-001,3,NO,,,,,,,,,,,,,,
55-61-56-57,0311-002-001,4,NO,,,,,,,,,,,,,,
98-25-23-09,0312-001-001,1,NO,,,,,,,,,,,,,,
98-25-23-09,0312-001-001,2,NO,,,,,,,,,,,,,,
98-25-23-09,0312-001-001,3,NO,,,,,,,,,,,,,,
98-25-23-09,0312-001-001,4,NO,,,,,,,,,,,,,,
61-31-47-40,0312-002-001,1,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
61-31-47-40,0312-002-001,2,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
61-31-47-40,0312-002-001,3,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
61-31-47-40,0312-002-001,4,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
22-19-05-49,0313-001-001,1,NO,,,,,,,,,,,,,,
22-19-05-49,0313-001-001,2,NO,,,,,,,,,,,,,,
22-19-05-49,0313-001-001,3,NO,,,,,,,,,,,,,,
22-19-05-49,0313-001-001,4,NO,,,,,,,,,,,,,,
22-19-05-49,0313-001-001,5,NO,,,,,,,,,,,,,,
61-15-16-96,0314-001-001,1,NO,,,,,,,,,,,,,,
61-15-16-96,0314-001-001,3,NO,,,,,,,,,,,,,,
61-15-16-96,0314-001-001,4,NO,,,,,,,,,,,,,,
61-15-16-96,0314-001-001,6,YES,YES,15000,NO,,NO,,NO,,NO,,NO,,NO,
61-15-16-96,0314-001-001,7,NO,,,,,,,,,,,,,,
66-32-50-84,0314-001-005,1,NO,,,,,,,,,,,,,,
66-32-50-84,0314-001-005,2,NO,,,,,,,,,,,,,,
66-32-50-84,0314-001-005,3,NO,,,,,,,,,,,,,,
66-32-50-84,0314-001-005,4,NO,,,,,,,,,,,,,,
53-55-68-22,0315-001-001,1,NO,,,,,,,,,,,,,,
53-55-68-22,0315-001-001,2,NO,,,,,,,,,,,,,,
53-55-68-22,0315-001-001,4,NO,,,,,,,,,,,,,,
53-55-68-22,0315-001-001,5,NO,,,,,,,,,,,,,,
53-55-68-22,0315-001-001,7,NO,,,,,,,,,,,,,,
21-83-46-82,0315-001-003,1,YES,YES,14000,NO,,NO,,NO,,YES,5500,NO,,YES,7000
19-01-66-04,0315-001-006,1,NO,,,,,,,,,,,,,,
19-01-66-04,0315-001-006,2,NO,,,,,,,,,,,,,,
19-01-66-04,0315-001-006,3,NO,,,,,,,,,,,,,,
33-84-24-00,0316-001-001,1,NO,,,,,,,,,,,,,,
33-84-24-00,0316-001-001,2,NO,,,,,,,,,,,,,,
33-84-24-00,0316-001-001,3,YES,YES,8000,NO,,NO,,NO,,NO,,NO,,YES,2800
