interview__key,sdd_hhid,sdd_indid,hh_f01,hh_f02,hh_f03,hh_f04,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15
39-47-88-39,0018-001-001,2,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,3,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,5,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,6,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,7,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,1,YES,YES,6000,NO,,NO,,NO,,NO,,NO,,YES,1000
40-73-12-41,0020-001-001,2,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,3,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,4,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,5,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,6,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,7,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,2,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,3,YES,YES,21000,NO,,NO,,NO,,NO,,NO,,NO,
91-29-35-18,0021-001-002,4,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,5,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,6,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,7,YES,YES,14000,NO,,NO,,NO,,NO,,NO,,NO,
52-25-14-40,0023-001-001,1,YES,YES,70000,YES,50000,NO,,YES,50000,YES,20000,NO,,NO,
52-25-14-40,0023-001-001,2,YES,YES,95000,NO,,NO,,NO,,YES,7000,NO,,NO,
52-25-14-40,0023-001-001,3,YES,YES,45500,NO,,NO,,NO,,YES,3000,NO,,NO,
52-25-14-40,0023-001-001,5,YES,YES,25000,NO,,NO,,NO,,YES,3000,NO,,NO,
96-43-78-97,0024-001-001,1,YES,YES,12000,NO,,NO,,YES,15000,YES,1000,NO,,NO,
96-43-78-97,0024-001-001,2,YES,YES,4500,YES,3000,NO,,NO,,YES,2500,NO,,YES,5000
96-43-78-97,0024-001-001,3,NO,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,4,YES,NO,,YES,4500,NO,,NO,,NO,,YES,1000,NO,
96-43-78-97,0024-001-001,5,YES,NO,,NO,,NO,,NO,,YES,3000,YES,1000,NO,
96-43-78-97,0024-001-001,6,NO,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,7,NO,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,1,YES,YES,28000,NO,,NO,,NO,,NO,,NO,,NO,
06-46-18-18,0026-001-001,2,YES,YES,17500,NO,,NO,,NO,,YES,7000,NO,,NO,
06-46-18-18,0026-001-001,3,NO,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,4,NO,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,1,YES,YES,18000,NO,,NO,,NO,,NO,,NO,,NO,
73-00-55-05,0028-001-001,2,NO,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,4,NO,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,5,NO,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,6,NO,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,1,YES,NO,,NO,,NO,,NO,,YES,1000,NO,,NO,
38-25-71-90,0029-001-001,2,YES,NO,,NO,,NO,,NO,,NO,,NO,,NO,
38-25-71-90,0029-001-001,3,YES,YES,14000,NO,,NO,,NO,,YES,500,NO,,NO,
38-25-71-90,0029-001-001,4,,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,5,YES,NO,,NO,,NO,,NO,,YES,500,NO,,NO,
38-25-71-90,0029-001-001,6,NO,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,7,NO,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,8,,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,1,NO,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,2,YES,YES,6000,NO,,NO,,NO,,YES,500,NO,,NO,
28-47-21-26,0030-001-001,3,,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,1,NO,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,2,YES,YES,4000,NO,,NO,,NO,,YES,500,NO,,NO,
71-57-66-15,0031-001-001,3,NO,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,4,NO,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,5,NO,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,6,NO,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,7,NO,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,1,YES,YES,18000,YES,4000,NO,,NO,,YES,3000,NO,,YES,2500
27-91-28-82,0033-001-001,1,YES,YES,12000,YES,4500,NO,,NO,,YES,2000,NO,,YES,1400
96-66-16-43,0034-001-001,1,YES,YES,28000,NO,,NO,,NO,,YES,3500,NO,,NO,
96-66-16-43,0034-001-001,2,NO,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,3,NO,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,5,NO,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,6,NO,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,7,NO,,,,,,,,,,,,,,
