interview__key,sdd_hhid,cropid,ag5b_01,ag5b_02,ag5b_03,ag5b_04_1,ag5b_04_2,ag5b_05,ag5b_06,ag5b_07_1,ag5b_07_2,ag5b_08,ag5b_09_1,ag5b_09_2,ag5b_10_1,ag5b_10_2,ag5b_11a,ag5b_11_1,ag5b_11_2,ag5b_12,ag5b_13,ag5b_14_1,ag5b_14_2,ag5b_15,ag5b_16_1,ag5b_16_2,ag5b_17_1,ag5b_17_2,ag5b_18,ag5b_19,ag5b_20,ag5b_21,ag5b_22,ag5b_23,ag5b_24,ag5b_25,ag5b_26,ag5b_27,ag5b_28,ag5b_29,ag5b_30,ag5b_31,ag5b_32,ag5b_32a,ag5b_32b,ag5b_32c,ag5b_32d,ag5b_32e,ag5b_33,ag5b_34,ag5b_35,ag5b_36_1a,ag5b_36_1b,ag5b_36_2a,ag5b_36_2b
27-02-40-45,0593-005-001,1,YES,360,108000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,360,108000,JUNE,2018,1,1,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,YES,300,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,120,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
27-02-40-45,0593-005-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,15,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
27-02-40-45,0593-005-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,60,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,30,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
65-21-27-08,0593-005-008,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,600,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,130,40,0,70,0,RESIDUE WAS LEFT IN FIELD,,,,,,
65-21-27-08,0593-005-008,17,YES,120,120000,SOKO,NDANI YA KIJIJI/MJI,120,120000,JUNE,2018,1,1,,1,2,HAPANA,,,,,,,,,,,,YES,0,1,MOTORCYCLE,3000,YES,160,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,100,120,0,40,0,RESIDUE WAS LEFT IN FIELD,,,,,,
79-42-79-69,0595-001-001,1,YES,432,144000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,432,144000,JUNE,,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,540,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,108,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
79-42-79-69,0595-001-001,11,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,60,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
79-42-79-69,0595-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,20,LOCALLY MADE TRADITIONAL STRUCTURE,NO,,FOOD FOR HOUSEHOLD,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
82-14-82-19,0596-003-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,18,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
82-14-82-19,0596-003-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
