interview__key,sdd_hhid,plotnum,cropid,ag6b_02,ag6b_03,ag6b_04,ag6b_05,ag6b_06,ag6b_06a,ag6b_07_1,ag6b_07_2,ag6b_07_3,ag6b_07_4,ag6b_08_1,ag6b_08_2,ag6b_09,ag6b_10,ag6b_11
74-56-02-42,0084-002-001,2,8,10,2017,0,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
74-56-02-42,0084-002-001,2,10,200,2018,200,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
74-56-02-42,0084-002-001,2,44,8,2018,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,,50,NO,
74-56-02-42,0084-002-001,2,48,40,2015,0,YES,OTHER (SPECIFY),NDIYO,2018,JULY,2019,JUNE,1,,24,NO,
74-56-02-42,0084-002-001,2,50,37,37,33,YES,OTHER (SPECIFY),NDIYO,2018,JULY,2019,JUNE,1,,10,NO,
74-56-02-42,0084-002-001,2,97,600,2015,0,YES,OTHER (SPECIFY),NDIYO,2018,JULY,2019,JUNE,1,,500,NO,
74-56-02-42,0084-002-001,2,98,7,2004,0,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
70-36-26-23,0085-001-001,1,8,50,1985,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,,8,NO,
70-36-26-23,0085-001-001,1,45,150,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,,36,NO,
70-36-26-23,0085-001-001,1,48,450,1985,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,,115,NO,
70-36-26-23,0085-001-001,1,50,57,1981,0,NO,,NDIYO,2018,JULY,2019,JULY,1,,20,NO,
05-51-26-77,0085-003-001,1,10,650,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2019,MARCH,2019,JUNE,1,2,120,NO,
05-51-26-77,0085-003-001,1,31,30,2016,0,NO,,NDIYO,2019,MARCH,2019,MAY,1,,30,NO,
05-51-26-77,0085-003-001,2,8,10,2008,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2019,MAY,2019,JULY,1,,2,NO,
05-51-26-77,0085-003-001,2,45,70,2007,10,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2019,JANUARY,2019,FEBRUARY,1,,2,NO,
05-51-26-77,0085-003-001,2,48,120,2006,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,AUGUST,2019,JULY,1,,20,NO,
05-51-26-77,0085-003-001,2,50,20,2003,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2019,FEBRUARY,2019,APRIL,1,,4,NO,
07-11-78-55,0087-001-001,1,30,2,2016,0,NO,,HAPANA,,,,,,,,,
07-11-78-55,0087-001-001,1,31,1,2016,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,25,NO,
07-11-78-55,0087-001-001,2,30,10,2017,0,NO,,HAPANA,,,,,,,,,
07-11-78-55,0087-001-001,2,31,80,2017,0,NO,,HAPANA,,,,,,,,,
26-78-44-09,0087-001-002,2,44,20,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,2,5,40,NO,
26-78-44-09,0087-001-002,2,45,40,2019,30,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,2,5,5,NO,
26-78-44-09,0087-001-002,2,48,100,2019,80,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,2,5,20,NO,
26-78-44-09,0087-001-002,2,50,2,2018,2,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
26-78-44-09,0087-001-002,3,10,50,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,2,,150,NO,
26-78-44-09,0087-001-002,3,44,1500,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,2,,1000,NO,
26-78-44-09,0087-001-002,3,45,10,2019,10,NO,,HAPANA,,,,,,,,,
26-78-44-09,0087-001-002,3,48,2000,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,2,,200,NO,
26-78-44-09,0087-001-002,3,50,30,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,2,,3,NO,
74-12-78-76,0088-001-001,1,8,10,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,7,NO,
74-12-78-76,0088-001-001,1,10,50,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
74-12-78-76,0088-001-001,1,45,50,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,6,NO,
74-12-78-76,0088-001-001,1,48,70,1989,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,60,NO,
74-12-78-76,0088-001-001,1,50,4,1990,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,4,NO,
74-12-78-76,0088-001-001,2,48,100,1992,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,40,NO,
74-12-78-76,0088-001-001,2,50,15,1994,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,7,NO,
74-12-78-76,0088-001-001,3,38,10,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
74-12-78-76,0088-001-001,3,48,20,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,44,NO,
