interview__key,sdd_hhid,plotnum,cropid,ag6b_02,ag6b_03,ag6b_04,ag6b_05,ag6b_06,ag6b_06a,ag6b_07_1,ag6b_07_2,ag6b_07_3,ag6b_07_4,ag6b_08_1,ag6b_08_2,ag6b_09,ag6b_10,ag6b_11
23-05-27-92,0279-006-001,3,10,20,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,200,NO,
23-05-27-92,0279-006-001,6,10,55,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,400,NO,
80-17-56-66,0283-001-001,2,30,1,2016,0,NO,,HAPANA,,,,,,,,,
35-18-85-05,0291-001-001,2,44,5,2018,0,NO,,NDIYO,2018,JULY,2019,AUGUST,1,2,10,NO,
62-38-02-67,0295-001-001,1,31,60,2008,0,NO,,NDIYO,2018,OCTOBER,2018,NOVEMBER,1,,105,YES,THEFT
36-60-91-30,0296-001-002,2,31,78,1999,10,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,2,,85,NO,
50-08-76-82,0299-001-001,2,31,20,1995,0,NO,,HAPANA,,,,,,,,,
16-73-84-34,0300-001-001,1,30,12,1900,0,NO,,NDIYO,2019,MARCH,2019,JUNE,1,,130,NO,
16-73-84-34,0300-001-001,3,30,54,1900,6,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,,450,NO,
88-95-31-32,0300-001-002,1,30,30,1980,0,NO,,NDIYO,2018,AUGUST,2019,JUNE,1,,210,NO,
21-51-87-14,0301-001-001,1,10,400,2018,300,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,MAY,2019,APRIL,1,,100,NO,
21-51-87-14,0301-001-001,1,44,20,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JUNE,2018,OCTOBER,1,,40,NO,
21-51-87-14,0301-001-001,2,10,600,2018,400,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,MAY,2019,APRIL,1,,300,NO,
21-51-87-14,0301-001-001,2,31,25,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2018,NOVEMBER,1,,39,NO,
49-07-66-40,0301-005-001,2,10,60,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,MARCH,1,,60,NO,
49-07-66-40,0301-005-001,2,30,2,1980,0,NO,,NDIYO,2018,FEBRUARY,2019,MARCH,1,,45,NO,
49-07-66-40,0301-005-001,3,31,35,2019,35,NO,,HAPANA,,,,,,,,,
30-98-65-42,0302-001-001,1,31,60,2015,0,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
66-47-83-10,0303-001-001,2,10,960,2018,240,NO,,NDIYO,2018,DECEMBER,2019,MAY,1,2,90,NO,
62-07-81-83,0304-001-001,2,31,65,1900,0,NO,,HAPANA,,,,,,,,,
62-07-81-83,0304-001-001,3,30,13,1900,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,,150,NO,
69-04-27-82,0306-001-001,1,44,20,2018,10,NO,,NDIYO,2019,AUGUST,2019,SEPTEMBER,1,2,10,NO,
69-04-27-82,0306-001-001,3,31,56,2017,0,NO,,HAPANA,,,,,,,,,
80-51-24-60,0307-001-001,4,31,60,2017,0,NO,,HAPANA,,,,,,,,,
03-60-63-99,0308-001-001,3,31,45,2003,0,NO,,NDIYO,2018,NOVEMBER,2018,NOVEMBER,1,2,300,NO,
40-17-36-05,0310-001-001,1,31,120,2000,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,15,NO,
40-17-36-05,0310-001-001,2,31,4,1980,0,NO,,NDIYO,2018,NOVEMBER,2018,DECEMBER,1,,5,NO,
55-61-56-57,0311-002-001,1,10,300,2018,300,NO,,HAPANA,,,,,,,,,
55-61-56-57,0311-002-001,1,31,160,2000,0,NO,,NDIYO,2019,OCTOBER,2019,NOVEMBER,1,,2500,NO,
55-61-56-57,0311-002-001,2,31,15,2016,0,NO,,NDIYO,2019,OCTOBER,2019,NOVEMBER,1,,5,NO,
55-61-56-57,0311-002-001,2,44,200,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,,120,NO,
98-25-23-09,0312-001-001,1,31,70,1993,0,NO,,NDIYO,2018,NOVEMBER,2018,DECEMBER,1,,250,NO,
61-31-47-40,0312-002-001,2,31,120,2017,0,NO,,HAPANA,,,,,,,,,
22-19-05-49,0313-001-001,1,30,2,2008,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
22-19-05-49,0313-001-001,1,31,2,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
22-19-05-49,0313-001-001,3,31,1,1900,0,NO,,HAPANA,,,,,,,,,
22-19-05-49,0313-001-001,4,31,1,1900,0,NO,,HAPANA,,,,,,,,,
61-15-16-96,0314-001-001,1,10,200,2018,0,NO,,NDIYO,2019,SEPTEMBER,2019,SEPTEMBER,1,,100,NO,
61-15-16-96,0314-001-001,1,31,150,1974,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,7,300,NO,
61-15-16-96,0314-001-001,2,30,4,1977,0,NO,,NDIYO,2018,SEPTEMBER,2019,AUGUST,1,7,25,NO,
61-15-16-96,0314-001-001,2,31,6,1974,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,7,100,NO,
66-32-50-84,0314-001-005,3,31,50,2017,0,NO,,NDIYO,2018,NOVEMBER,2019,JANUARY,1,2,200,NO,
53-55-68-22,0315-001-001,1,30,19,1900,7,NO,,NDIYO,2018,AUGUST,2019,JULY,1,2,15,YES,ANIMALS
33-84-24-00,0316-001-001,1,30,9,1980,0,NO,,NDIYO,2018,AUGUST,2019,JULY,1,2,15,NO,
33-84-24-00,0316-001-001,2,30,2,1999,0,NO,,NDIYO,2018,AUGUST,2019,JULY,1,2,5,NO,
33-84-24-00,0316-001-001,3,31,10,1990,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,4,NO,
79-96-60-97,0319-001-001,1,30,17,2009,0,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,2,100,NO,
79-96-60-97,0319-001-001,2,30,2,1990,0,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,2,12,NO,
70-01-42-10,0319-002-001,1,30,3,0,1996,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,,5,NO,
70-01-42-10,0319-002-001,1,31,1,1996,0,NO,,NDIYO,2018,NOVEMBER,2018,DECEMBER,1,,3,NO,
70-01-42-10,0319-002-001,2,31,7,2017,0,NO,,HAPANA,,,,,,,,,
70-01-42-10,0319-002-001,3,31,38,1999,0,NO,,HAPANA,,,,,,,,,
70-01-42-10,0319-002-001,4,30,3,2014,0,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,,15,NO,
50-35-86-27,0320-001-001,1,30,15,1900,0,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,,225,NO,
87-02-55-58,0321-001-001,1,30,200,1900,0,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,2,3146,NO,
87-02-55-58,0321-001-001,1,31,20,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,50,NO,
87-02-55-58,0321-001-001,2,31,40,2015,0,NO,,HAPANA,,,,,,,,,
52-03-88-73,0324-001-001,1,30,20,1980,0,NO,,NDIYO,2018,AUGUST,2019,JULY,1,2,360,NO,
75-47-93-54,0326-001-001,1,30,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,AUGUST,2019,JULY,1,2,30,YES,ANIMALS
75-47-93-54,0326-001-001,3,31,9,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
38-80-82-46,0327-001-001,2,31,14,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,150,NO,
88-15-45-24,0328-001-001,2,31,11,2016,0,NO,,HAPANA,,,,,,,,,
24-39-40-17,0329-001-001,2,10,60,2019,50,NO,,HAPANA,,,,,,,,,
79-72-16-28,0330-001-001,1,10,200,2018,120,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,2,300,NO,
79-72-16-28,0330-001-001,1,31,26,2016,20,NO,,HAPANA,,,,,,,,,
62-23-66-59,0332-004-001,1,10,100,2018,60,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
62-23-66-59,0332-004-001,1,30,20,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
62-23-66-59,0332-004-001,1,31,1,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,30,NO,
62-23-66-59,0332-004-001,4,31,90,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,860,NO,
62-23-66-59,0332-004-001,5,31,45,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,560,NO,
90-12-94-91,0335-001-001,2,10,35,2018,0,NO,,NDIYO,2018,MAY,2019,APRIL,1,3,120,NO,
90-12-94-91,0335-001-001,2,31,400,1998,0,NO,,NDIYO,2018,SEPTEMBER,2018,DECEMBER,1,3,600,NO,
90-12-94-91,0335-001-001,3,31,85,2004,0,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,1,3,1200,NO,
90-12-94-91,0335-001-001,4,31,50,2006,0,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,1,3,300,NO,
90-12-94-91,0335-001-001,6,31,80,2008,0,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,1,3,300,NO,
59-32-89-82,0336-001-001,1,31,28,1900,0,NO,,HAPANA,,,,,,,,,
59-32-89-82,0336-001-001,2,30,1,2012,0,NO,,HAPANA,,,,,,,,,
95-97-57-76,0337-001-001,1,10,400,2018,0,NO,,HAPANA,,,,,,,,,
95-97-57-76,0337-001-001,1,31,75,2007,0,NO,,NDIYO,2018,OCTOBER,2018,NOVEMBER,1,2,100,NO,
95-97-57-76,0337-001-001,2,10,30,2018,30,NO,,HAPANA,,,,,,,,,
95-97-57-76,0337-001-001,3,10,400,2018,400,NO,,HAPANA,,,,,,,,,
95-97-57-76,0337-001-001,3,31,200,2017,0,NO,,HAPANA,,,,,,,,,
79-32-59-15,0337-003-001,1,10,80,2018,80,NO,,NDIYO,2018,MAY,2019,APRIL,1,,100,NO,
57-22-81-69,0338-001-001,1,10,300,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,FEBRUARY,2018,APRIL,1,,600,NO,
57-22-81-69,0338-001-001,2,30,1,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
57-22-81-69,0338-001-001,2,31,8,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2017,DECEMBER,2018,JANUARY,1,,40,NO,
58-48-25-77,0339-001-001,1,98,15,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
09-00-90-33,0340-001-001,1,10,150,2018,100,NO,,NDIYO,2018,MAY,2019,APRIL,1,3,300,NO,
09-00-90-33,0340-001-001,1,31,5,1995,10,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,3,50,NO,
42-32-57-47,0342-001-001,3,30,30,1980,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,MAY,2019,APRIL,1,,376,NO,
42-32-57-47,0342-001-001,3,98,2,1996,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
84-20-57-41,0342-001-002,1,100,6,1900,0,NO,,HAPANA,,,,,,,,,
26-84-97-44,0346-001-001,1,31,35,2011,0,NO,,HAPANA,,,,,,,,,
26-84-97-44,0346-001-001,3,30,2,2012,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
26-84-97-44,0346-001-001,3,31,1,19,0,NO,,HAPANA,,,,,,,,,
33-87-72-22,0347-001-001,1,30,2,2004,0,NO,,NDIYO,2018,MAY,2019,APRIL,1,2,30,NO,
33-87-72-22,0347-001-001,2,10,300,2018,50,NO,,NDIYO,2018,MAY,2019,APRIL,1,2,180,NO,
33-87-72-22,0347-001-001,2,31,76,2012,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,100,YES,DISEASES
33-87-72-22,0347-001-001,3,10,100,2018,100,NO,,HAPANA,,,,,,,,,
33-87-72-22,0347-001-001,3,31,66,2006,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,50,YES,DISEASES
27-37-98-68,0348-001-001,1,30,3,2001,0,NO,,NDIYO,2018,MAY,2019,APRIL,1,2,16,NO,
27-37-98-68,0348-001-001,1,31,1,1996,0,NO,,NDIYO,2018,OCTOBER,2018,NOVEMBER,1,2,20,NO,
27-37-98-68,0348-001-001,2,10,1000,2018,600,NO,,NDIYO,2018,MAY,2019,APRIL,1,2,300,NO,
27-37-98-68,0348-001-001,2,31,46,2001,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,50,NO,
27-37-98-68,0348-001-001,3,10,2000,2018,1500,NO,,NDIYO,2018,MAY,2019,APRIL,1,2,400,NO,
27-37-98-68,0348-001-001,3,31,150,1996,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,200,NO,
62-47-27-99,0348-001-005,2,10,1000,2017,1000,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2018,NOVEMBER,1,2,180,NO,
62-47-27-99,0348-001-005,2,31,63,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
83-73-69-11,0350-001-001,1,31,15,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
83-73-69-11,0350-001-001,2,100,6,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
62-06-81-29,0352-001-001,2,10,100,2018,20,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,2,50,NO,
62-06-81-29,0352-001-001,2,31,60,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,40,NO,
62-06-81-29,0352-001-001,3,30,9,2019,2,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2019,NOVEMBER,1,2,180,NO,
52-06-17-29,0353-001-001,1,10,22,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,MAY,2019,APRIL,1,,100,NO,
52-06-17-29,0353-001-001,1,30,1,1990,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,APRIL,2019,MAY,1,,7,NO,
78-10-03-87,0356-001-001,1,10,70,2018,30,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,2,160,NO,
78-10-03-87,0356-001-001,1,31,10,1975,0,NO,,NDIYO,2018,NOVEMBER,2019,DECEMBER,1,2,50,NO,
78-10-03-87,0356-001-001,3,10,60,2018,40,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,2,20,NO,
78-10-03-87,0356-001-001,3,30,1,1980,0,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,2,15,NO,
74-58-85-63,0357-001-001,1,10,200,2017,100,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,2,240,NO,
74-58-85-63,0357-001-001,1,31,50,1970,0,NO,,NDIYO,2018,NOVEMBER,2019,JANUARY,1,2,400,NO,
74-58-85-63,0357-001-001,3,31,40,1975,0,NO,,HAPANA,,,,,,,,,
74-58-85-63,0357-001-001,4,30,2,1976,0,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,2,60,NO,
74-58-85-63,0357-001-001,5,10,300,2018,200,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,2,320,NO,
16-56-85-66,0357-003-001,1,10,200,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,OCTOBER,1,3,210,NO,
16-56-85-66,0357-003-001,1,30,6,1995,0,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,3,180,NO,
16-56-85-66,0357-003-001,2,31,50,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2019,DECEMBER,1,2,315,NO,
81-04-99-31,0358-001-001,1,10,25,2018,25,NO,,HAPANA,,,,,,,,,
81-04-99-31,0358-001-001,1,44,3,2018,3,NO,,HAPANA,,,,,,,,,
57-01-29-66,0359-001-001,1,10,52,2018,25,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2019,MAY,2019,OCTOBER,1,,120,NO,
57-01-29-66,0359-001-001,1,30,70,1985,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,,300,NO,
57-01-29-66,0359-001-001,1,31,105,2000,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,20,NO,
57-01-29-66,0359-001-001,3,30,1,1987,0,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,,9,NO,
34-32-29-13,0360-001-001,2,31,73,2015,0,NO,,NDIYO,2018,SEPTEMBER,2018,DECEMBER,1,2,350,YES,THEFT
75-12-65-48,0361-001-001,1,31,6,2011,0,NO,,HAPANA,,,,,,,,,
05-93-71-40,0362-001-001,1,31,50,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,,105,NO,
05-93-71-40,0362-001-001,3,30,4,2002,0,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,,240,NO,
82-38-78-50,0363-003-001,1,30,2,1990,0,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,,15,NO,
82-38-78-50,0363-003-001,2,10,100,2018,30,NO,,NDIYO,2019,MARCH,2019,OCTOBER,1,,80,NO,
82-38-78-50,0363-003-001,2,31,30,1990,0,NO,,NDIYO,2019,SEPTEMBER,2019,NOVEMBER,1,,59,NO,
16-25-69-84,0364-001-001,3,30,7,2017,0,NO,,HAPANA,,,,,,,,,
98-93-28-99,0367-001-001,1,31,1,1980,0,NO,,HAPANA,,,,,,,,,
98-93-28-99,0367-001-001,2,30,3,1995,0,NO,,NDIYO,2018,OCTOBER,2019,OCTOBER,1,2,15,NO,
37-91-82-56,0369-001-001,2,31,45,1996,0,NO,,NDIYO,2018,NOVEMBER,2019,DECEMBER,1,2,300,NO,
37-91-82-56,0369-001-001,4,30,1,1980,0,NO,,NDIYO,2018,NOVEMBER,2019,OCTOBER,1,2,10,NO,
05-20-75-51,0370-001-001,1,31,50,1900,0,NO,,HAPANA,,,,,,,,,
73-64-57-68,0373-001-001,1,30,2,1994,0,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,2,72,NO,
87-29-04-68,0377-001-001,1,31,35,0,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,400,NO,
87-29-04-68,0377-001-001,2,31,1,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,5,NO,
88-99-03-66,0378-003-001,2,10,250,2018,250,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
88-99-03-66,0378-003-001,2,31,112,2018,112,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
80-78-20-03,0381-001-002,1,10,100,2019,100,NO,,NDIYO,2018,MAY,2019,MAY,1,,120,NO,
11-13-08-42,0386-001-001,1,31,10,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,140,NO,
11-13-08-42,0386-001-001,2,10,200,2017,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,2,50,NO,
11-13-08-42,0386-001-001,2,31,38,1991,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,315,NO,
90-22-50-43,0387-001-001,1,31,1,2000,0,NO,,NDIYO,2018,SEPTEMBER,2018,DECEMBER,1,,8,NO,
90-22-50-43,0387-001-001,2,31,10,1995,0,NO,,HAPANA,,,,,,,,,
41-18-85-21,0388-001-001,1,30,2,1995,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,2,15,NO,
41-18-85-21,0388-001-001,1,31,1,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,5,NO,
43-97-80-50,0389-001-001,1,31,54,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,222,YES,THEFT
43-97-80-50,0389-001-001,2,31,35,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,70,NO,
43-97-80-50,0389-001-001,3,31,3,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,15,NO,
43-97-80-50,0389-001-001,4,10,200,2017,170,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,,240,NO,
43-97-80-50,0389-001-001,4,31,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,10,NO,
49-08-86-51,0389-001-002,1,10,11,2017,15,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,,43,NO,
49-08-86-51,0389-001-002,2,10,80,2018,25,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,,155,NO,
98-73-14-89,0390-001-001,1,10,11,2018,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,,20,NO,
98-73-14-89,0390-001-001,3,10,50,2019,50,NO,,HAPANA,,,,,,,,,
77-89-92-35,0391-001-001,1,31,300,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,3600,NO,
77-89-92-35,0391-001-001,2,31,190,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,2280,NO,
77-89-92-35,0391-001-001,3,31,300,1900,0,NO,,NDIYO,2018,SEPTEMBER,2018,DECEMBER,1,2,5400,NO,
77-89-92-35,0391-001-001,4,31,98,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,1800,NO,
77-89-92-35,0391-001-001,5,31,12,1900,0,NO,,HAPANA,,,,,,,,,
77-89-92-35,0391-001-001,6,31,105,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,1890,NO,
42-04-98-59,0392-001-002,1,10,100,2018,60,NO,,NDIYO,2018,JULY,2019,JUNE,1,,20,NO,
42-04-98-59,0392-001-002,1,31,20,1975,0,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,1,,255,NO,
91-52-62-82,0393-001-001,1,31,55,1980,0,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,1,2,120,NO,
91-52-62-82,0393-001-001,3,31,74,1980,0,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,1,2,968,NO,
91-52-62-82,0393-001-001,4,10,10,2018,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,2,20,NO,
68-78-67-09,0393-002-001,2,31,12,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,,180,NO,
59-34-76-55,0394-001-001,1,31,46,1900,0,NO,,NDIYO,2018,OCTOBER,2018,DECEMBER,1,2,826,NO,
36-58-37-13,0395-001-006,1,98,20,2011,0,NO,,NDIYO,2019,FEBRUARY,2019,FEBRUARY,1,,80,NO,
36-58-37-13,0395-001-006,2,98,20,2000,3,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JUNE,2018,JUNE,1,,40,NO,
41-77-08-50,0397-001-001,3,10,500,2018,500,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
41-77-08-50,0397-001-001,3,44,900,2018,900,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
41-77-08-50,0397-001-001,3,98,15,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
41-77-08-50,0397-001-001,7,44,300,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
26-73-74-39,0398-001-001,1,98,2,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
75-52-50-40,0399-001-001,1,98,10,2015,0,NO,,HAPANA,,,,,,,,,
75-52-50-40,0399-001-001,2,98,8,2014,0,NO,,HAPANA,,,,,,,,,
75-24-28-19,0403-001-001,1,98,10,2014,0,NO,,HAPANA,,,,,,,,,
75-24-28-19,0403-001-001,2,10,140,2017,0,NO,,NDIYO,2018,OCTOBER,2019,NOVEMBER,1,,80,YES,INSECTS
23-48-39-75,0404-001-001,1,98,50,1980,0,NO,,NDIYO,2018,DECEMBER,2018,DECEMBER,1,,1200,NO,
23-48-39-75,0404-001-001,2,98,56,2018,56,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
23-48-39-75,0404-001-001,3,98,25,1985,0,NO,,HAPANA,,,,,,,,,
71-97-65-36,0405-001-001,1,98,7,1981,0,NO,,HAPANA,,,,,,,,,
71-97-65-36,0405-001-001,3,98,4,2018,4,NO,,HAPANA,,,,,,,,,
90-30-68-35,0407-001-001,1,10,50,2018,30,NO,,NDIYO,2018,JUNE,2019,MAY,1,2,50,NO,
51-68-01-74,0408-001-001,1,98,1,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
51-68-01-74,0408-001-001,3,44,35,2003,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,APRIL,2019,MAY,1,2,60,YES,INSECTS
98-64-80-85,0411-001-001,1,10,600,2017,180,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,MARCH,2019,MARCH,1,2,420,YES,ANIMALS
98-64-80-85,0411-001-001,1,30,4,1990,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,FEBRUARY,2019,JANUARY,1,2,15,NO,
98-64-80-85,0411-001-001,1,98,34,2010,8,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
61-37-92-17,0418-001-001,3,10,200,2018,150,NO,,NDIYO,2018,JUNE,2019,MAY,1,2,150,NO,
29-39-31-65,0420-001-001,1,103,5,2017,5,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
64-07-55-27,0422-106-001,4,10,2500,2017,1500,NO,,NDIYO,2018,JUNE,2019,JANUARY,1,,200,NO,
64-07-55-27,0422-106-001,6,10,1500,2018,1500,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,1,,150,NO,
56-15-63-11,0424-001-001,2,10,3000,2017,0,NO,,NDIYO,2018,JUNE,2018,DECEMBER,1,,1200,NO,
56-15-63-11,0424-001-001,3,98,5,2015,1,YES,MORE FERTILE FOR SOIL,HAPANA,,,,,,,,,
79-86-35-12,0425-001-001,2,10,3500,2018,3000,NO,,NDIYO,2019,JANUARY,2019,JANUARY,1,,70,NO,
79-86-35-12,0425-001-001,4,10,4000,2018,4000,NO,,HAPANA,,,,,,,,,
56-01-92-97,0426-001-001,2,10,3200,2018,2500,NO,,NDIYO,2018,FEBRUARY,2019,JANUARY,1,2,2000,NO,
73-36-66-15,0427-001-001,3,10,1500,2018,2500,NO,,NDIYO,2018,OCTOBER,2019,JANUARY,1,2,150,NO,
73-36-66-15,0427-001-001,4,10,1000,2018,2000,NO,,NDIYO,2018,SEPTEMBER,2019,JANUARY,1,2,180,NO,
