OBJECTID,ID,Name,2021 Total Population,Area in Square Kilometers,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2023 Total Population,2023 Total Male Population,2023 Total Female Population,2023 Purchasing Power: Total,2023 Purchasing Power: Per Mill,2023 Purchasing Power: Per Capita,2023 Total Population Age 0-14,2023 Total Population Age 60+,2023 Total Households,2023 Average Household Size,2023 Pop 25+/Edu: Primary,2023 Pop 25+/Edu: Secondary,2023 Pop 25+/Edu: University and Other Related,2022 Unemployed Population,2023 Marital Status: Single,2023 Marital Status: Married,2023 Marital Status: Divorced
16,16,Kigoma,2521692,44778.32000000,3,TZ,16,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,2521692.00000000,1211177.00000000,1310515.00000000,2859051987871.20996094,29.00000000,1133783.19000000,1227911.00000000,134464.00000000,461979.00000000,5.50000000,735774.00000000,67261.00000000,6562.00000000,19378.00000000,1766547.00000000,668461.00000000,36674.00000000
17,17,Shinyanga,2297547,16422.35000000,4,TZ,17,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,2297547.00000000,1130542.00000000,1167005.00000000,3276367543528.68994141,33.30000000,1426028.52000000,1061306.00000000,103175.00000000,410063.00000000,5.60000000,681255.00000000,76040.00000000,6983.00000000,24648.00000000,1583588.00000000,640852.00000000,37331.00000000
18,18,Kagera,3053172,26478.10000000,5,TZ,18,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,3053172.00000000,1490441.00000000,1562731.00000000,3576270777350.06005859,36.30000000,1171329.61000000,1386839.00000000,160698.00000000,677854.00000000,4.50000000,956623.00000000,112995.00000000,9873.00000000,18029.00000000,2039716.00000000,916535.00000000,46354.00000000
19,19,Mwanza,3785615,11619.53000000,6,TZ,19,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,3783544.00000000,1842913.00000000,1940631.00000000,5716677761161.29003906,58.00000000,1510932.02000000,1701389.00000000,178155.00000000,726231.00000000,5.20000000,1105733.00000000,173055.00000000,22457.00000000,45027.00000000,2615976.00000000,1042473.00000000,65153.00000000
20,20,Mara,2427918,21183.12000000,0,TZ,20,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,2427906.00000000,1166341.00000000,1261565.00000000,3376150166061.60986328,34.30000000,1390560.49000000,1164667.00000000,134523.00000000,455397.00000000,5.30000000,702462.00000000,86197.00000000,7250.00000000,28715.00000000,1630386.00000000,727102.00000000,26202.00000000
21,21,Manyara,1936171,46700.58000000,1,TZ,21,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,1936171.00000000,976902.00000000,959269.00000000,2553188886409.43017578,25.90000000,1318679.44000000,879968.00000000,109578.00000000,390013.00000000,5.00000000,617936.00000000,62912.00000000,7689.00000000,23940.00000000,1299424.00000000,577667.00000000,23632.00000000
22,22,Njombe,909660,21262.18000000,2,TZ,22,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,909660.00000000,429839.00000000,479821.00000000,1378350754205.38989258,14.00000000,1515237.29000000,346918.00000000,66797.00000000,238068.00000000,3.80000000,344863.00000000,39853.00000000,4735.00000000,4768.00000000,580834.00000000,299117.00000000,9453.00000000
23,23,Katavi,1192136,48952.75000000,3,TZ,23,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,1192136.00000000,589262.00000000,602874.00000000,1489537425613.87011719,15.10000000,1249469.38000000,596047.00000000,42853.00000000,211004.00000000,5.60000000,336000.00000000,31090.00000000,2622.00000000,8467.00000000,824812.00000000,341359.00000000,12219.00000000
24,24,Simiyu,2190648,24451.69000000,4,TZ,24,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,2190648.00000000,1058909.00000000,1131739.00000000,2258750744132.43994141,22.90000000,1031087.94000000,1122648.00000000,103581.00000000,307466.00000000,7.10000000,605542.00000000,39321.00000000,2621.00000000,18139.00000000,1565106.00000000,565501.00000000,26530.00000000
25,25,Geita,3063767,19717.75000000,5,TZ,25,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,3063766.00000000,1506101.00000000,1557666.00000000,4102231501815.87011719,41.60000000,1338950.66000000,1508063.00000000,118454.00000000,546314.00000000,5.60000000,863565.00000000,85970.00000000,4830.00000000,27503.00000000,2157491.00000000,828251.00000000,42013.00000000
26,26,Songwe,1376090,23594.84000000,6,TZ,26,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,1376090.00000000,658701.00000000,717389.00000000,2154062327334.12011719,21.90000000,1565349.89000000,614519.00000000,70305.00000000,319796.00000000,4.30000000,425318.00000000,60186.00000000,8025.00000000,14884.00000000,915288.00000000,418397.00000000,16962.00000000
27,51,Kaskazini Unguja,263402,466.06000000,7,TZ,27,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,263384.00000000,129334.00000000,134050.00000000,447612541476.57000732,4.50000000,1699467.48000000,104889.00000000,13201.00000000,53013.00000000,5.00000000,14988.00000000,87489.00000000,1914.00000000,6539.00000000,163043.00000000,89908.00000000,6450.00000000
28,52,Kusini Unguja,201489,889.70000000,8,TZ,28,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,201489.00000000,101184.00000000,100305.00000000,359583682421.78997803,3.70000000,1784631.83000000,75418.00000000,9283.00000000,45691.00000000,4.40000000,14348.00000000,69837.00000000,1296.00000000,3414.00000000,117416.00000000,74863.00000000,6536.00000000
29,53,Mjini Magharibi,916186,234.31000000,9,TZ,29,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,916186.00000000,438947.00000000,477239.00000000,2344475038031.66015625,23.80000000,2558950.95000000,348701.00000000,35721.00000000,176471.00000000,5.20000000,60097.00000000,287791.00000000,19410.00000000,37736.00000000,575189.00000000,304223.00000000,26076.00000000
30,54,Kaskazini Pemba,278191,535.19000000,10,TZ,30,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,278191.00000000,134428.00000000,143763.00000000,462038656213.01000977,4.70000000,1660868.45000000,132535.00000000,14794.00000000,46925.00000000,5.90000000,9768.00000000,76953.00000000,2673.00000000,5109.00000000,180800.00000000,88963.00000000,5057.00000000
31,55,Kusini Pemba,277871,521.18000000,11,TZ,31,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,277871.00000000,134527.00000000,143344.00000000,478845241227.26000977,4.90000000,1723264.54000000,129204.00000000,14665.00000000,46236.00000000,6.00000000,9391.00000000,79446.00000000,2817.00000000,4759.00000000,181103.00000000,88074.00000000,5481.00000000
