OBJECTID,ID,Name,2021 Total Population,Area in Square Kilometers,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2023 Total Population,2023 Total Male Population,2023 Total Female Population,2023 Purchasing Power: Total,2023 Purchasing Power: Per Mill,2023 Purchasing Power: Per Capita,2023 Total Population Age 0-14,2023 Total Population Age 60+,2023 Total Households,2023 Average Household Size,2023 Pop 25+/Edu: Primary,2023 Pop 25+/Edu: Secondary,2023 Pop 25+/Edu: University and Other Related,2022 Unemployed Population,2023 Marital Status: Single,2023 Marital Status: Married,2023 Marital Status: Divorced,Education percentage,Male percentage,Female percentage
17,17,Shinyanga,2297547,16422.35,4,TZ,17,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,2297547.0,1130542.0,1167005.0,3276367543528.6895,33.3,1426028.52,1061306.0,103175.0,410063.0,5.6,681255.0,76040.0,6983.0,24648.0,1583588.0,640852.0,37331.0,0.33264956059658407,0.4920647978039187,0.5079352021960813
18,18,Kagera,3053172,26478.1,5,TZ,18,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,3053172.0,1490441.0,1562731.0,3576270777350.06,36.3,1171329.61,1386839.0,160698.0,677854.0,4.5,956623.0,112995.0,9873.0,18029.0,2039716.0,916535.0,46354.0,0.3535637690899825,0.48816149237579803,0.511838507624202
19,19,Mwanza,3785615,11619.53,6,TZ,19,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,3783544.0,1842913.0,1940631.0,5716677761161.29,58.0,1510932.02,1701389.0,178155.0,726231.0,5.2,1105733.0,173055.0,22457.0,45027.0,2615976.0,1042473.0,65153.0,0.343734109253054,0.48681997508991276,0.5126329539586039
20,20,Mara,2427918,21183.12,0,TZ,20,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,2427906.0,1166341.0,1261565.0,3376150166061.6094,34.3,1390560.49,1164667.0,134523.0,455397.0,5.3,702462.0,86197.0,7250.0,28715.0,1630386.0,727102.0,26202.0,0.3278154369299128,0.4803873112683377,0.5196077462253668
21,21,Manyara,1936171,46700.58,1,TZ,21,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,1936171.0,976902.0,959269.0,2553188886409.43,25.9,1318679.44,879968.0,109578.0,390013.0,5.0,617936.0,62912.0,7689.0,23940.0,1299424.0,577667.0,23632.0,0.3556178663971312,0.5045535750716234,0.4954464249283767
22,22,Njombe,909660,21262.18,2,TZ,22,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,909660.0,429839.0,479821.0,1378350754205.39,14.0,1515237.29,346918.0,66797.0,238068.0,3.8,344863.0,39853.0,4735.0,4768.0,580834.0,299117.0,9453.0,0.4281280918145241,0.47252709803662907,0.5274729019633709
23,23,Katavi,1192136,48952.75,3,TZ,23,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,1192136.0,589262.0,602874.0,1489537425613.87,15.1,1249469.38,596047.0,42853.0,211004.0,5.6,336000.0,31090.0,2622.0,8467.0,824812.0,341359.0,12219.0,0.310125690357476,0.4942909198279391,0.505709080172061
24,24,Simiyu,2190648,24451.69,4,TZ,24,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,2190648.0,1058909.0,1131739.0,2258750744132.44,22.9,1031087.94,1122648.0,103581.0,307466.0,7.1,605542.0,39321.0,2621.0,18139.0,1565106.0,565501.0,26530.0,0.2955673389791514,0.4833770646858829,0.5166229353141171
25,25,Geita,3063767,19717.75,5,TZ,25,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,3063766.0,1506101.0,1557666.0,4102231501815.8706,41.6,1338950.66,1508063.0,118454.0,546314.0,5.6,863565.0,85970.0,4830.0,27503.0,2157491.0,828251.0,42013.0,0.311500515541815,0.4915847060171351,0.5084152939828649
26,26,Songwe,1376090,23594.84,6,TZ,26,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,1376090.0,658701.0,717389.0,2154062327334.12,21.9,1565349.89,614519.0,70305.0,319796.0,4.3,425318.0,60186.0,8025.0,14884.0,915288.0,418397.0,16962.0,0.3586458734530445,0.47867581335523113,0.5213241866447689
27,51,Kaskazini Unguja,263402,466.06,7,TZ,27,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,263384.0,129334.0,134050.0,447612541476.57,4.5,1699467.48,104889.0,13201.0,53013.0,5.0,14988.0,87489.0,1914.0,6539.0,163043.0,89908.0,6450.0,0.39631817526062824,0.4910137356588029,0.5089179277302375
28,52,Kusini Unguja,201489,889.7,8,TZ,28,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,201489.0,101184.0,100305.0,359583682421.79,3.7,1784631.83,75418.0,9283.0,45691.0,4.4,14348.0,69837.0,1296.0,3414.0,117416.0,74863.0,6536.0,0.4242464849197723,0.5021812605154624,0.49781873948453764
29,53,Mjini Magharibi,916186,234.31,9,TZ,29,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,916186.0,438947.0,477239.0,2344475038031.66,23.8,2558950.95,348701.0,35721.0,176471.0,5.2,60097.0,287791.0,19410.0,37736.0,575189.0,304223.0,26076.0,0.40089894410087035,0.4791024966546094,0.5208975033453905
30,54,Kaskazini Pemba,278191,535.19,10,TZ,30,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,278191.0,134428.0,143763.0,462038656213.01,4.7,1660868.45,132535.0,14794.0,46925.0,5.9,9768.0,76953.0,2673.0,5109.0,180800.0,88963.0,5057.0,0.321340374059549,0.48322195901377113,0.5167780409862289
31,55,Kusini Pemba,277871,521.18,11,TZ,31,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,277871.0,134527.0,143344.0,478845241227.26,4.9,1723264.54,129204.0,14665.0,46236.0,6.0,9391.0,79446.0,2817.0,4759.0,181103.0,88074.0,5481.0,0.32984370445278566,0.4841347243864959,0.5158652756135041
